Genotype,Brood,Total Pupal Cases of Expected Genotype,Total Elcosed Pupal Cases,Half Eclosed Pupal Cases,percent eclosion,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,8,4,2,,50,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,9,2,1,,50,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,10,1,0,,0,
OK371>tbph[N493D]/UAS-Hrb27C-RNAi,Total,31,13,,41.94,
OK371>UAS-CG5913-RNAi; tbph[N493D],1,27,0,2,0,
OK371>UAS-CG5913-RNAi; tbph[N493D],2,30,1,1,3.33,CG5913 = dFAM98A
OK371>UAS-CG5913-RNAi; tbph[N493D],3,56,2,,3.57,
OK371>UAS-CG5913-RNAi; tbph[N493D],4,51,0,,0,
OK371>UAS-CG5913-RNAi; tbph[N493D],5,71,0,2,0,
OK371>UAS-CG5913-RNAi; tbph[N493D],6,33,1,,3.03,
OK371>UAS-CG5913-RNAi; tbph[N493D],Total,268,4,,1.49,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,1,11,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,2,11,1,2,9.09,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,3,3,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,4,9,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,5,6,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,6,0,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,7,6,0,1,0,set this cross up again due to low yield (7-11)
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,8,7,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,9,4,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,10,9,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,11,2,0,,0,
OK371>tbph[N493D]/UAS-Tudor-SN-RNAi,Total,68,1,,1.47,
OK371>UAS-lacZ,1,38,38,,100,
OK371>UAS-lacZ,2,50,49,,98,
OK371>UAS-lacZ,3,93,93,,100,
OK371>UAS-lacZ,4,33,33,,100,
OK371>UAS-lacZ,5,84,81,,96.42857143,
OK371>UAS-lacZ,6,44,43,,97.72727273,
OK371>UAS-lacZ,Total,342,337,,98.54,
OK371> UAS-otu-RNAi,1,12,12,,100,
OK371> UAS-otu-RNAi,2,61,59,,96.72,
OK371> UAS-otu-RNAi,3,36,35,,97.22,
OK371> UAS-otu-RNAi,4,8,8,,100,
OK371> UAS-otu-RNAi,5,71,70,,98.59,
OK371> UAS-otu-RNAi,Total,188,184,,97.87,
OK371>Hrb27C-RNAi,1,134,133,,99.25,
OK371>Hrb27C-RNAi,2,49,49,,100,
OK371>Hrb27C-RNAi,3,92,89,,96.74,
OK371>Hrb27C-RNAi,Total,275,271,,98.55,
OK371>CG5913-RNAi,1,130,130,,100,
OK371>CG5913-RNAi,2,96,92,,95.83,
OK371>CG5913-RNAi,3,192,189,,98.44,
OK371>CG5913-RNAi,4,112,110,,98.21,
OK371>CG5913-RNAi,Total,530,521,,98.3,
OK371>UAS-Tudor-SN-RNAi,1,4,4,,100,
OK371>UAS-Tudor-SN-RNAi,2,1,1,,100,
OK371>UAS-Tudor-SN-RNAi,3,0,0,,0,
OK371>UAS-Tudor-SN-RNAi,4,58,57,,98.28,(set this cross up again due to low yield)
OK371>UAS-Tudor-SN-RNAi,5,61,60,,98.36,
OK371>UAS-Tudor-SN-RNAi,6,81,79,,97.53,
OK371>UAS-Tudor-SN-RNAi,7,60,58,,96.67,
OK371>UAS-Tudor-SN-RNAi,8,50,45,,90,
OK371>UAS-Tudor-SN-RNAi,Total,315,304,,96.51,
