ID,Organism #,Genotype,Sex,Leg Position,Is there mitochondria present in the whole of the axonal bundle?,Do all the branches have mitochondria?,Leg Length (um),Is the leg short?,Is there scrunching/curving of the leg?,Is the axonal bundle straight? ,Does the axonal bundle split or thin at any time or are there chunks missing?,Is the distal end of the axonal bundle organized?,Does the branching look organized?,Is the branching straight - following the pattern of the axonal bundle? ,Are there branches in all aspects of the femur?,Morphology Score /10
01_GCH_M_F,1,G85R cr/hr,M,front,1,0,460.1,0,1,1,0,0,0,1,1,5
25_GCH_M_F,25,G85R cr/hr,M,front,1,1,472.7,0,0,0,0,0,0,0,0,2
10_GCH_M_F,10,G85R cr/hr,M,front,0,0,353.4,0,0,0,0,1,0,0,0,1
09_GCH_M_F,9,G85R cr/hr,M,front,0,0,460.1,0,1,1,0,1,0,0,0,3
24_GCH_M_F,24,G85R cr/hr,M,front,1,0,474.3,0,0,0,0,0,0,0,0,1
09_GCH_M_M,9,G85R cr/hr,M,middle,0,0,496.3,1,1,1,0,1,1,1,0,6
24_GCH_M_M,24,G85R cr/hr,M,middle,0,1,513,1,1,1,0,0,0,1,0,5
25_GCH_M_M,25,G85R cr/hr,M,middle,0,0,351.4,0,1,1,1,1,1,1,0,6
01_GCH_M_M,1,G85R cr/hr,M,middle,1,0,493.4,1,0,1,1,0,0,0,1,5
26_GCH_M_M,26,G85R cr/hr,M,middle,0,0,502.4,1,1,0,0,0,1,1,1,5
10_GCH_M_M,10,G85R cr/hr,M,middle,0,0,492.5,1,1,0,0,0,0,0,1,3
25_GCH_M_B,25,G85R cr/hr,M,back,1,1,501.4,1,0,1,0,0,0,0,0,4
26_GCH_M_B,26,G85R cr/hr,M,back,0,0,496,1,0,0,0,1,0,0,0,2
24_GCH_M_B,24,G85R cr/hr,M,back,0,1,498,1,1,1,1,0,0,0,0,5
10_GCH_M_B,10,G85R cr/hr,M,back,0,0,521.3,1,1,1,0,0,0,0,0,3
13_GCH_F_F,13,G85R cr/hr,F,front,0,0,534.6,1,1,0,0,1,0,0,0,3
18_GCH_F_F,18,G85R cr/hr,F,front,1,1,487.5,1,1,0,0,1,0,0,0,5
16_GCH_F_F,16,G85R cr/hr,F,front,1,0,429,0,0,1,0,1,0,0,0,3
15_GCH_F_F,15,G85R cr/hr,F,front,0,0,423.4,0,0,0,0,0,0,1,0,1
17_GCH_F_F,17,G85R cr/hr,F,front,0,0,519.6,1,1,1,0,0,0,1,0,4
12_GCH_F_F,12,G85R cr/hr,F,front,1,1,480,0,1,0,0,1,0,1,0,5
15_GCH_F_M,15,G85R cr/hr,F,middle,0,0,400.7,0,1,1,1,1,1,1,0,6
17_GCH_F_M,17,G85R cr/hr,F,middle,0,0,565.8,1,0,1,0,1,1,1,0,5
16_GCH_F_M,16,G85R cr/hr,F,middle,0,1,548.8,1,1,1,1,0,0,0,0,5
13_GCH_F_M,13,G85R cr/hr,F,middle,0,0,591.7,1,1,0,0,1,0,1,0,4
18_GCH_F_M,18,G85R cr/hr,F,middle,0,1,544.8,1,1,0,0,0,0,0,1,4
17_GCH_F_B,17,G85R cr/hr,F,back,1,1,570,1,1,0,0,1,0,1,1,7
15_GCH_F_B,15,G85R cr/hr,F,back,1,1,519.8,1,0,0,0,1,1,0,0,5
12_GCH_F_B,12,G85R cr/hr,F,back,1,1,406.8,0,0,1,0,1,1,0,1,6
18_GCH_F_B,18,G85R cr/hr,F,back,1,1,540.2,1,1,0,0,0,0,0,0,4
13_GCH_F_B,13,G85R cr/hr,F,back,0,1,619,1,1,1,0,0,1,0,0,5
16_GCH_F_B,16,G85R cr/hr,F,back,0,1,545.6,1,1,1,0,0,0,0,0,4
11_WT_M_F,11,Sod WT,M,front,1,1,392.9,0,0,1,0,0,1,1,1,6
04_WT_M_M,4,Sod WT,M,middle,0,1,492.9,1,0,1,0,0,1,1,0,5
11_WT_M_M,11,Sod WT,M,middle,1,1,483.4,1,1,1,0,1,0,0,0,6
11_WT_M_B,11,Sod WT,M,back,1,1,344,0,1,1,0,1,0,1,1,7
04_WT_M_B,4,Sod WT,M,back,1,1,563.8,1,1,1,0,1,1,1,1,9
00_WT_M_B,0,Sod WT,M,back,1,1,583.2,1,1,1,0,0,1,1,1,8
14_WT_F_F,14,Sod WT,F,front,0,1,551.9,1,1,1,0,1,1,1,0,7
08_WT_F_F,8,Sod WT,F,front,1,1,489.1,1,1,1,0,1,1,0,1,8
05_WT_F_F,5,Sod WT,F,front,1,1,481.7,1,1,1,1,0,0,0,1,7
06_WT_F_F,6,Sod WT,F,front,1,1,466.8,0,1,1,1,0,0,1,0,6
07_WT_F_F,7,Sod WT,F,front,1,1,476.6,0,0,0,0,1,0,1,0,4
07_WT_F_M,7,Sod WT,F,middle,0,1,568.3,1,1,1,1,1,0,0,0,6
06_WT_F_M,6,Sod WT,F,middle,0,1,463,0,1,1,1,0,1,1,0,6
14_WT_F_M,14,Sod WT,F,middle,0,1,557.1,1,1,0,0,0,0,1,1,5
14_WT_F_B,14,Sod WT,F,back,1,1,472,0,0,1,0,0,1,1,1,6
08_WT_F_B,8,Sod WT,F,back,1,1,574.8,1,1,1,1,1,1,1,0,9
07_WT_F_B,7,Sod WT,F,back,0,1,579.5,1,1,1,0,1,0,0,1,6
06_WT_F_B,6,Sod WT,F,back,0,1,553.8,1,1,0,0,1,0,0,0,4
