CELL TYPE,STRESS,GENE,FBGN,Other Notes,,memory,"gametogenesis, sperm egg development",oskar,gurken 
,,Pop2,FBgn0036239,,,,,,
,,orb,FBgn0004882,,,,,,
,,orb2,FBgn0264307,,,,,,
,,DAZAP2,,,,,,,
,,bol,FBgn0011206,,,,,,
,,DCP1,FBgn0034921,,,,,,
,,DCP2,FBgn0036534,,,,,,
,,Ddx1,FBgn0015075,,,,,,
,,Hel25E,FBgn0014189,,,,,,
,,Gem3,FBgn0011802,,,,,,
,,CG10077,FBgn0035720,,,,,,
,,Rm62,FBgn0003261,,,,,,
,,mahe,FBgn0029979,,,,,,
,,CG14443,FBgn0029880,,,,,,
,,DDX58,,Doesn't seem to exist?? Even in humans?,,,,,
,,Rhau,FBgn0032883,,,,,,
,,CG1582,FBgn0030246,,,,,,
,,CG8915,FBgn0030833,,,,,,
,,spn-E,FBgn0003483,,,,,,
,,bgcn,FBgn0004581,,,,,,
,,DHX58,,,,,,,
,,mle,FBgn0002774,,,,,,
,,Dyrk2,FBgn0016930,,,,,,
,,Edc3,FBgn0036735,,,,,,
,,Ge-1,FBgn0283682,,,,,,
,,eIF2A,FBgn0037135,,,,,,
,,EIF2AK2,,,,,,,
,,eIF2-alpha,FBgn0261609,,,,,,
,,eIF2-beta,FBgn0004926,,,,,,
,,eIF2-gamma,FBgn0263740,,,,,,
,,eIF3b,FBgn0034237,,,,,,
,,eIF3c,FBgn0034258,,,,,,
,,IntS6,FBgn0261383,,,,,,
,,eIF3f1,FBgn0037270,,,,,,
,,eIF3f2,FBgn0033069,,,,,,
,,eIF3i,FBgn0015834,,,,,,
,,eIF3j,FBgn0027619,,,,,,
,,eIF3k,FBgn0034654,,,,,,
,,eIF3l,FBgn0036258,,,,,,
,,eIF3m,FBgn0033902,,,,,,
,,eIF4A,FBgn0001942,,,,,,
,,eIF4E1,FBgn0015218,,,,,,
,,eIF4E6,FBgn0039622,,,,,,
,,eIF4E7,FBgn0040368,,,,,,
,,eIF4E5,FBgn0035823,,,,,,
,,eIF4E4,FBgn0035709,,,,,,
,,eIF4E3,FBgn0265089,,,,,,
,,eIF5,FBgn0030719,,,,,,
,,eEF5,FBgn0285952,,,,,,
,,eIF5B,FBgn0026259,,,,,,
,,fne,FBgn0086675,courtship behavior,,,,,
,,Rbp9,FBgn0010263,,,,,,
,,ssx,FBgn0024987,,,,,,
,,sxl,FBgn0264270,,,,,,
,,elav,FBgn0260400,,,,,,
,,maca,FBgn0038345,,,,,,
,,eRF1,FBgn0036974,,,,,,
,,CG14718,FBgn0037939,,,,,,
,,FASTK,,,,,,,
,,GBP2,,,,,,,
,,Gyf,FBgn0039936,,,,,,
,,pico,FBgn0261811,,,,,,
,,eRF3,FBgn0020443,,,,,,
,,HDAC6,FBgn0026428,,,,,,
,,Hrb87F,FBgn0004237,,,,,,
,,Hrb98DE,FBgn0001215,,,,,,
,,Rb97D,FBgn0004903,,,,,,
,,CG42458,FBgn0259935,,,,,,
,,glo,FBgn0259139,,,,,,
,,HnRNP-K,FBgn0267791,,,,,,
,,sm,FBgn0003435,feeding behavior,,,,,
,,rump,FBgn0267790,,,,,,
,,Syp,FBgn0038826,,,,,,
,,CG30122,FBgn0050122,,,,,,
,,HOPX,,,,,,,
,,Hsp83,FBgn0001233,,,,,,
,,Hsc70-4,FBgn0266599,,,,,,
,,Hsp70Aa,FBgn0013275,,,,,,
,,Hsp70Ba,FBgn0013277,,,,,,
,,Hsp70Bb,FBgn0013278,,,,,,
,,Hsp70Bc,FBgn0013279,,,,,,
,,Hsp70Ab,FBgn0013276,,,,,,
,,Hsc70-2,FBgn0001217,,,,,,
,,Hsc70-1,FBgn0001216,,,,,,
,,Hsp68,FBgn0001230,heat shock and starvation,,,,,
,,Hsc70-3,FBgn0001218,,,,,,
,,CG7182,FBgn0035878,,,,,,
,,HSPB1,,,,,,,
,,htt,FBgn0027655,,,,,,
,,CG5641,FBgn0038046,,,,,,
,,msk,FBgn0026252,,,,,,
,,nsr,FBgn0034740,,,,,,
,,qkr54B,FBgn0022987,,,,,,
,,CG3927,FBgn0034739,,,,,,
,,qkr58E-1,FBgn0022986,,,,,,
,,qkr58E-3,FBgn0022984,,,,,,
,,CG4021,FBgn0034659,,,,,,
,,qkr58E-2,FBgn0022985,,,,,,
,,CG10384,FBgn0034731,,,,,,
,,Pen,FBgn0287720,,,,,,
,,Kap-alpha3,FBgn0027338,,,,,,
,,alphaKap4,FBgn0035657,,,,,,
,,kap-alpha1,FBgn0024889,,,,,,
,,Fs(2)Ket,FBgn0262743,,,,,,
,,Larp4B,FBgn0035424,,,,,,
,,lin-28,FBgn0035626,,,,,,
,,LSm1,FBgn0261067,,,,,,
,,Lsm12a,FBgn0030364,,,,,,
,,Hez,FBgn0036057,,,,,,
,,tral,FBgn0041775,,,,,,
,,MAP1LC3A,,,,,,,
,,bsk,FBgn0000229,JNK,,,,,
,,MATR3,,,,,,,
,,mbl,FBgn0265487,,,,,,
,,MCRIP1,,,,,,,
,,MCRIP2,,,,,,,
,,CG11360,FBgn0039920,,,,,,
,,msi,FBgn0011666,,,,,,
,,NCL,,,,,,,
,,nonA-I,FBgn0015520,,,,,,
,,NPM1,,,,,,,
,,NRG2,,,,,,,
,,sbr,FBgn0003321,,,,,,
,,nxf3,FBgn0263232,,,,,,
,,nxf2,FBgn0036640,,,,,,
,,OAS1,,,,,,,
,,OAS2,,,,,,,
,,OAS3,,,,,,,
,,OGFOD1,,,,,,,
,,Ogg1,FBgn0027864,,,,,,
,,OGN,,,,,,,
,,PAN2,FBgn0033352,,,,,,
,,CG2070,FBgn0033203,,,,,,
,,CG2065,FBgn0033204,,,,,,
,,CG3842,FBgn0029866,,,,,,
,,Rdh1,FBgn0033205,,,,,,
,,CG7675,FBgn0038610,,,,,,
,,CG30491,FBgn0050491,,,,,,
,,CG30495,FBgn0050495,,,,,,
,,CG11200,FBgn0034500,,,,,,
,,PAN3,FBgn0035397,,,,,,
,,PATL1,,,,,,,
,,PFN1,,,,,,,
,,PFN2,,,,,,,
,,Phb2,FBgn0010551,,,,,,
,,PKP1,,,,,,,
,,PKP3,,,,,,,
,,PQBP1,,,,,,,
,,Pkc53E,FBgn0003091,,,,,,
,,inaC,FBgn0004784,,,,,,
,,loqs,FBgn0032515,,,,,,
,,Art1,FBgn0037834,,,,,,
,,Efa6,FBgn0051158,,,,,,
,,heph,FBgn0011224,,,,,,
,,Fak,FBgn0020440,,,,,,
,,pum,FBgn0003165,hb,,,,,
,,Pur-alpha,FBgn0022361,,,,,,
,,how,FBgn0264491,,,,,,
,,Rack1,FBgn0020618,,,,,,
,,Ran,FBgn0020255,,,,,,
,,Ran-like,FBgn0036497,,,,,,
,,lark,FBgn0011640,,,,,,
,,CG2931,FBgn0037342,,,,,,
,,roq,FBgn0036621,,,,,,
,,Rho1,FBgn0014020,,,,,,
,,RhoL,FBgn0014380,,,,,,
,,RNASEL,,,,,,,
,,RNH1,,,,,,,
,,Rok,FBgn0026181,,,,,,
,,RpL3,FBgn0020910,,,,,,
,,RpS18,FBgn0010411,,,,,,
,,RpS19a,FBgn0010412,,,,,,
,,RpS19b,FBgn0039129,,,,,,
,,RpS3,FBgn0002622,,,,,,
,,RpS6,FBgn0261592,,,,,,
,,S6kII,FBgn0262866,,,,,,
,,S6kL,FBgn0283473,BMP,,,,,
,,Rtca,FBgn0025630,,,,,,
,,smg,FBgn0016070,maternal-zygotic,,,,,
,,FDY,FBgn0265047,Y chromosome,,,,,
,,vig2,FBgn0046214,,,,,,
,,vig,FBgn0024183,,,,,,
,,nonC,FBgn0263968,,,,,,
,,SMN1,,,,,,,
,,SPATS2L,,,,,,,
,,stau,FBgn0003520,,,,,,
,,TAF15,,,,,,,
,,cocoon,FBgn0036496,,,,,,
,,TBPH,FBgn0025790,,,,,,
,,Tdrd3,FBgn0036450,,,,,,
,,trn,FBgn0010452,,,,,,
,,CG8219,FBgn0035693,,,,,,
,,gw,FBgn0051992,,,,,,
,,brat,FBgn0010300,,,,,,
,,Upf1,FBgn0030354,,,,,,
,,Upf2,FBgn0029992,,,,,,
,,Upf3,FBgn0034923,,,,,,
,,Usp10,FBgn0052479,Notch,,,,,
,,Usp32,FBgn0036913,,,,,,
,,Wdr62,FBgn0031374,,,,,,
,,pcm,FBgn0020261,male fertility,,,,,
,,Ythdf,FBgn0039261,,,,,,
,,ZBP1,,,,,,,
,,ZC3HAV1,,,,,,,
,,Tis11,FBgn0011837,,,,,,
,,FAM168B,,,,,,,
,,RBM38,,,,,,,
,,CG5913,FBgn0039385,,,,,,
,,shep,FBgn0052423,perception of geotaxis :) ,,,,,
,,EIF4ENIF1,,,,,,,
,,otu,FBgn0003023,female fertility,,,,,
,,ps,FBgn0261552,,,,,,
,,AnxB11,FBgn0030749,,,,,,
,,AnxB9,FBgn0000083,,,,,,
,,AnxB10,FBgn0000084,,,,,,
,,PRRC2B,,,,,,,
,,unr,FBgn0263352,Dosage compensation…MSL-2,,,,,
,,wech,FBgn0259745,,,,,,
,,CG8814,FBgn0031478,fatty acid metabolism,,,,,
,,Keap1,FBgn0038475,oxidative stress,,,,,
,,enc,FBgn0004875,,,,,,
,,CG32425,FBgn0052425,,,,,,
,,bru3,FBgn0264001,,,,,,
,,eIF1,FBgn0035423,,,,,,
,,RNF214,,,,,,,
,,Sbp2,FBgn0087039,,,,,,
,,Atg3,FBgn0036813,,,,,,
,,FAM120C,,,,,,,
,,CG7886,FBgn0038248,,,,,,
,,Pex11ab,FBgn0034058,,,,,,
,,ZC3H7B,,,,,,,
,,CDV3,,,,,,,
,,CG2061,FBgn0027498,,,,,,
,,Crk,FBgn0024811,,,,,,
,,ubl,FBgn0022224,,,,,,
,,GOLGA2,,,,,,,
,,ClpP,FBgn0032229,,,,,,
,,Dis3L2,FBgn0035111,,,,,,
,,Pef,FBgn0033529,,,,,,
,,CSTB,,,,,,,
,,Chd64,FBgn0035499,,,,,,
,,mgr,FBgn0264694,,,,,,
,,Ccdc85,FBgn0031488,,,,,,
,,drk,FBgn0004638,,,,,,
,,Nup153,FBgn0061200,w mTOR localize MSL,,,,,
,,SOGA3,,can't find it even in humans?,,,,,
,,mask,FBgn0043884,,,,,,
,,CG6983,FBgn0035896,,,,,,
,,GABARAPL2,,,,,,,
,,nudE,FBgn0036059,,,,,,
,,Mkrn1,FBgn0029152,,,,,,
,,CG5347,FBgn0030578,,,,,,
,,CG5334,FBgn0030577,,,,,,
,,CG12477,FBgn0036809,,,,,,
,,cyst,FBgn0032796,,,,,,
,,ZAP3,FBgn0052685,,,,,,
,,Root,FBgn0039152,,,,,,
,,FABP5,,,,,,,
,,CG13344,FBgn0033884,,,,,,
,,mbt,FBgn0025743,,,,,,
,,Pak3,FBgn0044826,,,,,,
,,SPATS2,,,,,,,
,,SF2,FBgn0283477,,,,,,
,,Rsf1,FBgn0011305,,,,,,
,,Wbp2,FBgn0036318,hippo pathway,,,,,
,,Khc-73,FBgn0019968,,,,,,
,,Kif19A,FBgn0038205,,,,,,
,,MAGED1,,,,,,,
,,CG2812,FBgn0034931,,,,,,
,,HNRNPH3,,,,,,,
,,icln,FBgn0029079,motor behavior,,,,,
,,PRRC2A,,,,,,,
,,ENTPD1,,,,,,,
,,CG5721,FBgn0034315,,,,,,
,,cl,FBgn0000318,oxidative stress,,,,,
,,CG3939,FBgn0040396,,,,,,
,,Sox21a,FBgn0036411,,,,,,
,,D,FBgn0000411,,,,,,
,,Sox21b,FBgn0042630,,,,,,
,,SoxN,FBgn0029123,coordinates with ovo product,,,,,
,,CG31111,FBgn0051111,,,,,,
,,CenB1A,FBgn0039056,,,,,,
,,ABRACL,,,,,,,
,,eIF3I,FBgn0036258,,,,,,
,,Usp15-31,FBgn0050421,,,,,,
,,CG31249,FBgn0051249,,,,,,
,,Prx2,FBgn0040309,,,,,,
,,Prx4,FBgn0040308,,,,,,
,,Prx3,FBgn0038519,,,,,,
,,Prx1,FBgn0036490,,,,,,
,,Glo1,FBgn0283450,,,,,,
,,Dip-C,FBgn0000455,,,,,,
,,BCLAF1,,,,,,,
,,Smyd5,FBgn0038869,,,,,,
,,Vha13,FBgn0283536,,,,,,
