GeneID (model organism),Official Gene Symbol (model organism),Suppressor found in (model organism),Human Ortholog Name (Best Match),Human Ortholog GeneID (Best Match),"Other Human Orthologs (up to 3, with GeneID)",ALS Model,How was the suppressor found/tested?,PMCID/PMID,,,,,,,,,,,,,,,,,
319033,Rrp40,D. melanogaster,EXOSC3,51010,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
41798,Rrp6,D. melanogaster,EXOSC10,5394,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
35784,Nup50,D. melanogaster,NUP50,10762,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
34481,Nup107,D. melanogaster,NUP107,57122,,"(G4C2)58 with GMR-GAL4 or elav-GAL4, no ATG, GFP in frame with GP","Large scale screen, 372 chromosomal deficency lines (csome 2 and 3, ~80% of fly genome), then LOF and RNAi to identify genes",PMC4631399,,,,,,,,,,,,,,,,,
44747,msk,D. melanogaster,IPO7,10527,IPO8 (10526),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,Lee et al 2016 JP Taylor,,,,,,,,,,,,,,,,
34338,Pen,D. melanogaster,KPNA2,3838,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
33002,Nup205,D. melanogaster,NUP205,23165,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
3355109,Parp,D. melanogaster,PARP1,142,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40581,Karybeta3,D. melanogaster,IPO5,3843,RANBP6 (9851),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35100,bsf,D. melanogaster,LRPPRC,10128,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39377,yps,D. melanogaster,YBX1,4904,"YBX3 (2428), YBX2 (51087)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37482,LBR,D. melanogaster,LBR,3930,"TM7SF2 (11863), DHCR7 (1717)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34167,emb,D. melanogaster,XPO1,7514,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41158,kap-alpha3,D. melanogaster,KPNA4,3840,"KPNA3 (3839), KPNA1 (6394), KPNA5 (6398)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35336,Fs(2)Ket,D. melanogaster,KPNB1,3837,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
38721,Tm,D. melanogaster,TPNO1,7170,"TNPO1 (3842), TPM1 (7168), TNPO2 (30000)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
43560,Nlp,D. melanogaster,NPM1,4869,"NPM3 (10360), NPM2 (10361)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
31475,I(1)G0045,D. melanogaster,POP1,10940,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
48571,heph,D. melanogaster,PTBP1,5725,"PTBP3 (9991), PTBP2 (58155)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32112,CG1703,D. melanogaster,ABCF1,23,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39309,CG11660,D. melanogaster,RIOK1,83732,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
42987,Nmnat,D. melanogaster,NMNAT1,64802,"NMNAT3 (349565), NMNAT2 (23057)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
38811,lark,D. melanogaster,RBM4B,83759,"RBM4 (9901), RBM14-RBM4 (38840), RBM14 (14219)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32458,Top1,D. melanogaster,TOP1,7150,TOP1MT (116447),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40459,Csp,D. melanogaster,NCL,4691,"DNAJC5 (80331), DNAJC5B (85479), DNAJC5G (285126)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40739,Rm62,D. melanogaster,DDX17,10521,DDX5 (1655),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40360,CG7338,D. melanogaster,TSR1,55720,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35305,La,D. melanogaster,SSB,6741,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
42761,RpS3,D. melanogaster,RPS3,6188,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37563,mRpS29,D. melanogaster,DAP3,7818,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36087,CG12909,D. melanogaster,LYAR,55646,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
33850,CG9135,D. melanogaster,RCC2,55920,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36619,tra2,D. melanogaster,RBMX,27316,"TRA2A (29896), TRA2B (6434), RBMY1D (378949)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37591,CG2852,D. melanogaster,PPIB,5479,PPIC (5480),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37528,Fmr1,D. melanogaster,FXR1,8087,"FMR1 (2332), FXR2 (9513)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39764,Zn72D,D. melanogaster,ILF3,3609,"ZFR (51663), ZFR2 (23217), STRBP (55342)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
117419,Irbp,D. melanogaster,XRCC6,2547,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34930,Ku80,D. melanogaster,XRCC5,7520,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35523,mle,D. melanogaster,DHX9,1660,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40457,Ddx1,D. melanogaster,DDX1,1653,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37580,RpS16,D. melanogaster,RPS16,6217,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37006,P32,D. melanogaster,C1QBP,708,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35654,CG11107,D. melanogaster,DHX15,1665,"DHX8 (1659), DHX16 (8449), DHX38 (9785)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34309,RpS2,D. melanogaster,RPS2,6187,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32700,RpS5a,D. melanogaster,RPS5,6193,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36365,CG8545,D. melanogaster,NOP2,4839,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41883,Atx2,D. melanogaster,ATXN2L,11273,ATXN2 (6311),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37070,pAbp,D. melanogaster,PABPC1,26986,"PABPC4 (8761), PABPC3 (5042), PABPC1L (80336)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37781,TBPH,D. melanogaster,TARDBP,23435,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
32602,U2af50,D. melanogaster,U2AF2,11338,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
38206,CG7971,D. melanogaster,SRRM2,23524,SRRM3 (222183),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35713,U2A,D. melanogaster,SNRPA1,6627,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41670,B52,D. melanogaster,SRSF6,6431,"SRSF4 (6429), SRSF5 (6430)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
45826,bel,D. melanogaster,DDX3X,1654,"DDX3Y (8653), DDX4 (54514)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
43385,Hrb98DE,D. melanogaster,hnRNPA1,3178,"HNRNPA3 (220988), HNRNPA1L2 (144983), HNRNPA2B1 (3181)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
43385,Hrb98DE,D. melanogaster,hnRNPA2B1,3181,"HNRNPA3 (220988), HNRNPA1L2 (144983), HNRNPA1 (3178)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39483,SRm160,D. melanogaster,SRRM1,10250,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39737,I(3)72Ab,D. melanogaster,SNRNP200,23020,ASCC3 (10973),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
48535,Hrb87F,D. melanogaster,hnRNPA1,3178,"HNRNPA3 (220988), HNRNPA1L2 (144983), HNRNPA2B1 (31)81",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
48535,Hrb87F,D. melanogaster,hnRNPA2B1,3181,"HNRNPA3 (220988), HNRNPA1L2 (144983), HNRNPA1 (3178)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
42460,Syp,D. melanogaster,SYNCRIP,10492,"HNRNPR (5047), RBM47 (54502), RBM46 (166863)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41431,glo,D. melanogaster,HNRNPH1,5041,"HNRNPH2 (3188), HNRNPF (3185), HNRNPH3 (3189)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
33967,x16,D. melanogaster,SRSF7,6432,SRSF3 (6428),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
2768945,CG42458,D. melanogaster,HNRNPC,3183,"HNRNPCL1 (343069), RALY (22913), RALYL (138046)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35235,swm,D. melanogaster,RBM26,64062,RBM27 (54439),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40174,Rpn1,D. melanogaster,PSMD2,5708,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40436,mub,D. melanogaster,PCBP2,5094,"PCBP3 (54039), PCBP1 (5093), PCBP4 (57060)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
44261,eIF5B,D. melanogaster,EIF5B,9669,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
42026,nonA-I,D. melanogaster,SFPQ,6421,"NONO (7871), PSPC1 (55269)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
36922,CG6967,D. melanogaster,MOV10,4343,MOV10L1 (54456),Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
37787,CG4882,D. melanogaster,MRPS27,23107,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
39573,CG7768,D. melanogaster,PPIA,9253,"PPIF (10105), PPIE (10450)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
49168,I(2)37Cc,D. melanogaster,PHB,5245,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41646,Droj2,D. melanogaster,DNAJA1,3301,"DNAJA4 (55466), DNAJA2 (10294)",Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
41181,hyd,D. melanogaster,UBR5,51366,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
35552,bin3,D. melanogaster,MEPCE,56257,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
34674,CG5525,D. melanogaster,CCT4,10575,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
40138,Lon,D. melanogaster,LONP1,9361,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
43345,mRpS22,D. melanogaster,MRPS22,56945,,Bind PR or GR peptide by GFP-IP,RNAi screen on identified interactiors to determine genetic modifiers of fly eye degeneration phenotype,PMC5079111,,,,,,,,,,,,,,,,,
