,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
N-acetyl-b-alanine,C01073,-0.737554236,-0.957668385,-0.676035961,-0.469290217,-0.249176067,0.011141673,-0.050376601,-1.206844452,-0.726412563
N-acetylglucosamine 1/6-phosphate,C04501 / C00357,-0.809782254,-0.086106655,0.440344031,0.502824035,-0.220851563,0.416106436,-0.834019849,-0.306958218,-0.393675817
S-adenosyl-L-methionine+,C00019,-1.479701863,-0.194596416,0.508505234,0.31731797,-0.967787477,-0.030941436,-2.019148534,-1.162383893,-1.5106433
6-phosphogluconic acid,C00345,-0.98841644,0.336542826,0.538026195,0.61329862,-0.711660647,0.223641668,-1.302800967,-0.375117821,-0.764774772
acetylcarnitine+,C02571,-0.449795417,-0.683315334,-1.132954446,0.1043546,0.337874517,-0.237653814,0.445505216,-0.345440817,-0.687449231
CMP,C00055,-0.698348066,-0.587200717,-0.265981033,0.381424267,0.270276918,0.130795609,-0.301571424,-0.316923799,-0.567552457
galactose / glucose,C00124 / C00267,0.295570849,0.249865137,0.280512204,-0.077588076,-0.031882365,-0.011690949,0.003367696,0.217982773,0.2838799
O-succinyl-homoserine,C01118,-0.830112165,-0.353559837,0.925679616,0.281133096,-0.195419231,0.452802577,-1.302989203,-0.548979069,-0.377309587
6-aminohexanoate,C02378,0.670043432,-0.335822938,0.029787799,-1.168691963,-0.162825593,-0.19670486,0.443550773,-0.498648531,0.473338572
glutamate,C00302,-0.606889532,-0.218357718,-0.2470515,0.399642591,0.011110777,-0.014200752,-0.374038784,-0.207246942,-0.621090284
N-formyl-L-methionine,C03145,0.593912101,0.156120148,-0.558271216,-0.243283391,0.194508562,-0.862160048,0.290023268,0.35062871,-0.268247948
CDP-choline+,C00307,-1.036701255,0.09459758,-0.175024035,0.737866433,-0.393432402,0.191899729,-0.669777491,-0.298834822,-0.844801526
2-hydroxybutanoic acid,C05984,0.647006036,0.245212096,-0.350810244,-0.114127818,0.287666122,-0.452227355,0.545588925,0.532878218,0.194778681
arginine,C02385,-0.316241623,-0.075727037,0.086941807,-0.018685929,-0.259200514,0.033062481,-0.370120949,-0.334927551,-0.283179141
D-erythrose-4-phosphate,C00279,-0.998491021,-0.163272797,0.360542806,0.475036817,-0.360181407,0.150326906,-1.208706921,-0.523454204,-0.848164115
UDP-D-galactose / UDP-D-glucose,C00052 / C00029,-1.471430628,-0.079559401,0.563182685,1.275898434,-0.115972793,1.026011241,-1.008602072,-0.195532194,-0.445419387
3- / 4-hydroxyphenylacetic acid,C05593 / C00642,1.623727371,0.153756505,0.220254543,-1.358890893,0.111079973,-0.93787899,0.465593839,0.264836479,0.685848382
hypoxanthine,C00262,-0.896116622,-0.542631523,-0.934504637,0.317170752,-0.036314347,-0.23986485,-0.201476835,-0.57894587,-1.135981472
UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine,C00203 / C00043,-0.791129503,-0.325044384,-0.185796558,0.610879564,0.144794445,0.227976488,-0.377356456,-0.180249939,-0.563153014
citrulline,C00327,1.070000508,-0.45012053,-0.464737482,-0.66439368,0.855727358,-1.203434058,0.331303931,0.405606827,-0.13343355
citrate / citrate(iso),C00158 / C00311,-0.651795072,0.136178847,0.442532324,0.474713328,-0.31326059,0.213835971,-0.880491425,-0.177081744,-0.437959101
serine,C00716,-0.218750803,0.04858064,-0.104259502,0.32144707,0.054115627,-0.040022029,-0.15451333,0.102696266,-0.258772832
DL-DOPA,C00355,0.506932005,0.444737226,1.16525613,0.096996582,0.159191361,0.012199653,-0.646124472,0.603928587,0.519131658
methionine,C00073,-0.428112665,-0.053866396,0.240492028,0.124983302,-0.249262966,-0.028946631,-0.697551324,-0.303129362,-0.457059296
2-keto-3-deoxy-d-gluconic acid,C01216,-0.53303976,-0.191418175,0.213667864,-0.006197827,-0.347819412,0.414893139,-0.331814485,-0.539237587,-0.118146621
N-acetyl-DL-alanine ,n/a,-0.496533221,0.620336695,-0.837351522,0.456798104,-0.660071812,-0.261820121,0.07899818,-0.039735117,-0.758353342
5-HIAA,C05635,0.667057157,0.199097069,-1.592030464,-0.214980583,0.252979504,-0.368794517,1.890293104,0.452076573,0.298262639
D-galactosamine/glucosamine-1/6-phosphate,C03783 / C00352 / C06377 / C06156,-0.446958671,-0.090738077,0.333378586,0.438850851,0.082630256,0.363008951,-0.417328306,-0.008107821,-0.083949721
spermine,C00750,0.224205663,0.016510279,-0.271575339,0.038708045,0.246403429,-0.03798553,0.457795472,0.262913708,0.186220133
L-NMMA,C03884,-0.682564481,0.187485743,0.190668018,0.123090496,-0.746959728,0.105061778,-0.768170721,-0.559473985,-0.577502704
valine / norvaline,C16436 / C01799,0.223418693,0.281147956,0.133871973,0.248313229,0.190583966,-0.0421603,0.047386419,0.471731922,0.181258393
4-hydroxyproline / 5-aminolevulinate,C01157 / C00430,0.205090579,0.867174846,0.441556045,0.139887074,-0.522197194,0.21232085,-0.024144616,0.344977652,0.417411429
IMP,C00130,-0.361545916,-0.12530215,0.45463008,0.524431046,0.28818728,0.372641145,-0.443534851,0.16288513,0.01109523
acetylcholine+,C01996,1.609650075,-1.554366775,-1.149425244,-1.451729463,1.712287387,-2.327915227,0.431160092,0.157920612,-0.718265152
acetoacetic acid,C00164,0.661444669,-0.01623616,-0.729209532,-0.618862767,0.058818063,-0.089571442,1.301082759,0.042581903,0.571873227
D-glucuronolactone,C02670,-0.568532256,0.590146631,-0.99897859,0.339916684,-0.818762204,-0.197836503,0.232609831,-0.228615573,-0.766368759
a-KG,C00026,-0.301878087,0.550356488,0.704233297,0.710682242,-0.141552333,0.355498233,-0.650613152,0.408804155,0.053620146
AMP / dGMP,C00020 / C00362,-0.312659897,-0.268574548,0.20090973,0.049477271,0.005391922,0.322257863,-0.191311764,-0.263182626,0.009597966
glutathione disulfide,C00127,-0.477001551,-0.20980594,-0.216164427,0.294656261,0.02746065,0.072700092,-0.188137033,-0.18234529,-0.404301459
ADP / dGDP,C00008 / C00361,-0.693215541,-0.165448454,0.109577315,0.30950006,-0.218267028,0.29214919,-0.510643666,-0.383715481,-0.401066351
ATP / dGTP,C00002 / C00286,-0.999651859,-0.013235997,0.510192357,0.196996519,-0.789419342,0.41255494,-1.097289277,-0.80265534,-0.587096919
GTP,C00044,-2.888223826,1.230274372,0.773846269,1.424100119,-2.694398079,0.972525325,-2.68954477,-1.464123707,-1.915698501
ADP-D-glucose,C00498,-0.777157177,-0.656406902,-0.105902092,0.323488437,0.202738162,-0.000917318,-0.672172403,-0.453668741,-0.778074495
carbamoyl phosphate,C00169,-0.210391647,-0.335113497,-0.056499116,-0.124547106,0.000174744,0.147932437,-0.005960094,-0.334938753,-0.06245921
itaconic acid,C00490,-0.183813194,0.371645489,0.445244343,0.645571005,0.090112322,0.423545085,-0.205512452,0.461757811,0.239731891
ManNAC,C00645,0.315989535,0.716214879,0.103279188,0.554761441,0.154536097,-0.099410256,0.113300091,0.870750976,0.216579279
ornithine,C01602,0.423502046,1.117357624,1.231529102,-0.29244588,-0.986301458,-0.099811305,-0.907838361,0.131056166,0.323690741
thiamine phosphate+,C01081,0.255264999,0.348291614,0.542257114,0.104436022,0.011409406,0.149409768,-0.137582348,0.35970102,0.404674767
NADP+,C00006,-2.556466286,-0.712935264,-0.125747973,0.226564685,-1.616966337,0.309884423,-2.12083389,-2.329901602,-2.246581863
tryptophan,C00806,0.365387966,0.154419248,-0.077766813,-0.139402496,0.071566222,-0.099293533,0.343861246,0.22598547,0.266094433
biotin,C00120,-0.32811787,-0.539728904,-0.757951864,-0.170856439,0.040754595,-0.334617227,0.095216767,-0.498974309,-0.662735097
CDP,C00112,-1.931142919,-0.482163945,-1.031001899,0.511736683,-0.937242292,-0.175945313,-1.076086334,-1.419406236,-2.107088233
ascorbic acid,C00072,0.667684285,2.336460252,0.742060472,0.889327496,-0.779448471,0.22241297,0.148036783,1.557011781,0.890097254
maleic acid,C01384,-0.43917903,0.111905651,-0.463477901,0.450606393,-0.100478288,0.390339745,0.414638616,0.011427363,-0.048839285
XMP,C00655,-1.850314175,-0.61041102,-0.612702467,1.411249839,0.171346683,0.163779068,-1.073832641,-0.439064336,-1.686535107
y-glutamylcysteine,C00669,0.333815248,-0.188547131,0.497687165,-0.148069694,0.374292685,-0.253834068,-0.417705984,0.185745554,0.079981181
butyric acid,C00246,-0.453149901,-0.011229456,0.123274407,0.213129367,-0.228791077,0.389697841,-0.186726466,-0.240020533,-0.063452059
dopamine,C03758,0.692634428,1.048024043,-0.047835959,-0.106339617,-0.461729232,-0.520954016,0.219516371,0.586294811,0.171680412
GAP / DHAP,C00118 / C00111,-0.518461106,0.263365683,-0.281859499,0.504863651,-0.276963138,0.180881925,-0.055719681,-0.013597454,-0.33757918
GDP-L-fucose,C00325,-1.005976159,-0.734055862,-0.061034761,0.414863507,0.142943209,0.010256318,-0.93468508,-0.591112652,-0.995719841
dihydroorotate,C00337,0.884197146,1.634405155,0.787199486,-0.048887741,-0.79909575,-1.028001053,-0.931003392,0.835309405,-0.143803906
GDP,C00035,-0.771571932,-0.013613775,0.273499475,0.240187757,-0.517770401,0.11304733,-0.932024077,-0.531384175,-0.658524602
glycerol 2/3-phosphate,C02979 / C00093,-0.29117548,-0.33008693,-0.34295835,0.268161374,0.307072825,-0.136946818,-0.085163948,-0.023014106,-0.428122298
UDP,C00015,-1.55122316,-0.827941247,0.357870252,0.28607999,-0.437201922,0.450251376,-1.458842035,-1.265143169,-1.100971784
"F-1,6/2,6-DP",C00354 / C00665,-1.450839464,-0.223724218,-1.104935552,0.578074946,-0.6490403,-0.185829509,-0.53173342,-0.872764518,-1.636668973
IDP,C00104,-0.957625969,-0.239197401,1.119958848,-0.15853011,-0.876958678,-0.481620789,-2.559205605,-1.116156078,-1.439246757
dimethylglycine,C01026,-0.356720391,-0.161042088,-0.292737675,0.182455911,-0.013222392,-0.253449571,-0.317432287,-0.17426448,-0.610169962
NADPH,C00005,-0.688926086,-0.317226209,NA,-0.044372074,-0.416071951,NA,-1.667714868,-0.73329816,NA
putrescine,C00134,1.144937514,0.270098056,-0.329891976,-1.005501165,-0.130661707,-0.946915597,0.527913893,0.139436349,0.198021917
pantothenic acid,C00864,-0.289252743,-0.183474948,0.022629501,0.232299233,0.126521439,0.251408962,-0.060473282,-0.05695351,-0.03784378
sorbitol / galactitol / L-iditol / manitol,C00794 / C01697 / C01507 / C00392,0.672631581,-0.93878855,-0.270257007,-0.542918455,1.068501675,-1.075337248,-0.132448661,0.129713125,-0.402705667
thymidine,C00214,-0.496975031,1.290703727,0.634097604,-0.37328602,-2.160964779,0.343709487,-0.787363148,-0.870261051,-0.153265544
phosphoenolpyruvate,C00074,-1.448725777,-0.264386142,0.824468822,0.718939823,-0.465399812,0.553095858,-1.72009874,-0.729785954,-0.895629918
serotonin,C00780,-0.375191666,-1.071084195,0.338960913,-0.776607172,-0.080714642,0.306912476,-0.407240102,-1.151798837,-0.06827919
dehydroascorbic acid,C05422,0.22888967,0.676969664,-0.36935142,0.689435902,0.241355909,-0.150880261,0.44736083,0.918325573,0.078009409
deoxyuridine,C00526,2.20447918,1.412107863,0.492710553,-4.574460531,-3.782089214,-2.206941945,-0.495173318,-2.369981351,-0.002462765
caffeic acid,C01197 / C01481,-0.36305817,-0.861051999,0.430994028,0.006987493,0.504981322,0.375991657,-0.418060541,-0.356070677,0.012933487
2-keto-isovaleric acid,C00141,0.369655884,0.859657604,0.321258344,0.418985885,-0.071015836,-0.156505139,-0.1081076,0.788641768,0.213150744
glyoxylic acid,C00048,0.3061493,0.727924056,0.274202546,0.005927458,-0.415847298,-0.030371549,0.001575204,0.312076759,0.275777751
methylmalonic acid,C02170,-0.306504613,0.248264284,0.158249675,0.545564098,-0.009204799,0.494637934,0.029883646,0.239059485,0.188133321
thymine,C00178,0.829233616,-0.120105923,0.437494006,-1.141615398,-0.192275859,-0.012979864,0.378759745,-0.312381781,0.816253752
3-phosphohydroxypyruvic acid,C03232,-0.232560433,0.690758615,0.816842509,0.791803073,-0.131515975,0.380409695,-0.668993248,0.55924264,0.147849261
D-galactonic acid / D-gluconic acid,C00880 / C00257,-0.200797418,0.200791445,0.472175725,0.061202226,-0.340386637,0.348548946,-0.324424197,-0.139595192,0.147751528
GABA,C00334,0.259073769,0.105539222,-0.286536638,-0.178739467,-0.02520492,-0.43808695,0.107523457,0.080334302,-0.179013181
2- / 3-phosphoglycerate,C00631 / C00197,-0.642118287,-0.053033253,0.596404449,0.491635098,-0.097449936,0.308467898,-0.930054837,-0.150483189,-0.333650388
3- / 7-methylguanine,C02230 / C02242,-0.342550996,-0.929606906,-0.686775207,-0.394980427,0.192075482,-0.416435917,-0.072211706,-0.737531423,-0.758986914
adenylosuccinate,C03794,-1.207824777,0.614447625,1.139363788,0.768313905,-1.053958497,0.21333691,-2.133851654,-0.439510871,-0.994487866
ethyl acetate,C00849,-0.663360107,0.984597184,-0.71666355,0.974205306,-0.673751985,-0.349540462,-0.29623702,0.310845199,-1.012900569
galactosamine / glucosamine / mannosamine,C02262 / C00329 / C03570,0.330406211,-0.047942445,-0.126076563,-0.52253384,-0.144185184,-0.29644024,0.160042534,-0.192127628,0.033965971
lysine,C00047 / C00739,-0.402391617,0.564191532,0.034014487,0.199746263,-0.766836886,-0.269590341,-0.705996445,-0.202645354,-0.671981958
UMP,C00105,-0.343610406,-0.417297028,-0.390869842,0.4862238,0.559910421,0.08626934,0.133528775,0.142613393,-0.257341066
epinephrine / normetanephrine,C00788 / C05589,0.151937036,-0.149628692,-0.498431243,-0.016304689,0.285261038,-0.116465964,0.533902315,0.135632346,0.035471072
kynurenic acid,C01717,-0.280895873,-0.837842691,-1.276459757,-0.880158404,-0.323211586,0.332664701,1.328228585,-1.161054277,0.051768828
5'-deoxyadenosine,C05198,0.396271387,1.047159634,0.96977904,0.174476748,-0.476411499,-0.212167114,-0.785674767,0.570748135,0.184104273
phenylalanine,C02057,-0.210476312,-0.230371345,-0.341592418,0.045870612,0.065765645,-0.087875974,0.043240132,-0.1646057,-0.298352286
uridine,C00299,-0.220888602,-0.467879851,-0.402497405,0.110103593,0.357094843,-0.156534544,0.025074259,-0.110785008,-0.377423146
"cAMP(2',3') / cAMP(3',5')",C02353 / C00575,-0.246320047,0.147453581,-0.148506633,-0.229265454,-0.623039082,-0.092353571,-0.190166985,-0.475585501,-0.338673618
thiamine+,C00378,-0.114961492,-0.933555188,-0.625644537,-0.271082475,0.547511221,0.190951265,0.70163431,-0.386043967,0.075989773
cGMP,C00943,-0.280339444,0.005992683,-0.248511447,-0.243330857,-0.529662983,-0.193470902,-0.225298898,-0.523670301,-0.473810345
5-methylcytosine,C02376,-0.364242004,-0.11612161,-0.322638052,0.386948689,0.138828295,0.07637649,0.034772538,0.022706685,-0.287865513
2-aminobutanoate / 2-/3-aminoisobutanoate,C02261 / C03665 / C05145,-0.102565659,0.023224603,-0.025879,0.439624827,0.313834565,-0.02957464,-0.106261299,0.337059168,-0.132140298
"cCMP(2',3'-)",C02354,0.262115884,-0.522359237,-0.30751014,-0.435318543,0.349156578,-0.242734754,0.326891269,-0.173202659,0.019381129
allantoin,C01551,-0.241573242,-0.214369486,-0.104316074,-0.191123037,-0.218326793,-0.394708909,-0.531966077,-0.432696279,-0.636282151
aspartic acid,C16433,-0.229165243,-0.223686443,-0.35079389,0.218674747,0.213195947,-0.133346003,-0.011717356,-0.010490496,-0.362511246
FAD,C00016,-0.160969589,0.05259756,-0.051708442,0.39787637,0.184309221,0.087851379,-0.021409768,0.236906781,-0.07311821
fructose / mannose,C00095 / C00159,-0.200106209,0.012652447,0.052887918,0.057966073,-0.154792583,0.18169416,-0.071299967,-0.142140136,-0.018412049
GalNAC / GlcNAC,C01074 / C00140,0.263599927,-0.080477368,-0.434833323,-0.332811588,0.011265707,-0.235783151,0.4626501,-0.069211661,0.027816777
N-methylaspartic acid,C12269,-0.480573589,-11.26221246,-0.947563606,-10.1859252,0.595713676,-0.458905491,0.008084526,-10.66649879,-0.93947908
S-adenosyl-L-homocysteine,C00021,-0.122552482,0.558752489,-0.00998305,0.140148055,-0.541156916,-0.049524282,-0.162093714,0.017595573,-0.172076764
succinic acid,C00042,0.079192317,-0.135416479,-0.328110219,0.128199149,0.342807945,-0.216113989,0.191188546,0.207391466,-0.136921673
3-hydroxy-anthranilic acid,C00632,0.061931984,-0.293745015,-0.41207237,0.065954412,0.421631411,-0.324673384,0.149330971,0.127886396,-0.262741399
3-hydroxypropanoic acid,C01013,-0.223987007,-0.799694516,0.011996233,-0.285335205,0.290372303,0.568035457,0.332052217,-0.509322212,0.34404845
3-methoxytyramine,C05587,0.003173623,-0.252552462,0.459189048,-0.096108736,0.159617349,0.69188413,0.235868704,-0.092935113,0.695057752
3-ureidopropionic acid,C02642,0.105748867,-0.144742567,-1.129688471,-0.258948653,-0.008457219,-0.731204527,0.50423281,-0.153199786,-0.62545566
4-hydroxybutanoic acid,C00989,0.193762587,-0.475034776,-1.056464499,-0.114517316,0.554280047,-1.030571859,0.219655227,0.079245271,-0.836809272
4-hydroxyphenylpyruvic acid,C01179,0.090265374,0.037777602,0.581849482,0.413665093,0.466152865,0.619107349,0.127523241,0.503930467,0.709372723
aconitic acid,C00417-C02341,-0.129352591,0.183971944,0.335558196,0.164918568,-0.148405967,0.38140677,-0.083504016,0.035565977,0.252054179
adenosine,C00212,0.19178731,-0.236747631,-0.439398684,-0.035179935,0.393355006,-0.322624303,0.308561691,0.156607375,-0.130836993
alanine,C00041,-0.063912343,-0.165716011,-0.464664166,0.122778329,0.224581997,-0.26770882,0.133043004,0.058865986,-0.331621163
betaine+,C00719,-0.171755692,-0.419482781,0.144131303,0.05571547,0.303442559,0.269128473,-0.046758522,-0.116040222,0.097372781
butyric acid(iso),C02632,0.120156258,0.493769755,0.480163301,0.070397038,-0.303216459,0.234715031,-0.125292013,0.190553296,0.354871288
carnitine+,C00487,-0.025227595,-0.230577152,-0.219047973,0.003370753,0.20872031,-0.057289048,0.136531331,-0.021856842,-0.082516643
choline+,C00114,-0.044314894,-0.00673192,-0.030121547,0.08387248,0.046289505,0.05833753,0.044144183,0.039557586,0.014022635
citraconic acid,C02226,-0.039322547,-0.486101423,-0.788152619,-0.930991917,-0.484213041,-0.682168099,0.066661973,-0.970314464,-0.721490646
cystine,C01420,0.048468984,-0.186672952,-0.737194592,-0.294905833,-0.059763896,-0.249638817,0.536024759,-0.246436849,-0.201169832
cytosine,C00380,0.153072965,-0.565804612,-0.276219892,-0.232703779,0.486173798,-0.350944847,0.078348011,-0.079630814,-0.197871881
deoxyadenosine,C00559,0.306890859,1.872103602,1.053906401,0.099417418,-1.465795325,-0.053274286,-0.800289828,0.406308277,0.253616573
deoxycytidine,C00881,-0.097979219,0.347824664,0.624661038,-0.101232596,-0.54703648,0.061150904,-0.661489353,-0.199211816,-0.036828315
D-sedoheptulose,C02076,-0.108693843,0.132658549,0.762585449,0.438856136,0.197503745,0.763656439,-0.107622853,0.330162293,0.654962596
dTMP,C00364,0.25067072,-0.174980818,0.695659298,0.052758043,0.478409582,-0.039057087,-0.484045664,0.303428763,0.211613633
FMN,C00061,-0.263814328,-1.029712682,0.077748595,-0.471038979,0.294859376,0.507767735,0.166204811,-0.734853307,0.243953407
fumaric acid,C00122,0.184711871,0.312194638,-0.107607485,0.697230545,0.569747778,-0.048910128,0.243409228,0.881942416,0.135801742
glucono-lactone,C00198,-0.397757373,0.181451595,0.346400059,-0.133762645,-0.712971613,0.481106355,-0.263051076,-0.531520018,0.083348983
