Gene name,NBs,GMCs,Hey,Secondary neurons (low Imp),Secondary neurons (high Imp),Secondary motor neurons,Motor neurons,Interneurons,Glia precursors,Midline glia,Subperineurial glia,Cortex glia 1,Cortex glia 2,Astrocytes,Ensheathing glia,Trachea,Twi+,Unannotated
REG,71.25921895,5.828750981,45.51605077,10730.30941,157.4968142,5.751275683,305.2129225,55.10792485,1.728893495,2.030917621,3.149193017,2.286601881,23.53573409,10.64209244,101.2946696,209.3776073,26.26363528,1.626017285
mew,1.07115112,1.021446689,1.269671471,1.048113134,1.064834875,1.094099307,1.165334401,2.048809586,1.009931331,1.029960366,1.206792641,1.01171694,2.499802852,1.197783644,1.415265724,1.977534327,1.480835825,1.020585885
comt,1.596594223,1.292565124,5.665893314,1.206792641,1.158799755,1.225830326,2.01697336,47.74344336,1.044441501,1.029960366,1.053923586,1.064097567,1.094629166,1.077537597,1.122740346,1.09335121,1.054487594,1.084921286
HDAC4,9.014923215,3.183668983,14.66356018,4.29193426,4.060732741,2.449591062,16.67408993,55.31099888,1.247778043,4.124626383,1.539128606,1.497543432,4.540127642,1.665795259,4.803571349,5.509158551,3.281927873,1.593219453
CG15743,2.023490052,1.625194152,1.737041943,2.120950888,1.625222801,1.425660813,2.599625923,2.842327529,1.157495505,1.193776642,1.164196825,1.114852823,1.57157488,1.390731345,1.878205106,2.65953801,1.972108821,1.081767694
CG15744,1.27350692,1.150689233,1.217920869,1.34137751,1.304442601,1.163016433,1.368178072,1.284180876,1.013931426,1.159051048,1.039457465,1.035564289,1.220077546,1.064209244,1.260545886,1.178468096,1.123805735,1.053794688
CG1764,1.35510117,1.108497118,1.602578371,1.405915386,1.178565218,1.112822606,1.393947295,2.165026711,2.822563862,8.376776401,1.113829529,1.252586588,1.609927366,1.161087274,1.361689888,1.321083391,1.077105056,1.050731573
CG1622,7.772258986,3.388434072,3.169752683,79.99470193,8.692397121,2.735226955,6.911084313,5.045165292,1.242855392,1.467799268,1.289567792,1.233282005,3.589003005,1.555578356,11.66914687,18.54458224,8.993257958,1.369417995
IP3K2,1.006654259,1.00243441,1.007108205,1,1.007274765,1,1.003738877,1.01109586,1.31098151,4.780652533,1.296716802,1.209569121,1.006045913,1.517333621,1,1.195416868,1.100207635,1.002915221
CR45018,1.031227014,1.012902917,1.013967643,1.048113134,1.009711428,1.005103439,1,1.096316883,1.958147911,7.017038287,2.241507602,2.599200594,1.006045913,3.859104034,1.026061009,1.109075829,1.23641965,1.00583894
Jafrac1,79715891.44,492.4133803,3264.694928,2844995820,21251383,7355.590423,9888667.252,20791.76576,18.23661401,623.5507341,204.6088289,13.32874341,2163109.646,3428.744588,322388.7574,265006.0653,183.0934513,5.149407596
CR32636,1.025646361,1.017840563,1.027220495,1.035872068,1.049509463,1.011948562,1.034157557,1.018561415,1,1,1,1,1.012128379,1,1.012946696,1.032650806,1,1.0176193
RpS15Aa,6.48623E+17,367314369.8,1.16793E+14,5.0592E+29,1.05714E+20,2.12779E+11,1.97231E+26,8.56855E+22,35080.38715,2894266125,3291599311,407807597,1.75168E+20,4.08142E+14,2.24882E+22,7.17487E+25,3.38808E+23,2979.088731
CG15747,2.404306264,1.69228182,1.637479427,2.442053095,2.615944595,1.583817846,2.513761955,1.889547559,1.082267866,1.060818355,1.104631153,1.13670885,1.860516423,1.274692426,2.307429771,1.573617674,1.646606638,1.130049182
Syt12,1.010302499,1.003764768,1.275681089,1,1.002419065,1.003399405,1.034157557,1.449912697,1,1,1,1,1.006045913,1,1,1.003576279,1,1.002915221
CG1640,2.86887379,1.619456549,6.314044137,6.177550816,1.392376094,1.223752076,3.30094717,92.90757363,1.339795845,1.343399333,2.168375311,1.762810926,2.803134774,1.886581953,4.681565041,3.667254796,2.490653795,1.136647471
Rbp1-like,3429.403949,307.9841503,1574.450247,617.7550816,1915.431065,225.4158888,1131.057289,7787.065037,1.989355717,2.648969288,2.091838786,1.605955689,16.69218114,2.792196292,100,38.41458308,5.017193252,3.705954871
Tim9a,6.443359056,2.27818274,3.506390591,106.0498855,5.492488421,1.854550919,13.63081678,26.21382232,1.353101801,1.467799268,1.946774847,1.832606151,3.013405604,3.20188261,8.139814826,10.14382038,5.578838365,1.273299205
Yippee,7.095910307,3.017176058,5.777337809,3.906939937,2.916405099,1.951400232,10.30305372,12.84180876,1.175942986,1.343399333,1.551945087,1.391037873,5.506018881,1.750827032,11.22740346,6.656651397,3.534981105,1.251253003
CG1662,1.231968585,1.099711278,1.202917483,1.618764507,1.207387845,1.088543989,1.241661575,1.566347719,1.088704132,1.159051048,1.170650813,1.093417032,1.227454029,1.153884029,1.3971769,1.203982446,1.135793919,1.023561118
CR44620,1,1,1.000295171,1,1,1,1,1,1,1.029960366,1.036588156,1,1,1.006242607,1,1.010767252,1.010667487,1
CG1673,1.001810423,1.001548485,1.000590429,1,1,1,1,1,1.021979208,1.383648068,1.220209983,1,1.012128379,1.084264241,1,1.077849537,1.100207635,1
GstT4,1.02688389,1.011113354,1.014266937,1.235482888,1.017056842,1.018840303,1.022643997,1.01109586,1.095178674,1.467799268,2.097629062,20.59014283,1.57157488,2.862574227,2.108736651,3.236514219,15.28733551,1.008771183
CG1998,2.118368799,1.263748773,2.225086169,1.011817161,1.031908366,1.024039893,1.530259174,3.986933369,2.119240561,9.152473109,1.930697729,4.459037726,2.977295833,2.575199094,1.108390354,3.451314183,1.850465983,1.059947732
Set2,1.649431866,1.286579117,1.343297676,1.310228189,1.230952637,1.174917491,1.630488223,1.362025704,1.042379234,1.060818355,1.033726768,1.055865912,1.242341056,1.038045084,1.24443457,1.243293444,1.111944086,1.091256077
Neto-RB,1.075681469,1.01851574,1.166556886,1,1.002419065,1,1.057575017,1.274768461,1.001978422,1,1.011118184,1.003890491,1.006045913,1,1.012946696,1.014382038,1,1.002915221
Neto-RA,1.011521514,1.003542919,1.053937028,1,1,1,1.022643997,1.215246942,1.001978422,1,1.002768032,1,1.012128379,1,1,1.007165348,1,1.002915221
Tango13,1.355918446,1.174848213,1.351648856,1.310228189,1.082997595,1.055799446,1.50197002,1.532157863,1.030090867,1.060818355,1.071548925,1.003890491,1.37639617,1.057607019,1.122740346,1.40876064,1.135793919,1.047677362
up,1.001810423,1.004652653,1.004140333,1,1.002419065,1,1,1.003685024,1,1,1,1,1,1,1,1,1,1.222450698
CG11178,1.726771524,1.251794038,1.523258632,1.137948084,1.147654391,1.137642729,1.885935095,2.102246829,1.050652813,1.029960366,1.059766249,1.039593143,1.335532467,1.077537597,1.197325661,1.141206775,1.100207635,1.03253896
Ndc80,1.057036724,1.01851574,1.052382946,5.302611336,2.75210005,1.238374154,1.077494125,1.08030485,1.032128821,1.266380173,1.104631153,1.027553362,1.444394626,1.23563981,1.470949508,1.344875774,1.317697337,1.026545025
BthD,1.011521514,1.007766442,1.00651393,63.24415701,1.971779477,1.137642729,1.022643997,1.014821773,1.21132813,1.557068405,1.275387796,1.064097567,1.805279717,2.04555335,4.063858216,2.020348812,1.480835825,1.069244728
tth,6.885186122,3.42609094,2.667919837,5.240681363,3.016742906,1.873528397,7.015024198,4.090920938,1.22577855,1.343399333,1.385659944,1.343265587,3.031624392,1.443641837,4.562657582,3.28306189,2.101748011,1.357511017
Tango2,2.007691781,1.375395409,1.44572988,1.618764507,1.239907528,1.211356359,1.686181717,1.68592038,1.073745329,1.193776642,1.230370797,1.158993351,1.418510193,1.220355848,1.344285828,1.545778587,1.419298464,1.094437329
CG2691,1.267379039,1.087143413,1.415751161,1.34137751,1.170053355,1.070229178,1.399159092,1.762001971,1.05899206,1.193776642,1.080471822,1.072393398,1.295881963,1.182967935,1.24443457,1.4188549,1.465205761,1.044632029
NFAT,3.285696078,1.732400751,3.643532825,2.275845926,1.586425665,1.464896452,3.733560358,4.989799177,1.22335823,6.422325422,2.086064493,1.242896817,2.871542069,1.416939644,2.191705124,2.678594525,1.870205806,1.284467545
Lig4,1.092018267,1.04404544,1.072132977,1.124657822,1.019517168,1.03101398,1.085566423,1.154251159,1.017947364,1.092600861,1.013916991,1.019604405,1.068552369,1.057607019,1.080238255,1.047502429,1.054487594,1.002915221
CG11164,1.084145869,1.033483488,1.084864617,9.319395762,1.198667819,1.105295141,1.237036448,1.16277372,1.073745329,1.029960366,1.051014345,1.039593143,1.351730311,1.205260937,1.902521656,1.867746062,2.014408129,1.0176193
CG15760,3.581556004,1.786059568,3.81295092,1.048113134,1.06741078,1.23417868,5.565996767,7.617090883,1.075869651,1,1.025189907,1.035564289,1.055747859,1.064209244,1.228529176,1.117022743,1.010667487,1.163428157
CG12177,1.308532454,1.030973675,1.366892709,1.011817161,1.002419065,1.005103439,1.420201873,1.625034628,1.114834244,1.651766744,1.129330685,1.407336581,1.062130819,1.761756757,1.012946696,1.028970919,1.434438812,1.014661338
CG11158,1.11934947,1.032341907,1.14811296,1.060498855,1.009711428,1.008520193,1.156668947,1.246943126,1.028056936,1.125335583,1.039457465,1.068237429,1.075012744,1.064209244,1.080238255,1.081704228,1.077105056,1.011711974
Nadsyn,2.758616188,1.65931547,2.178946682,1.716697907,1.276383297,1.329849534,2.698474475,2.790531318,1.150652555,1.511775071,1.220209983,1.223741571,2.269974311,1.373529014,2.492573909,3.551301926,2.146827921,1.20478691
Nna1,1.040595662,1.008657867,1.659861212,1,1.002419065,1.006810367,1.038024145,1.717213449,1.001978422,1,1.022359982,1.015653016,1.024403855,1.012524185,1,1.007165348,1,1.00583894
CG9941,2.240544096,1.441062849,2.090134887,1.999955848,1.693367856,1.380431111,2.532594388,4.121126774,1.05899206,1.060818355,1.167419359,1.150027599,1.659186815,1.182967935,1.548617398,1.403740473,1.317697337,1.081767694
mus101,1.051316397,1.041740219,1.056428335,1.820556165,1.10948305,1.043333115,1.045800744,1.076338517,1.013931426,1.060818355,1.042334717,1.003890491,1.101247199,1.044525192,1.197325661,1.195416868,1.123805735,1.00583894
g,2.052983416,1.435657931,1.534539085,1.357228783,1.395744343,1.329849534,2.001975097,2.048809586,1.061087193,1.304321387,1.126213291,1.055865912,1.619660847,1.146725472,1.293396983,1.293087481,1.197680597,1.160046365
Grip91,1.152912324,1.062906718,1.196544173,1.526417967,1.195775161,1.046879827,1.260335658,1.423490695,1.026027021,1.193776642,1.074515006,1.023571167,1.169668589,1.077537597,1.228529176,1.203982446,1.088595061,1.0176193
CG11134,25.81593915,4.18019096,13.44090799,1.508590709,1.131137017,1.505211896,19.35851151,16.79730533,1.496605359,1.557068405,1.640159011,1.637439495,2.150110267,2.375065962,1.878205106,2.746374069,2.337026271,1.262227972
CG11151,33.19546957,3.264190971,28.46889917,2.77892964,1.187139003,1.700810227,44.16281276,178.1552898,3.857146146,19.71840557,6.697772194,5.69482794,9.529225223,10.12524185,4.803571349,12.47739808,6.269530551,1.389495494
CR42861,2.096766861,1.459334155,1.980244383,2.047502731,1.198667819,1.055799446,2.448944429,2.981541747,1.12813355,1.193776642,1.296716802,1.163502404,1.249852142,1.274692426,1.672875756,2.272946153,1.736326272,1.084921286
Pdcd4,3.57508E+11,67741.2822,451414754.4,14393395.71,408040.2857,39729.73757,8.35996E+13,3.62331E+16,6.499433978,10.60818355,10.74515006,6.178652361,12880942572,61.9286898,37139187.83,12126093.99,146520.5761,19.02800133
CR43833,1.001206585,1.001105816,1.001772334,1,1.004843982,1,1.003738877,1,1,1,1,1,1,1,1,1,1,1
CG32625,1.050682719,1.010889881,1.084864617,1.799293623,1.122967691,1.036275697,1.018834699,1.04897895,1.001978422,1,1.002768032,1,1.062130819,1.025205225,1.137276124,1.081704228,1.065736327,1.011711974
Rtc1,1.553858129,1.234755785,1.308859725,2.171374303,2.049497671,1.352607223,1.730810793,1.572119748,1.046507847,1.125335583,1.104631153,1.127915487,1.479643423,1.274692426,2.108736651,1.757766731,1.646606638,1.059947732
Yp3,1.041851229,1.019416674,1.036355708,1.035872068,1.034404619,1.022303755,1.081522743,1.026082093,1.001978422,1.029960366,1,1,1.006045913,1,1.039345109,1.021650438,1.02144877,1.0176193
rdgB,4.83584503,2.66235762,10.18165807,1.490971657,1.556055861,1.594604226,4.286380907,7.505841013,1.130365475,2.648969288,1.101581939,1.233282005,1.418510193,1.399413135,1.344285828,1.265684849,1.160155302,1.349630604
CtsB1,8.569722227,3.098277293,54.093533,4551.59137,33.2285215,4.421215012,14.79715701,559.2472199,7.103986802,17.0125428,44.86015236,143.4926577,122.7454029,75.57503872,61.33515925,60.44986688,14.65205761,1.520715738
CG11103,1.252188027,1.133773378,1.364474405,1.456348478,1.279470951,1.131866318,1.165334401,1.362025704,1.137087778,1.603718744,1.247493856,1.228502526,1.288094257,1.434685658,1.27686579,1.243293444,1.147909986,1.038567893
inaE,60.51737382,10.37833019,11.91962238,1.757510625,1.307598133,1.726983291,124.1661575,13.08017091,1.22577855,1.159051048,1.170650813,1.13670885,2.995296304,1.274692426,2.398215846,2.65953801,1.773568335,2.312576355
CG11095,1.137034815,1.074244168,1.122979167,1.073030941,1.122967691,1.050438596,1.110147986,1.332295739,1.038266909,1.159051048,1.030873278,1.031551049,1.220077546,1.038045084,1.152000093,1.165914401,1.172531244,1.011711974
Clic,38.7357591,4.355635716,17.12608268,127.9802214,11.58799755,2.887851103,416.0301423,446.8479238,1.435758993,3.455107295,3.686605364,1.81842946,186.0516423,2.827166274,119.7325661,430.6342095,46.08870124,1.607193873
Nup93-1,1.670448929,1.415804107,1.29923825,35.14943653,2.622272735,1.454987453,1.776621091,1.482267265,1.130365475,1.159051048,1.223587563,1.181714726,2.325370436,1.686657986,5.605357959,4.844749402,5.070714098,1.146617214
jub,3.88761423,1.788429895,2.478162097,1.562706977,1.574968142,1.285476412,3.288651308,2.399891974,1.137087778,1.193776642,1.095508739,1.322563479,1.751682928,1.323188207,1.452148977,1.834703509,1.317697337,1.18048557
AMPdeam,7.269123767,2.876506212,5.444589448,3.237457543,2.301519667,2.01192092,17.11541201,118.8720828,1.444297476,3.257020656,1.530643141,1.218999065,2.639161509,2.032862985,2.762744876,2.707435627,2.438354098,1.455742975
mamo,2.56917E+24,51958.55912,7.04049E+17,3816.213408,24.92540264,24.53751107,1308258843,1.25154E+13,3.671190044,37.75053205,3.430948235,3.000781691,11.62639373,12.05260937,1361.689888,102.5304145,42.78942057,32.69930776
CR44655,1.003624124,1.000884555,1.009190933,1,1.007274765,1.001698261,1.003738877,1.003685024,1,1,1,1,1,1.006242607,1,1,1.010667487,1
ben,155573.2991,365.1287259,103941.8797,18858.63279,1906.197479,124.0477236,2875219.39,44032157742,5.526997529,10,18.7287591,9.769716381,739.79254,58.55548299,4011.917145,8014.491433,259.8642541,3.760289127
CR44657,1.099284839,1.006653268,1.009786789,1.011817161,1,1.003399405,1.077494125,1.100356837,1.001978422,1,1,1,1,1.006242607,1.012946696,1,1,1
CG11590,14.05867813,2.728488015,6.330837465,6.177550816,1.681137972,1.401673993,21.09352241,7.315049216,1.606973014,1.75222448,1.979331824,1.457387506,3.482449415,4.056094905,4.803571349,11.82682626,5.179474679,1.190839825
l(1)G0007,1.890219225,1.410182183,1.611589949,3.353591839,2.335127498,1.512893653,2.01697336,1.903499275,1.108243501,1.159051048,1.210133081,1.21427494,1.6492158,1.29065691,1.716472585,2.146757287,1.62922688,1.11696729
l(1)G0469,23.03554722,7.719472016,3.071220132,4.498432669,2.094552694,1.474872934,27.69896447,4.534710022,1.150652555,1.914481976,1.148217098,1.127915487,2.941618766,1.182967935,3.527654418,2.970764442,2.711313419,1.630757485
mRpL38,1.968140216,1.405514302,2.059518517,4.55159137,1.60570706,1.303045166,2.421679658,3.786820856,1.192325548,1.383648068,1.444321465,1.292107009,1.976111831,1.443641837,2.398215846,2.688173926,2.239909206,1.088084071
CG42271,1.586040301,1.249306233,1.688518284,1.111522779,1.039415257,1.147335665,1.630488223,1.889547559,1.192325548,1.229542627,1.226974492,1.343265587,1.212745393,1.298713974,1.137276124,1.252202074,1.185039206,1.075487984
Fbxl4,1.155696176,1.094618399,1.185996939,1.137948084,1.201567474,1.109052487,1.182860555,1.298429967,1.036216835,1.029960366,1.036588156,1.019604405,1.141804165,1.044525192,1.080238255,1.055008148,1.04335759,1.020585885
CG1434,1.143221545,1.09196012,1.140346036,1.930697729,1.16722975,1.099682976,1.298530599,1.288913113,1.04032104,1.060818355,1.068591031,1.039593143,1.220077546,1.132541315,1.27686579,1.302352902,1.135793919,1.041595548
mRNA-cap,2.699384371,1.778967421,1.984339584,5.825136712,2.57207315,1.624647054,2.801081659,2.970595033,1.130365475,1.266380173,1.254409619,1.172573207,2.0612759,1.416939644,2.081784421,2.726835345,1.773568335,1.149959857
mud,1.005441109,1.006430781,1.010084849,4.393970561,3.031355954,1.221677349,1.018834699,1.01109586,1.013931426,1.092600861,1.042334717,1.01171694,1.590635536,1.118532606,1.878205106,1.40876064,1.160155302,1.044632029
CG13404,1.480687712,1.215260244,1.414915753,1.048113134,1.012153986,1.083016878,1.60632968,1.471402974,1.009931331,1,1,1.027553362,1.012128379,1.012524185,1.052801194,1.007165348,1,1.075487984
na,1.599484734,1.246272294,1.682548922,1.011817161,1.009711428,1.03101398,2.070357676,2.254421636,1.009931331,1.029960366,1,1.007796118,1,1,1.039345109,1.025304145,1.010667487,1.059947732
Muc12Ea,1.053854933,1.018740899,1.081029331,1.011817161,1.007274765,1,1.152360413,1.237803645,1,1.029960366,1,1,1,1.006242607,1,1.003576279,1,1.008771183
dpr8,2.875801046,1.674421672,26.82922016,1.011817161,1.036906911,1.054009463,2.070357676,7.589124776,1.050652813,1,1.086461661,1.027553362,1.198213012,1.091032877,1.122740346,1.238862924,1.032345062,1.130049182
CG14414,8.295201081,3.386187867,3.687888222,4.498432669,2.951851046,2.190064423,7.015024198,5.31177434,1.213724648,1.266380173,1.296716802,1.262351901,2.29750542,1.584893192,3.527654418,4.306342095,2.124168382,1.269598046
mRpS25,4.166733824,2.22640863,6.75552432,27.46474115,4.604356478,2.517006306,7.816832288,37.04163055,1.399338383,1.557068405,1.811770739,1.669540523,3.049953329,2.434930033,7.438894164,5.812207162,4.70772472,1.233173036
nmdyn-D6,1.124761616,1.075432085,1.082306251,1.111522779,1.104134641,1.075691027,1.274525298,1.265425034,1.034170808,1.125335583,1.074515006,1.043637671,1.162639373,1.125515166,1.108390354,1.133087806,1.135793919,1.0176193
CG9413,1.709162876,1.19184989,4.131655197,1,1.014602452,1.03101398,2.272814647,30.81895377,1.038266909,1,4.186477288,1.031551049,1.134942403,1.153884029,1.039345109,1.121017528,1.02144877,1.059947732
NetA,1.114635209,1.122551807,1.07530181,1.206792641,1.16441296,1.077517831,1.073480514,1.033658301,1.044441501,1,1.042334717,1.007796118,50300312.2,1.012524185,1.379319273,1.09335121,1,1.041595548
CG5321,1.003624124,1.001105816,1.002955635,1,1.002419065,1.001698261,1.003738877,1.007383627,1.337150397,4.248201698,1.011118184,1,1.018247619,1.545927736,1.012946696,1,1,1.002915221
NetB,15.50115181,3.602385527,12.19719405,1.294925842,1.856202672,1.998311684,1.864938461,1.308017091,1.101691721,1.125335583,1.14504757,1.068237429,2871542069,1.077537597,1.24443457,1.22566587,1.44974067,1.611879198
hog,1.018866559,1.009550081,1.010979557,1,1,1.003399405,1.003738877,1,1.001978422,1,1.002768032,1.003890491,1.088050905,1,1,1,1,1.00583894
CG15890,1.001810423,1.00199135,1.003547809,1,1.002419065,1.001698261,1.007491733,1.01109586,1.228203657,2.980979397,1.033726768,1.007796118,1,1.077537597,1,1.003576279,1.010667487,1
Ag5r,1.067283153,1.027788181,1.04959137,1.035872068,1.031908366,1.022303755,1.101892898,1.060618274,1.001978422,1,1.008327102,1,1,1,1,1.097261339,1.065736327,1.002915221
rut,6.408489767,2.382736039,3.769315556,1.405915386,1.36242529,1.268144535,3.504051677,4.585026531,1.082267866,1.125335583,1.213482768,1.051773994,1.265010822,1.077537597,1.260545886,1.684056233,1.612030565,1.422233562
CG14408,2.578482757,1.68742597,3.669431804,1.073030941,1.034404619,1.126119237,2.324280254,4.670131113,1.080130911,1.266380173,1.051014345,1.059973749,1.220077546,1.097843767,1.094223771,1.208288223,1.077105056,1.113720549
CG14411,3.790404158,1.975033842,2.972239658,2.714397642,2.049497671,1.573104428,3.719653034,4.585026531,1.189971282,1.42510267,1.314763198,1.593532322,2.499802852,1.624840782,2.307429771,2.476272585,1.930697729,1.13996105
CG14407,3.677842162,1.993895575,8.073746494,4.826957438,1.685204755,1.565116948,8.0537243,212.5573066,1.900946775,2.810075242,2.408533555,3.143912779,3.379059285,3.386333521,4.803571349,3.30658617,3.972632041,1.153312244
CG32590,3.287677716,2.050208466,1.857399862,2.146014505,2.329492305,2.035960482,3.30094717,2.927208611,1.121464183,1.304321387,1.170650813,1.195560807,1.976111831,1.266784389,2.002977071,1.808690848,1.480835825,1.130049182
Flo2,34.29403949,19.4987477,8.271518293,2.529654588,6.079117024,19.25089808,55.65996767,34.79633844,1.487757639,6.235507341,1.842069969,1.920017679,4.793230038,2.020251349,6.457372888,2.603178064,2.36195647,2.605728743
CG9518,1.002414626,1.001327126,1.024798068,1,1.009711428,1.010232923,1,1.003685024,1,1,1.002768032,1.003890491,1.006045913,1.018844976,1.012946696,1.007165348,1.032345062,1.00583894
CG9512,1.001810423,1.004652653,1.006216924,1,1.002419065,1.001698261,1.007491733,1.007383627,1.385577752,3.16227766,1.019537869,1,1,1.012524185,1,1.003576279,1.010667487,1
CG9503,1,1.001105816,1.001476727,1,1.002419065,1,1.003738877,1,1,1,1.008327102,1,1.155652399,1,1,1.178468096,1.010667487,1
pdgy,1.114635209,1.044507096,1.0759367,1.085711119,1.021983447,1.03101398,1.135286173,1.04897895,1.841772786,17.0125428,7.058940087,3.035941671,4.595192029,4.888652745,1.379319273,2.502935237,8.087868871,1.035549039
CR44831,1.053219725,1.010443084,1.021175133,1.011817161,1.002419065,1.005103439,1.030305372,1.007383627,1.003960759,1,1,1,1.030597312,1,1.012946696,1.05124859,1.02144877,1
eag,2.397069051,1.327895988,4.036439634,1.048113134,1.009711428,1.022303755,2.532594388,25.08193409,1.048578282,1.029960366,1.011118184,1.023571167,1.062130819,1.018844976,1.039345109,1.09335121,1,1.153312244
hiw,2.530736468,1.589313459,2.938225384,1.389495494,1.590263332,1.505211896,2.332970452,3.557281312,1.038266909,1.029960366,1.022359982,1.019604405,1.062130819,1.051045753,1.166914687,1.141206775,1.032345062,1.18048557
be,1.002414626,1.004208612,1.007108205,1.011817161,1,1.006810367,1.003738877,1.007383627,1.187621665,2.648969288,1.397198476,1.059973749,1.265010822,1.536336988,1.094223771,1.283887977,1.360318339,1.008771183
CG5541,1.004835082,1.00199135,1.005326431,1.023773966,1.002419065,1,1.007491733,1.01109586,1.157495505,2.030917621,1.074515006,1.262351901,2.036575541,1.416939644,1.066431491,1.182682626,1.389495494,1.002915221
ND-B18,27.66944982,3.560429182,25.09811574,106.0498855,7.629154155,2.538451686,74.18914338,1723.541422,2.400255706,5.707031326,5.565423267,3.922761512,8.04931943,9.876307302,17.16472585,21.77632032,14.34438812,1.361468462
opm,1.602380479,1.352184044,1.552761824,3.641031949,2.660564347,1.525783799,1.513222378,1.460618312,1.57241263,7.227271321,1.464422074,1.38027707,2.0612759,2.480816231,2.002977071,1.739042027,1.951293423,1.088084071
dob,1.016412304,1.011560448,1.00651393,1.085711119,1,1.006810367,1.022643997,1.022314839,1.030090867,1.229542627,1.002768032,1,1.012128379,1.012524185,1.012946696,1.007165348,1.010667487,1.002915221
Lsd-2,1.0525849,1.033940474,1.042183317,2.500110383,1.785814342,1.217538442,1.065498087,1.145791065,27.40111531,5707031326,35.4666303,3.131728816,1.894466417,54.34193956,1.902521656,4.27570518,6.073095888,1.023561118
CR44662,1.01396396,1.005541324,1.011576469,1.011817161,1.007274765,1.003399405,1.018834699,1.022314839,1.01593741,1.092600861,1.008327102,1,1,1.038045084,1,1,1.010667487,1
CR44960,1.12070006,1.071398519,1.081986879,1.098541142,1.069992916,1.072046706,1.143791434,1.145791065,1.011929402,1.060818355,1.011118184,1.007796118,1.068552369,1.031605178,1.108390354,1.121017528,1.123805735,1.00583894
CG33178,1.002414626,1.001327126,1.000295171,1,1.002419065,1,1,1,1.009931331,1.229542627,1.016723545,1,1,1.132541315,1,1.058781152,1,1
CG9065,5.975596327,2.542160893,13.21279256,7.543120063,2.32387071,1.712393368,9.633687281,601.9393232,1.728893495,4.375479375,2.395254919,2.043086141,2.150110267,2.809626877,2.946278137,3.786993622,2.490653795,1.20478691
CG15027,1.597557146,1.322038553,1.785378603,3.861310214,2.923460073,1.559814507,1.921456116,2.026325758,1.175942986,1.229542627,1.311133937,1.423826259,1.720291701,1.655460867,2.429264817,2.020348812,1.512597932,1.110483245
CG5599,1.038715148,1.015817714,1.022381353,1.023773966,1.036906911,1.006810367,1.015039591,1.05672422,1.05899206,1.42510267,1.151395399,1.031551049,1.094629166,1.051045753,1.166914687,1.283887977,1.147909986,1.008771183
Rab3-GEF,1.524165782,1.138293353,2.426058715,1.011817161,1.007274765,1.013667115,1.541723467,4.060936495,1.030090867,1.029960366,1.019537869,1.019604405,1.006045913,1.018844976,1.039345109,1.021650438,1,1.059947732
drd,1.048151825,1.013798886,1.040953735,1,1.002419065,1.003399405,1.049710864,1.317675001,1.003960759,1.029960366,1.002768032,1.003890491,1,1,1,1.018009751,1,1.011711974
RpL37a,2.75363E+39,9.8879E+19,7.63798E+32,8.99667E+61,3.15084E+34,1.53357E+21,1.26505E+60,4.9898E+54,1418833162,1.19378E+16,8.92854E+22,9.4709E+15,1.64922E+36,2.95305E+28,4.33383E+55,4.02394E+75,5.6985E+63,5819083.839
CG9095,1.000603111,1.000663343,1,1.048113134,1,1,1.007491733,1.003685024,1,1,1.008327102,1.003890491,1.012128379,1,1.066431491,1.590561213,1.032345062,1.008771183
CG43737,53.67501713,2.845518849,182.0495857,1.098541142,1.054593268,1.116605542,2125.154944,354422.0774,1.242855392,1.060818355,1.107688807,1.089179589,1.141804165,1.22797405,1.122740346,1.480957637,1.04335759,1.247615927
CR44663,1.002414626,1.000221066,1.001476727,1,1,1,1.007491733,1,1,1,1,1,1,1,1,1,1,1
CG5877,1.150135178,1.069742039,1.10522423,1.060498855,1.088243616,1.050438596,1.118464918,1.1415843,1.01593741,1,1.030873278,1.015653016,1.049403258,1.051045753,1.066431491,1.047502429,1.02144877,1.0176193
CR44429,1.059589072,1.019416674,1.044338582,1,1.002419065,1.006810367,1.041905189,1.068449484,1.005947017,1,1.019537869,1.007796118,1.006045913,1.012524185,1.012946696,1.003576279,1,1
gce,7.247242944,1.911467843,10.36661611,1.048113134,1.021983447,1.038035564,7.041252508,22.71067445,1.150652555,1.511775071,1.177140579,1.097670962,1.128121876,1.182967935,1.080238255,1.274753921,1.04335759,1.211821589
CR44961,1.010911823,1.007543709,1.007405474,1.011817161,1,1.001698261,1.003738877,1.003685024,1.003960759,1,1,1,1,1,1.012946696,1.003576279,1,1
Top1,100.8476729,13.1417198,33.9038216,12.35482888,13.99120739,7.558023771,64.86247511,34.79633844,1.60380002,5.379838403,1.658394601,1.942514412,9.026042668,3.241983579,7.249953073,6.40031797,2.859046364,2.305854281
dah,1.01396396,1.005319083,1.019368472,1.206792641,1.125684223,1.015388586,1.034157557,1.026082093,1.003960759,1.060818355,1.022359982,1.007796118,1.075012744,1.139611326,1.361689888,1.125026599,1.065736327,1.00583894
CG9114,1.098622248,1.036228435,1.041260995,3.237457543,1.288778802,1.057592468,1.279290591,1.145791065,1.050652813,1.125335583,1.173891211,1.043637671,1.609927366,1.22797405,1.761205593,1.67805504,1.792487853,1.035549039
HDAC6,1.374852438,1.177968626,1.350851273,1.279802214,1.158799755,1.092244391,1.513222378,1.742665597,1.069509261,1.060818355,1.086461661,1.106228535,1.107905243,1.205260937,1.3101422,1.444408124,1.077105056,1.069244728
