"","category","term","ontology"
"GO:0008610","GO:0008610","lipid biosynthetic process","BP"
"GO:0006277","GO:0006277","DNA amplification","BP"
"GO:0007279","GO:0007279","pole cell formation","BP"
"GO:0055086","GO:0055086","nucleobase-containing small molecule metabolic process","BP"
"GO:0007140","GO:0007140","male meiotic nuclear division","BP"
"GO:0006506","GO:0006506","GPI anchor biosynthetic process","BP"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","BP"
"GO:0000910","GO:0000910","cytokinesis","BP"
"GO:0006629","GO:0006629","lipid metabolic process","BP"
"GO:0031090","GO:0031090","organelle membrane","CC"
"GO:0070469","GO:0070469","respirasome","CC"
"GO:0098803","GO:0098803","respiratory chain complex","CC"
"GO:0090407","GO:0090407","organophosphate biosynthetic process","BP"
"GO:0035805","GO:0035805","egg coat","CC"
"GO:0060388","GO:0060388","vitelline envelope","CC"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","MF"
"GO:0004527","GO:0004527","exonuclease activity","MF"
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","BP"
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","BP"
"GO:0019866","GO:0019866","organelle inner membrane","CC"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","BP"
"GO:0045495","GO:0045495","pole plasm","CC"
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","BP"
"GO:0000725","GO:0000725","recombinational repair","BP"
"GO:0005739","GO:0005739","mitochondrion","CC"
"GO:0007112","GO:0007112","male meiosis cytokinesis","BP"
"GO:0098687","GO:0098687","chromosomal region","CC"
"GO:0009117","GO:0009117","nucleotide metabolic process","BP"
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","CC"
"GO:0071897","GO:0071897","DNA biosynthetic process","BP"
"GO:1902969","GO:1902969","mitotic DNA replication","BP"
"GO:0007338","GO:0007338","single fertilization","BP"
"GO:0042600","GO:0042600","egg chorion","CC"
"GO:0016796","GO:0016796","exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","MF"
"GO:0007305","GO:0007305","vitelline membrane formation involved in chorion-containing eggshell formation","BP"
"GO:0030704","GO:0030704","vitelline membrane formation","BP"
"GO:0035803","GO:0035803","egg coat formation","BP"
"GO:0009566","GO:0009566","fertilization","BP"
"GO:0030703","GO:0030703","eggshell formation","BP"
"GO:0030496","GO:0030496","midbody","CC"
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","BP"
"GO:0005746","GO:0005746","mitochondrial respirasome","CC"
"GO:0044255","GO:0044255","cellular lipid metabolic process","BP"
"GO:0070192","GO:0070192","chromosome organization involved in meiotic cell cycle","BP"
"GO:0000077","GO:0000077","DNA damage checkpoint signaling","BP"
"GO:0061511","GO:0061511","centriole elongation","BP"
"GO:0005743","GO:0005743","mitochondrial inner membrane","CC"
"GO:0000003","GO:0000003","reproduction","BP"
"GO:0030953","GO:0030953","astral microtubule organization","BP"
"GO:0031445","GO:0031445","regulation of heterochromatin formation","BP"
"GO:0120261","GO:0120261","regulation of heterochromatin organization","BP"
"GO:0006505","GO:0006505","GPI anchor metabolic process","BP"
"GO:0007304","GO:0007304","chorion-containing eggshell formation","BP"
"GO:0051255","GO:0051255","spindle midzone assembly","BP"
"GO:0009247","GO:0009247","glycolipid biosynthetic process","BP"
"GO:0043228","GO:0043228","non-membrane-bounded organelle","CC"
"GO:0043232","GO:0043232","intracellular non-membrane-bounded organelle","CC"
"GO:1902749","GO:1902749","regulation of cell cycle G2/M phase transition","BP"
"GO:0006508","GO:0006508","proteolysis","BP"
"GO:0072521","GO:0072521","purine-containing compound metabolic process","BP"
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","MF"
"GO:0042770","GO:0042770","signal transduction in response to DNA damage","BP"
"GO:0042555","GO:0042555","MCM complex","CC"
"GO:0031966","GO:0031966","mitochondrial membrane","CC"
"GO:0009058","GO:0009058","biosynthetic process","BP"
"GO:1902275","GO:1902275","regulation of chromatin organization","BP"
"GO:0007056","GO:0007056","spindle assembly involved in female meiosis","BP"
"GO:0008156","GO:0008156","negative regulation of DNA replication","BP"
"GO:0010927","GO:0010927","cellular component assembly involved in morphogenesis","BP"
"GO:1901576","GO:1901576","organic substance biosynthetic process","BP"
"GO:0005740","GO:0005740","mitochondrial envelope","CC"
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","CC"
"GO:0030964","GO:0030964","NADH dehydrogenase complex","CC"
"GO:0045271","GO:0045271","respiratory chain complex I","CC"
"GO:0006302","GO:0006302","double-strand break repair","BP"
"GO:0006644","GO:0006644","phospholipid metabolic process","BP"
"GO:0051225","GO:0051225","spindle assembly","BP"
"GO:0045787","GO:0045787","positive regulation of cell cycle","BP"
"GO:0009199","GO:0009199","ribonucleoside triphosphate metabolic process","BP"
"GO:0044183","GO:0044183","protein folding chaperone","MF"
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","BP"
"GO:0006163","GO:0006163","purine nucleotide metabolic process","BP"
"GO:0044281","GO:0044281","small molecule metabolic process","BP"
"GO:0006790","GO:0006790","sulfur compound metabolic process","BP"
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","BP"
"GO:0032511","GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway","BP"
"GO:0009259","GO:0009259","ribonucleotide metabolic process","BP"
"GO:0001775","GO:0001775","cell activation","BP"
"GO:0007343","GO:0007343","egg activation","BP"
"GO:0046785","GO:0046785","microtubule polymerization","BP"
"GO:0010972","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","BP"
"GO:0044249","GO:0044249","cellular biosynthetic process","BP"
"GO:0008408","GO:0008408","3'-5' exonuclease activity","MF"
"GO:0000922","GO:0000922","spindle pole","CC"
"GO:0006664","GO:0006664","glycolipid metabolic process","BP"
"GO:1903509","GO:1903509","liposaccharide metabolic process","BP"
"GO:0006779","GO:0006779","porphyrin-containing compound biosynthetic process","BP"
"GO:0033014","GO:0033014","tetrapyrrole biosynthetic process","BP"
"GO:0034660","GO:0034660","ncRNA metabolic process","BP"
"GO:0007020","GO:0007020","microtubule nucleation","BP"
"GO:0044773","GO:0044773","mitotic DNA damage checkpoint signaling","BP"
"GO:0033044","GO:0033044","regulation of chromosome organization","BP"
"GO:0007307","GO:0007307","eggshell chorion gene amplification","BP"
"GO:0016887","GO:0016887","ATP hydrolysis activity","MF"
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","BP"
"GO:0042078","GO:0042078","germ-line stem cell division","BP"
"GO:0018992","GO:0018992","germ-line sex determination","BP"
"GO:0009144","GO:0009144","purine nucleoside triphosphate metabolic process","BP"
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","BP"
"GO:0015630","GO:0015630","microtubule cytoskeleton","CC"
"GO:0005634","GO:0005634","nucleus","CC"
"GO:0031047","GO:0031047","regulatory ncRNA-mediated gene silencing","BP"
"GO:1990023","GO:1990023","mitotic spindle midzone","CC"
"GO:0007017","GO:0007017","microtubule-based process","BP"
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","BP"
"GO:0051383","GO:0051383","kinetochore organization","BP"
"GO:0140658","GO:0140658","ATP-dependent chromatin remodeler activity","MF"
"GO:0051304","GO:0051304","chromosome separation","BP"
"GO:0045324","GO:0045324","late endosome to vacuole transport","BP"
"GO:0016321","GO:0016321","female meiosis chromosome segregation","BP"
"GO:0044818","GO:0044818","mitotic G2/M transition checkpoint","BP"
"GO:0010257","GO:0010257","NADH dehydrogenase complex assembly","BP"
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","BP"
"GO:1905761","GO:1905761","SCF ubiquitin ligase complex binding","MF"
"GO:0017119","GO:0017119","Golgi transport complex","CC"
"GO:0043073","GO:0043073","germ cell nucleus","CC"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","BP"
"GO:0000076","GO:0000076","DNA replication checkpoint signaling","BP"
"GO:0006783","GO:0006783","heme biosynthetic process","BP"
"GO:0000281","GO:0000281","mitotic cytokinesis","BP"
"GO:1902750","GO:1902750","negative regulation of cell cycle G2/M phase transition","BP"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly","BP"
"GO:0032053","GO:0032053","ciliary basal body organization","BP"
"GO:0004529","GO:0004529","DNA exonuclease activity","MF"
"GO:0016895","GO:0016895","DNA exonuclease activity, producing 5'-phosphomonoesters","MF"
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle","BP"
"GO:0141006","GO:0141006","piRNA-mediated retrotransposon silencing by heterochromatin formation","BP"
"GO:0008235","GO:0008235","metalloexopeptidase activity","MF"
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","BP"
"GO:0070725","GO:0070725","Yb body","CC"
"GO:0043412","GO:0043412","macromolecule modification","BP"
"GO:0034584","GO:0034584","piRNA binding","MF"
"GO:0035044","GO:0035044","sperm aster formation","BP"
"GO:0035046","GO:0035046","pronuclear migration","BP"
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","BP"
"GO:0005828","GO:0005828","kinetochore microtubule","CC"
"GO:0032300","GO:0032300","mismatch repair complex","CC"
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","BP"
"GO:0006778","GO:0006778","porphyrin-containing compound metabolic process","BP"
"GO:0006684","GO:0006684","sphingomyelin metabolic process","BP"
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","CC"
"GO:0031261","GO:0031261","DNA replication preinitiation complex","CC"
"GO:0071162","GO:0071162","CMG complex","CC"
"GO:0015215","GO:0015215","nucleotide transmembrane transporter activity","MF"
"GO:0032196","GO:0032196","transposition","BP"
"GO:0046949","GO:0046949","fatty-acyl-CoA biosynthetic process","BP"
"GO:0090304","GO:0090304","nucleic acid metabolic process","BP"
"GO:0009205","GO:0009205","purine ribonucleoside triphosphate metabolic process","BP"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process","BP"
"GO:0033554","GO:0033554","cellular response to stress","BP"
"GO:0031453","GO:0031453","positive regulation of heterochromatin formation","BP"
"GO:0120263","GO:0120263","positive regulation of heterochromatin organization","BP"
"GO:1905269","GO:1905269","positive regulation of chromatin organization","BP"
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","BP"
"GO:0009152","GO:0009152","purine ribonucleotide biosynthetic process","BP"
"GO:0009165","GO:0009165","nucleotide biosynthetic process","BP"
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone","MF"
"GO:0042168","GO:0042168","heme metabolic process","BP"
"GO:0005643","GO:0005643","nuclear pore","CC"
"GO:0009060","GO:0009060","aerobic respiration","BP"
"GO:0045333","GO:0045333","cellular respiration","BP"
"GO:0008296","GO:0008296","3'-5'-DNA exonuclease activity","MF"
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","BP"
"GO:1905368","GO:1905368","peptidase complex","CC"
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","BP"
"GO:0016462","GO:0016462","pyrophosphatase activity","MF"
"GO:0005346","GO:0005346","purine ribonucleotide transmembrane transporter activity","MF"
"GO:0099080","GO:0099080","supramolecular complex","CC"
"GO:0045171","GO:0045171","intercellular bridge","CC"
"GO:1990204","GO:1990204","oxidoreductase complex","CC"
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","BP"
"GO:0009147","GO:0009147","pyrimidine nucleoside triphosphate metabolic process","BP"
"GO:0009148","GO:0009148","pyrimidine nucleoside triphosphate biosynthetic process","BP"
"GO:0043138","GO:0043138","3'-5' DNA helicase activity","MF"
"GO:0002161","GO:0002161","aminoacyl-tRNA editing activity","MF"
"GO:0016818","GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF"
"GO:0000049","GO:0000049","tRNA binding","MF"
"GO:0008233","GO:0008233","peptidase activity","MF"
"GO:0015605","GO:0015605","organophosphate ester transmembrane transporter activity","MF"
"GO:0042023","GO:0042023","DNA endoreduplication","BP"
"GO:0032299","GO:0032299","ribonuclease H2 complex","CC"
"GO:0016817","GO:0016817","hydrolase activity, acting on acid anhydrides","MF"
"GO:0031638","GO:0031638","zymogen activation","BP"
"GO:0032780","GO:0032780","negative regulation of ATP-dependent activity","BP"
"GO:0099023","GO:0099023","vesicle tethering complex","CC"
"GO:0051784","GO:0051784","negative regulation of nuclear division","BP"
"GO:0005635","GO:0005635","nuclear envelope","CC"
"GO:0006997","GO:0006997","nucleus organization","BP"
"GO:0046513","GO:0046513","ceramide biosynthetic process","BP"
"GO:0070182","GO:0070182","DNA polymerase binding","MF"
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","MF"
"GO:0016893","GO:0016893","endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters","MF"
"GO:0070938","GO:0070938","contractile ring","CC"
"GO:0106035","GO:0106035","protein maturation by [4Fe-4S] cluster transfer","BP"
"GO:0035337","GO:0035337","fatty-acyl-CoA metabolic process","BP"
"GO:0033301","GO:0033301","cell cycle comprising mitosis without cytokinesis","BP"
"GO:0015932","GO:0015932","nucleobase-containing compound transmembrane transporter activity","MF"
"GO:0032153","GO:0032153","cell division site","CC"
"GO:0035384","GO:0035384","thioester biosynthetic process","BP"
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","BP"
"GO:0004386","GO:0004386","helicase activity","MF"
"GO:0000915","GO:0000915","actomyosin contractile ring assembly","BP"
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","BP"
"GO:0045229","GO:0045229","external encapsulating structure organization","BP"
"GO:0033013","GO:0033013","tetrapyrrole metabolic process","BP"
"GO:0000242","GO:0000242","pericentriolar material","CC"
"GO:0051311","GO:0051311","meiotic metaphase chromosome alignment","BP"
"GO:0010526","GO:0010526","retrotransposon silencing","BP"
"GO:0032197","GO:0032197","retrotransposition","BP"
"GO:0046034","GO:0046034","ATP metabolic process","BP"
"GO:0008654","GO:0008654","phospholipid biosynthetic process","BP"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","BP"
"GO:0016780","GO:0016780","phosphotransferase activity, for other substituted phosphate groups","MF"
"GO:0140268","GO:0140268","endoplasmic reticulum-plasma membrane contact site","CC"
"GO:0055070","GO:0055070","copper ion homeostasis","BP"
"GO:0006749","GO:0006749","glutathione metabolic process","BP"
"GO:0015645","GO:0015645","fatty acid ligase activity","MF"
"GO:0033365","GO:0033365","protein localization to organelle","BP"
"GO:1905818","GO:1905818","regulation of chromosome separation","BP"
"GO:0051307","GO:0051307","meiotic chromosome separation","BP"
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","MF"
"GO:1901993","GO:1901993","regulation of meiotic cell cycle phase transition","BP"
"GO:0000796","GO:0000796","condensin complex","CC"
"GO:0036211","GO:0036211","protein modification process","BP"
"GO:0007057","GO:0007057","spindle assembly involved in female meiosis I","BP"
"GO:0043462","GO:0043462","regulation of ATP-dependent activity","BP"
"GO:0000026","GO:0000026","alpha-1,2-mannosyltransferase activity","MF"
"GO:0140990","GO:0140990","primary piRNA processing","BP"
"GO:0016043","GO:0016043","cellular component organization","BP"
"GO:0031984","GO:0031984","organelle subcompartment","CC"
"GO:0004177","GO:0004177","aminopeptidase activity","MF"
"GO:0043933","GO:0043933","protein-containing complex organization","BP"
"GO:0010457","GO:0010457","centriole-centriole cohesion","BP"
"GO:0090306","GO:0090306","meiotic spindle assembly","BP"
"GO:0008309","GO:0008309","double-stranded DNA exodeoxyribonuclease activity","MF"
"GO:0015216","GO:0015216","purine nucleotide transmembrane transporter activity","MF"
"GO:0040016","GO:0040016","embryonic cleavage","BP"
"GO:0051446","GO:0051446","positive regulation of meiotic cell cycle","BP"
"GO:0005815","GO:0005815","microtubule organizing center","CC"
"GO:0098728","GO:0098728","germline stem cell asymmetric division","BP"
"GO:0017111","GO:0017111","ribonucleoside triphosphate phosphatase activity","MF"
"GO:0000959","GO:0000959","mitochondrial RNA metabolic process","BP"
"GO:0036063","GO:0036063","acroblast","CC"
"GO:0071103","GO:0071103","DNA conformation change","BP"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","BP"
"GO:0007135","GO:0007135","meiosis II","BP"
"GO:0007147","GO:0007147","female meiosis II","BP"
"GO:0070628","GO:0070628","proteasome binding","MF"
"GO:0070006","GO:0070006","metalloaminopeptidase activity","MF"
"GO:0003697","GO:0003697","single-stranded DNA binding","MF"
"GO:0010639","GO:0010639","negative regulation of organelle organization","BP"
"GO:0007095","GO:0007095","mitotic G2 DNA damage checkpoint signaling","BP"
"GO:0097367","GO:0097367","carbohydrate derivative binding","MF"
"GO:0009145","GO:0009145","purine nucleoside triphosphate biosynthetic process","BP"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process","BP"
"GO:0003678","GO:0003678","DNA helicase activity","MF"
"GO:1902292","GO:1902292","cell cycle DNA replication initiation","BP"
"GO:1902315","GO:1902315","nuclear cell cycle DNA replication initiation","BP"
"GO:1902975","GO:1902975","mitotic DNA replication initiation","BP"
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","BP"
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","BP"
"GO:1905819","GO:1905819","negative regulation of chromosome separation","BP"
"GO:0006665","GO:0006665","sphingolipid metabolic process","BP"
"GO:1990423","GO:1990423","RZZ complex","CC"
"GO:0035323","GO:0035323","male germline ring canal","CC"
"GO:0030991","GO:0030991","intraciliary transport particle A","CC"
"GO:0043230","GO:0043230","extracellular organelle","CC"
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","CC"
"GO:1903561","GO:1903561","extracellular vesicle","CC"
"GO:0032496","GO:0032496","response to lipopolysaccharide","BP"
"GO:0010369","GO:0010369","chromocenter","CC"
"GO:0015616","GO:0015616","DNA translocase activity","MF"
"GO:0030983","GO:0030983","mismatched DNA binding","MF"
