"","KEGG","GRxWT.C","GRxWT.Df","GRxWT.OE","GR.CxDf","WT.CxDf","GR.CxOE","WT.CxOE"
"4-hydroxyphenylpyruvic acid","C01179",1,1,NA,1,1,1,NA
"4-hydroxyproline / 5-aminolevulinate","C01157 / C00430",0.63707163181278,0.028069938338629,0.323284007771354,0.893244507226322,0.587642125402855,1,1
"5-aminopentanoic acid","C00431",NA,NA,NA,NA,NA,NA,NA
"5'-deoxyadenosine","C05198",0.937978206103637,0.0584829056593381,0.323284007771354,1,1,1,0.992024364073985
"5-HIAA","C05635",0.605728713335237,0.946660089089006,0.311194523525968,1,1,1,0.761476082551923
"5-methylcytosine","C02376",0.998848010102402,0.688753121081425,0.745788411319649,0.929585441855041,1,1,1
"5-methyl-THF","C00440",NA,NA,NA,NA,NA,NA,NA
"5'-methylthioadenosine","C00170",0.464605721405453,0.14009803717918,0.461100574060777,0.324175165625767,0.788471172834186,1,1
"6-aminohexanoate","C02378",0.492888580109428,0.127562798472638,1,0.28107457697482,1,1,0.992024364073985
"6-O-methylguanine","n/a",NA,NA,NA,NA,NA,NA,NA
"6-phosphogluconic acid","C00345",0.474400602979835,0.993495989928322,0.727633097940643,0.817584063784857,0.962161235707389,1,0.780473034768907
"6-phosphoglucono-D-lactone","C01236",NA,NA,NA,NA,NA,NA,NA
"acetoacetic acid","C00164",0.663312057198338,1,0.951436863768318,0.622823103844455,1,1,1
"acetoin -","C00466",0.404276154366817,1,1,0.28107457697482,1,1,1
"acetylcarnitine+","C02571",0.474400602979835,0.047994223345768,0.311194523525968,1,0.702525431112992,1,1
"acetylcholine+","C01996",0.64946162491755,0.0296981023062615,0.402675996669094,0.701879664728849,0.270245228890273,1,1
"acetyl-CoA","C00024",NA,NA,NA,NA,NA,NA,NA
"aconitic acid","C00417-C02341",1,0.852931960105951,0.65467402821436,1,1,1,1
"acrylic acid","C00511",0.115628624468186,0.0243786412463295,0.384068799915439,0.622823103844455,1,1,1
"adenine","C00147",0.073402316855885,0.662975329678593,1,0.103615193026775,1,1,1
"adenosine","C00212",1,0.530123656611879,0.709010075952444,1,0.962161235707389,1,1
"adenylosuccinate","C03794",0.88980549062358,0.110724137432171,0.311194523525968,0.289730146402594,1,1,1
"ADP / dGDP","C00008 / C00361",0.673165754276878,0.558811143081188,0.961941282541719,0.726787269008054,1,1,1
"ADP-D-glucose","C00498",0.680431932739439,0.0912843645647136,1,0.990958702404327,1,1,1
"agmatine","C00179",0.268341812474798,0.530123656611879,1,0.268236859524114,0.490489068245511,0.0147970413310753,0.971085281456526
"AICA ribonucleotide","C04677",0.23467476600167,0.602935067717176,0.765468897225542,0.547783802868647,0.702525431112992,1,0.761476082551923
"a-KG","C00026",0.664109603618152,0.360244470909735,0.112820812746839,0.414348457288649,1,1,0.761476082551923
"alanine","C00041",1,0.174024162459927,0.137983351484989,0.730284327362222,0.702525431112992,1,1
"alanine methyl ester","n/a",NA,NA,NA,NA,NA,NA,NA
"allantoin","C01551",1,0.499076098755293,1,0.990958702404327,1,1,1
"AMP / dGMP","C00020 / C00362",0.664109603618152,0.0193017961212173,0.762652695746405,1,1,1,1
"anandamide","C11695",NA,NA,NA,NA,NA,NA,NA
"arginine","C02385",0.498705690285589,0.802692560680509,0.959504900797413,1,0.904949236933317,1,0.79752988377982
"ascorbic acid","C00072",0.711388790831776,0.0247718833821836,0.364892875526663,0.473471260331252,0.904949236933317,1,1
"asparagine","C16438",0.438251039593952,0.000574363751280218,0.704619791736855,0.547783802868647,1,1,1
"aspartic acid","C16433",1,0.852931960105951,0.461100574060777,1,1,1,1
"ATP / dGTP","C00002 / C00286",0.673165754276878,1,0.215250589110383,0.89205101663672,1,1,0.992024364073985
"b-alanine","C00099",0.0160907069262224,0.000873673501005462,0.0103043524696956,1,0.60937222174704,1,0.761476082551923
"betaine+","C00719",1,0.0375145669659036,0.959011628675406,1,1,1,1
"bilirubin","C00486",NA,NA,NA,NA,NA,NA,NA
"biotin","C00120",0.687687663132501,0.010864421580553,0.461100574060777,0.990958702404327,1,1,1
"butyric acid","C00246",0.747517787386167,1,0.961941282541719,1,1,1,1
"butyric acid(iso)","C02632",1,0.361992293350122,0.461100574060777,1,1,1,1
"caffeic acid","C01197 / C01481",0.870071855545023,0.168311120648085,0.850335948118511,1,0.903828081219236,1,1
"cAMP(2',3') / cAMP(3',5')","C02353 / C00575",0.971972367650016,0.850357441706925,1,0.990958702404327,0.702525431112992,1,1
"carbamoyl phosphate","C00169",0.680431932739439,0.0545740376236781,1,0.882166219848767,1,1,1
"carnitine+","C00487",1,0.0188103292144201,0.0780797408847369,1,0.372067478917308,1,0.761476082551923
"cCMP(2',3'-)","C02354",0.999722510370514,0.0857097887097148,0.683144262090393,0.817584063784857,0.903828081219236,1,1
"CDP","C00112",0.687687663132501,0.492384150383719,0.323284007771354,0.547783802868647,1,1,1
"CDP-choline+","C00307",0.498705690285589,1,1,0.391403144521945,1,1,1
"cGMP","C00943",0.987556339363875,1,0.815996917816451,0.990958702404327,0.903828081219236,1,1
"choline+","C00114",1,1,1,1,1,1,1
"citraconic acid","C02226",1,0.199107566889243,0.683144262090393,0.43518882781023,1,1,1
"citramalic acid","C00815",0.23467476600167,0.137461787448333,0.461100574060777,0.990958702404327,1,1,1
"citrate / citrate(iso)","C00158 / C00311",0.569140456810776,0.800890317174672,0.579941601133705,0.547783802868647,1,1,0.761476082551923
"citrulline","C00327",0.547813538313446,0.640205438476757,0.323284007771354,0.879891727989994,0.372067478917308,1,0.884428461509256
"CMP","C00055",0.474400602979835,0.00235415322853214,0.683144262090393,0.664580578844853,0.905277866920961,1,1
"Coenzyme A +","C00010",NA,NA,NA,NA,NA,NA,NA
"cortisol","C00735",NA,NA,NA,NA,NA,NA,NA
"creatine","C00300",0.450542744154887,0.802692560680509,0.0888465157920351,0.547783802868647,1,1,0.761476082551923
"creatinine","C00791",NA,NA,NA,NA,NA,NA,NA
"CTP","C00063",NA,NA,NA,NA,NA,NA,NA
"cystathionine","C00542",0.468287069719278,0.356527524701915,1,1,1,1,0.761476082551923
"cysteine","C00736-C00097",0.404276154366817,0.417725493955237,0.323284007771354,0.990958702404327,1,1,1
"cysteine-S-sulfate","C05824",NA,NA,NA,NA,NA,NA,NA
"cystine","C01420",1,1,0.636683433122683,0.990958702404327,1,1,1
"cytidine","C00475",0.268341812474798,0.00185950308397039,0.545097394720572,1,1,1,1
"cytosine","C00380",1,0.00235415322853214,0.913610826800066,1,0.903828081219236,1,1
"dADP","C00206",NA,NA,NA,0.547783802868647,NA,1,NA
"dAMP","C00360",NA,0.00463704331286959,NA,0.485470672171461,NA,1,NA
"D-arabinono-1,4-lactone","C00652",0.404276154366817,0.788517115316697,0.946736513245522,0.391403144521945,0.903828081219236,1,1
"dATP","C00131",NA,NA,NA,NA,NA,NA,NA
"dCDP","C00705",NA,NA,NA,NA,NA,NA,NA
"dCMP","C00239",NA,0.503076541694282,0.683144262090393,NA,1,NA,0.761476082551923
"dCTP","C00458",NA,NA,NA,NA,NA,NA,NA
"dehydroascorbic acid","C05422",0.849767389456981,0.0051331467008543,0.704619791736855,0.164661953226606,0.962161235707389,1,0.897115635944242
"deoxyadenosine","C00559",1,0.0148958713097585,0.536057613862119,1,0.905277866920961,1,1
"deoxycarnitine+","C01181",0.0610694369043536,0.00185950308397039,0.0290055832617132,0.882166219848767,1,0.849011725775297,1
"deoxycytidine","C00881",1,0.530123656611879,0.683144262090393,1,1,1,1
"deoxyguanosine","C00330",NA,NA,NA,0.622823103844455,NA,1,NA
"deoxyinosine","C05512",0.00731075948685071,0.00052984630437936,0.215250589110383,0.231486518613068,0.962161235707389,1,0.992024364073985
"deoxyuridine","C00526",0.859232939362266,0.520876742874083,1,0.805778824199331,1,1,1
"D-erythrose-4-phosphate","C00279",0.518583439221661,0.576627634319046,0.745788411319649,0.547783802868647,1,1,0.761476082551923
"D-galactonic acid / D-gluconic acid","C00880 / C00257",0.889423310475015,0.602935067717176,0.311194523525968,1,0.903828081219236,1,1
"D-galactosamine/glucosamine-1/6-phosphate","C03783 / C00352 / C06377 / C06156",0.605728713335237,0.72933095322784,0.670705385313517,0.485470672171461,1,1,0.992024364073985
"D-glucuronolactone","C02670",0.663312057198338,0.127562798472638,0.756937314324127,0.547783802868647,0.811932204304348,1,1
"dihydroorotate","C00337",0.751185802397794,0.00526687335408454,0.822491853054223,1,0.490489068245511,1,0.761476082551923
"dimethylglycine","C01026",0.794045136858646,0.602935067717176,0.395699435610021,0.990958702404327,1,1,1
"DL-DOPA","C00355",0.570047629831539,0.544947856413233,0.311194523525968,1,1,1,1
"DOPAC","C01161",NA,NA,NA,NA,NA,NA,NA
"dopamine","C03758",0.747517787386167,0.0912843645647136,1,1,1,1,1
"D-ribose-1/5-phosphate / D-ribulose 5-phosphate","C00620 / C00117 / C00199",0.23467476600167,0.503076541694282,0.959011628675406,0.268236859524114,0.903828081219236,1,1
"D-sedoheptulose","C02076",1,0.361992293350122,0.14403984850943,0.347147380078974,0.904949236933317,0.849011725775297,1
"D-sedoheptulose-7-phosphate","C05382",0.20026384866318,0.934840565831425,0.395699435610021,0.414348457288649,0.904949236933317,0.849011725775297,0.761476082551923
"dTMP","C00364",1,0.744022342662533,0.462077915146923,1,0.905277866920961,1,1
"dTTP","C00459",NA,NA,NA,NA,NA,NA,NA
"dUMP","C00366",NA,NA,NA,NA,NA,NA,NA
"dUTP","C00460",NA,NA,NA,NA,NA,NA,NA
"epinephrine / normetanephrine","C00788 / C05589",0.930357082955478,0.852931960105951,0.32773742180065,1,0.917902333978311,1,0.761476082551923
"ethyl acetate","C00849",0.900527617647941,0.544947856413233,0.87155652608154,0.804646602591794,1,1,1
"F-1,6/2,6-DP","C00354 / C00665",0.793636179209537,1,0.65467402821436,0.990958702404327,1,1,1
"F1P","C01094",0.0892897832291131,0.0032977741573969,0.461100574060777,0.835831285612493,1,1,0.761476082551923
"F6P / G1P / G6P","C00085 / C00103 / C00092",0.468287069719278,0.612375139156702,0.713486876436957,0.547783802868647,1,1,0.761476082551923
"FAD","C00016",1,0.558811143081188,1,0.414348457288649,1,1,1
"FMN","C00061",1,0.0195287385590035,1,0.990958702404327,0.751556403801193,1,1
"folate","C00504",NA,NA,NA,NA,NA,NA,NA
"fructose / mannose","C00095 / C00159",1,1,1,1,1,1,1
"fumaric acid","C00122",1,0.520876742874083,1,0.314655318035369,0.904949236933317,1,1
"GABA","C00334",0.889423310475015,1,0.311194523525968,1,1,1,1
"galactosamine / glucosamine / mannosamine","C02262 / C00329 / C03570",0.900527617647941,1,0.857080708477532,0.805778824199331,0.905277866920961,1,1
"galactose / glucose","C00124 / C00267",0.474400602979835,0.105613756446794,0.545097394720572,1,1,1,1
"GalNAC / GlcNAC","C01074 / C00140",1,1,0.323284007771354,0.990958702404327,1,1,0.761476082551923
"GAP / DHAP","C00118 / C00111",0.747517787386167,0.201187132683065,0.862533814062394,0.547783802868647,1,1,1
"GDP","C00035",0.751185802397794,1,0.536057613862119,0.607535802028335,1,1,1
"GDP-L-fucose","C00325",0.747517787386167,0.047994223345768,1,0.88745055689971,1,1,1
"geranyl-PP","C00341",NA,NA,NA,NA,NA,NA,NA
"glucono-lactone","C00198",1,1,0.823301189623318,1,1,1,1
"glutaconic acid","C02214",1,1,0.815996917816451,1,1,1,1
"glutamate","C00302",0.492888580109428,0.233206191996163,0.323284007771354,0.441115594188168,1,1,1
"glutamine","C00303",0.163594658939625,0.000670199510139315,0.704619791736855,0.268236859524114,0.702525431112992,1,0.844421730631212
"glutathione","C00051",1,0.762268441300608,0.707571400473544,0.888921274294704,1,1,1
"glutathione disulfide","C00127",0.664109603618152,0.852722322901853,0.745788411319649,0.949430491162587,1,1,1
"glyceraldehyde","C02426",1,0.195600788390146,0.467191419488528,0.882166219848767,1,1,1
"glyceric acid","C00258",1,0.706463477698481,0.529144916758452,0.990958702404327,0.903828081219236,1,1
"glycerol 2/3-phosphate","C02979 / C00093",0.751185802397794,0.24752579629668,0.683144262090393,0.834683495047758,0.894990087025375,1,1
"glycine","C00037",0.073402316855885,0.00494754869170559,0.815996917816451,1,1,1,0.79752988377982
"glycylglycine","C02037",1,0.831109218232299,0.850335948118511,1,1,1,1
"glyoxylic acid","C00048",0.883854175025903,0.061294399442846,0.835211496445792,1,0.988973606326669,1,1
"GMP","C00144",1,1,0.137983351484989,1,1,1,0.761476082551923
"GTP","C00044",0.673165754276878,0.530123656611879,0.666428563898602,0.547783802868647,1,1,1
"guanidine","C17349",1,0.946660089089006,0.565893333732676,1,1,1,1
"guanidinoacetate","C00581",NA,NA,NA,NA,NA,NA,NA
"guanine","C00242",0.0350378472310979,6.83058453701887e-05,0.0420191087783262,0.565318341578939,1,1,1
"guanosine","C00387",0.163594658939625,0.00683977278489501,0.137983351484989,0.547783802868647,0.372067478917308,1,1
"gulonic-lactone","C01040",NA,NA,NA,NA,NA,NA,NA
"histamine","C00388",1,0.776029580429426,0.565893333732676,1,0.702525431112992,1,1
"histidine","C00768",0.299294792724543,0.00376161290745886,0.241992357482198,0.481550579143022,1,1,1
"homocysteine","C05330",NA,NA,NA,NA,NA,NA,NA
"homocystine","C01817",NA,NA,NA,NA,NA,NA,NA
"homogentisic acid","C00544",0.456376160501751,1,0.565893333732676,0.547783802868647,0.904949236933317,1,0.761476082551923
"homoserine / threonine / allothreonine","C00263 / C00188 / C05519",0.0390853362365052,0.000670199510139315,0.420007661601015,0.268236859524114,1,1,0.826601021108049
"hydroxyphenyllactic acid / HVA","C03672 / C05582",0.0350378472310979,0.043359542507517,0.565893333732676,0.268236859524114,1,1,0.992024364073985
"hydroxypyruvic acid","C00168",NA,NA,NA,NA,NA,NA,NA
"hypoxanthine","C00262",0.522633542845769,0.195600788390146,0.495665815103462,0.374382879742123,1,1,1
"IDP","C00104",0.793636179209537,NA,NA,NA,NA,1,NA
"imidazole-4-acetate","C02835",0.264935021265609,0.530123656611879,1,1,1,1,1
"IMP","C00130",0.644030583786571,0.612375139156702,0.495665815103462,0.473471260331252,0.401671937026833,1,0.897115635944242
"inosine","C00294",0.264935021265609,0.00213480877327454,0.311194523525968,1,1,1,1
"isonictinic acid ","C07446",0.23467476600167,1,0.565893333732676,1,0.903828081219236,1,1
"isopentenyl pyrophosphate","C00129",NA,NA,NA,NA,NA,NA,NA
"itaconic acid","C00490",0.680431932739439,0.378365047135658,0.683144262090393,0.314655318035369,1,1,1
"kynurenic acid","C01717",0.930357082955478,0.0104600778433748,0.323284007771354,0.391403144521945,1,1,0.761476082551923
"kynurenine","C01718",0.464605721405453,0.692849176039832,0.301404290995869,0.882166219848767,1,1,0.761476082551923
"lactic acid","C01432",1,0.530123656611879,0.683144262090393,0.990958702404327,1,1,1
"lactose / maltose / sucrose","C00243 / C00208 / C00089",1,0.043359542507517,0.311194523525968,0.78338620783354,1,1,1
"L-arginino-succinate","C03406",0.464605721405453,0.271018898180182,1,0.164661953226606,1,1,1
"L-cysteic acid","C00506",NA,NA,NA,NA,NA,NA,NA
"leucine / leucine(iso) / norleucine","C16439 / C16434 / C01933",1,0.512122149081036,1,0.990958702404327,1,1,1
"levulinic acid","n/a",NA,NA,NA,NA,NA,NA,NA
"lipoamide","C00248",NA,NA,NA,NA,NA,NA,NA
"L-NMMA","C03884",0.63011881127901,0.998957940819118,0.862533814062394,1,0.903828081219236,1,0.971085281456526
"L-tyrosine methyl ester","C03404",1,0.602935067717176,1,0.874403342879188,1,1,1
"lysine","C00047 / C00739",0.900527617647941,0.0124724456567471,1,0.441730599418448,0.904949236933317,1,1
"maleic acid","C01384",0.711388790831776,1,0.575822371706615,0.658066488373556,1,1,1
"malic acid","C00711",1,0.0912843645647136,1,0.268236859524114,1,1,1
"malonic acid","C00383",1,0.762268441300608,1,1,1,1,1
"malonyl-CoA","C00083",NA,NA,NA,NA,NA,NA,NA
"mandelic acid / vanillin","C01984 / C00755",NA,NA,NA,NA,NA,NA,NA
"ManNAC","C00645",0.680431932739439,0.602935067717176,1,0.882166219848767,1,1,1
"mesaconic acid","C01732",0.284162928452389,1,0.838730179728854,0.547783802868647,1,1,1
"methionine","C00073",0.584011343090528,0.768597812480854,0.589022854133236,0.990958702404327,0.997848000810052,1,0.761476082551923
"methyl acetoacetate","n/a",1,1,0.323284007771354,1,0.905277866920961,1,1
"methylglyoxal","C00546",NA,NA,0.395699435610021,NA,NA,NA,NA
"methylmalonic acid","C02170",0.883854175025903,0.0277511639524725,0.745788411319649,0.547783802868647,1,1,1
"mevalonic acid","C00418",1,1,0.683144262090393,0.834683495047758,1,0.849011725775297,1
"N1/N8-acetylspermidine","C00612 / C01029",1,0.601387401065177,1,0.835831285612493,1,1,1
"N1-acetylspermine","C02567",1,0.934840565831425,0.741284274046853,1,1,1,1
"N-acetylaspartic acid","C01042",0.196605335272971,0.00524433038401299,0.323284007771354,0.131361758504128,0.702525431112992,1,1
"N-acetylaspartylglutamic acid","C12270",NA,NA,NA,NA,NA,NA,NA
"N-acetyl-b-alanine","C01073",0.468287069719278,0.00524433038401299,0.323284007771354,0.658066488373556,1,1,1
"N-acetyl-DL-alanine ","n/a",0.594965633837941,0.696216348340885,0.565893333732676,0.990958702404327,0.702525431112992,1,1
"N-acetyl-DL-serine / O-acetyl-L-serine","n/a / C00979",1,1,1,1,1,1,1
"N-acetylglucosamine 1/6-phosphate","C04501 / C00357",0.468287069719278,0.785940832427211,0.467191419488528,0.414348457288649,1,1,0.761476082551923
"N-acetylglycine","n/a",1,1,1,0.949430491162587,1,1,1
"N-acetyl-L-glutamic acid","C00624",0.336700391557174,0.745857939253572,0.0277303120529524,0.274360522877156,0.962161235707389,0.849011725775297,1
"NAD+","C00003",0.256569536575546,0.00356253957949304,0.683144262090393,0.414348457288649,1,1,1
"NADH","C00004",1,0.385785182313245,0.311194523525968,0.888921274294704,0.702525431112992,1,1
"NADP+","C00006",0.687064211383217,0.174024162459927,1,1,1,1,1
"NADPH","C00005",0.806873516278013,1,NA,1,1,NA,0.761476082551923
"N-carbamoyl-L-aspartate","C00438",NA,NA,NA,NA,NA,NA,NA
"nebularine","C01736",NA,NA,NA,NA,NA,NA,NA
"N-formyl-L-methionine","C03145",0.492888580109428,0.54813651541725,0.737908098716658,0.921205074176997,0.962161235707389,1,1
"nicotinamide","C00153",NA,NA,NA,NA,0.702525431112992,NA,1
"nicotinamide riboside+","C03150",0.0160907069262224,0.000670199510139315,0.215250589110383,0.882166219848767,0.256824373613878,1,1
"nicotinic acid","C00253",1,0.612375139156702,1,1,1,1,1
"N-methyl-alanine","C02721",NA,NA,NA,NA,NA,NA,NA
"N-methylaspartic acid","C12269",1,0.000670199510139315,0.727633097940643,0.356630524644026,0.906739684271318,1,1
"N-methyltryptamine","C06213",NA,NA,NA,NA,NA,NA,NA
"NMN","C00455",0.0578853154192206,0.0186910907144611,0.323284007771354,0.414348457288649,1,1,0.761476082551923
"norepinephrine / pyridoxine","C00547 / C00314",NA,1,0.780282235653962,NA,0.582701961898731,NA,1
"octopamine","C04227",NA,NA,NA,NA,NA,NA,NA
"ornithine","C01602",0.680431932739439,0.0358057072836522,0.00719821056902546,0.804646602591794,0.702525431112992,1,0.761476082551923
"orotic acid","C00295",0.336700391557174,0.00274137997011872,0.311194523525968,1,0.904949236933317,1,1
"orotidylic acid","C01103",NA,NA,NA,NA,NA,NA,NA
"O-succinyl-homoserine","C01118",0.474400602979835,0.830321794586309,0.461100574060777,0.882166219848767,1,1,0.761476082551923
"oxalacetic acid","C00036",NA,NA,NA,NA,NA,NA,NA
"pantothenic acid","C00864",0.809263232565792,0.325794741285098,1,0.871246049213375,1,1,1
"phenethylamine","C05332",1,1,0.395699435610021,0.414348457288649,0.702525431112992,1,0.761476082551923
"phenylalanine","C02057",0.937978206103637,0.0243786412463295,0.65467402821436,1,1,1,1
"phenylephrine / synephrine","C07441 / C04548",NA,NA,NA,NA,NA,NA,NA
"phenylethanolamine","C02735",NA,NA,NA,NA,NA,NA,NA
"phosphocreatine","C02305",NA,NA,NA,NA,NA,NA,NA
"phosphoenolpyruvate","C00074",0.837473645716875,0.776029580429426,0.536057613862119,0.603135614328276,1,1,1
"phosphorylcholine+","C00588",0.163594658939625,0.00324775477167276,0.0207635752872872,0.378415913936036,0.903828081219236,1,0.761476082551923
"picolinic acid","C10164",NA,NA,NA,NA,NA,NA,NA
"proline","C16435",0.23467476600167,0.0243786412463295,0.589022854133236,1,0.962161235707389,1,1
"propionic acid","C00163",NA,NA,NA,NA,NA,NA,NA
"PRPP","C00119",NA,NA,NA,NA,NA,NA,NA
"pseudouridine","C02067",1,0.0243786412463295,0.857080708477532,0.882166219848767,0.702525431112992,1,1
"purine","C15587",NA,NA,NA,NA,NA,NA,NA
"putrescine","C00134",0.809263232565792,0.946660089089006,1,0.882166219848767,1,1,1
"pyridoxal","C00250",0.194512428241181,0.129981783533335,0.323284007771354,0.547783802868647,1,1,1
"pyroglutamic acid","C01879-C02237",1,0.0269888716648244,1,0.990958702404327,1,1,1
"pyrroline hydroxycarboxylic acid","C04281",0.23467476600167,0.000104683242265606,1,0.268236859524114,0.60937222174704,1,0.897115635944242
"pyruvic acid","C00022",1,0.411037534638327,0.467191419488528,0.701879664728849,1,1,1
"quinolinic acid","C03722",NA,NA,NA,NA,NA,NA,NA
"S-adenosyl-L-homocysteine","C00021",1,0.32604684098537,1,1,0.372067478917308,1,1
"S-adenosyl-L-methionine+","C00019",0.468287069719278,0.662975329678593,0.496832467171387,0.48789034246705,0.903828081219236,1,0.761476082551923
"S-adenosylmethioninamine+","C01137",NA,NA,NA,NA,NA,NA,NA
"SAICAR","C04823",NA,NA,NA,NA,NA,NA,NA
"sarcosine","C00213",1,0.406187235661632,1,1,0.903828081219236,1,1
"serine","C00716",0.569140456810776,0.597280837425307,0.785232504818326,0.289730146402594,1,1,1
"serotonin","C00780",0.837473645716875,0.182313211811839,0.995188833454374,0.622823103844455,1,1,1
"sorbitol / galactitol / L-iditol / manitol","C00794 / C01697 / C01507 / C00392",0.809263232565792,0.0985678379337824,0.704619791736855,0.949430491162587,0.401671937026833,1,1
"spermidine","C00315",1,1,0.683144262090393,1,1,1,1
"spermine","C00750",0.605728713335237,1,0.683331192029165,1,0.827794792177773,1,0.852244333421877
"succinic acid","C00042",1,0.530123656611879,0.213486757247197,0.834683495047758,0.490489068245511,1,0.761476082551923
"succinic semialdehyde","C00232",NA,NA,NA,NA,NA,NA,NA
"succinyl-CoA","C00091",NA,NA,NA,NA,NA,NA,NA
"taurine","C00245",1,0.602935067717176,0.737908098716658,0.612529863935428,0.702525431112992,1,1
"thiamine diphosphate+","C00068",1,1,0.962297090154757,1,1,1,1
"thiamine phosphate+","C01081",0.680431932739439,0.0132898498685107,0.0168526386143144,0.835831285612493,1,1,1
"thiamine+","C00378",0.971972367650016,0.00524433038401299,0.311194523525968,0.730284327362222,0.256824373613878,1,0.761476082551923
"thymidine","C00214",0.809263232565792,0.0243786412463295,0.683144262090393,0.64060836047531,0.410499196825804,1,0.992024364073985
"thymine","C00178",0.883854175025903,1,0.946736513245522,0.817584063784857,1,1,1
"tryptamine","C00398",NA,NA,NA,NA,NA,NA,NA
"tryptophan","C00806",0.687064211383217,0.385785182313245,1,0.990958702404327,1,1,1
"tyramine","C00483",1,1,1,0.658066488373556,0.582701961898731,1,1
"tyrosine","C01536",1,0.0243786412463295,0.579941601133705,1,1,1,1
"UDP","C00015",0.758463083064689,0.2379877021089,0.729446029415257,1,1,1,1
"UDP-D-galactose / UDP-D-glucose","C00052 / C00029",0.518583439221661,1,0.323284007771354,0.414348457288649,1,1,0.971085281456526
"UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine","C00203 / C00043",0.522633542845769,0.0188103292144201,1,0.451244770111851,1,1,1
"UMP","C00105",0.900527617647941,0.168311120648085,0.402675996669094,0.658066488373556,0.702525431112992,1,1
"uracil","C00106",1,0.233206191996163,1,0.76065049605141,0.903828081219236,1,1
"uracil 5-carboxylic acid","C03030",NA,NA,NA,NA,NA,NA,NA
"urea","C00086",0.23467476600167,0.0167788507953193,0.467191419488528,0.414348457288649,1,1,0.992024364073985
"uric acid","C00366",0.000468784496182384,0.000104683242265606,0.0168526386143144,1,1,1,1
"uridine","C00299",0.956627983585875,0.0303224901231025,0.852414814986038,1,0.903828081219236,1,1
"UTP","C00075",NA,NA,NA,NA,NA,NA,NA
"valine / norvaline","C16436 / C01799",0.634260828968043,0.127562798472638,0.737908098716658,0.451244770111851,0.904949236933317,1,1
"vitamin B2","C00255",0.366143559210332,0.0130443849934425,0.384068799915439,0.983491851068659,0.702064390159738,1,0.992024364073985
"xanthine","C00385",0.0455096665634707,0.000670199510139315,0.0469428394116061,0.414348457288649,0.827794792177773,1,1
"xanthosine","C01762",1,1,NA,0.990958702404327,1,NA,1
"xanthurenic acid","C02470",1,0.0101216611749618,0.461100574060777,0.314655318035369,1,1,0.780473034768907
