,id,connector,color.background,color.border,x,y,size,FC,pval,title,label,KEGG,Pathway,data.id,data.KEGG,shape
adenine,adenine,metabolite,white,black,375,600,0,NA,NA,,adenine,C00147,Purine,adenine,C00147,circle
dAMP,dAMP,metabolite,white,black,525,750,0,NA,NA,,dAMP,C00360,Purine,dAMP,C00360,circle
deoxyguanosine,deoxyguanosine,metabolite,white,black,-337.5,787.5,0,NA,NA,,deoxyguanosine,C00330,Purine,deoxyguanosine,C00330,circle
dGTP,dGTP,metabolite,white,black,-637.5,712.5,0,NA,NA,,dGTP,C00286,Purine,NA,NA,circle
GDP,GDP,metabolite,white,black,-487.5,487.5,0,NA,NA,,GDP,C00035,Purine,GDP,C00035,circle
GMP,GMP,metabolite,white,black,-337.5,412.5,0,NA,NA,,GMP,C00144,Purine,GMP,C00144,circle
GTP,GTP,metabolite,white,black,-637.5,375,0,NA,NA,,GTP,C00044,Purine,GTP,C00044,circle
dGDP,dGDP,metabolite,white,black,-525,600,0,NA,NA,,dGDP,C00361,Purine,NA,NA,circle
uric acid,uric acid,metabolite,white,black,-75,900,0,NA,NA,,uric acid,C00366,Purine,uric acid,C00366,circle
inosine,inosine,metabolite,white,black,75,600,0,NA,NA,,inosine,C00294,Purine,inosine,C00294,circle
deoxyinosine,deoxyinosine,metabolite,white,black,225,825,0,NA,NA,,deoxyinosine,C05512,Purine,deoxyinosine,C05512,circle
guanosine,guanosine,metabolite,white,black,-225,525,0,NA,NA,,guanosine,C00387,Purine,guanosine,C00387,circle
dGMP,dGMP,metabolite,white,black,-487.5,712.5,0,NA,NA,,dGMP,C00362,Purine,NA,NA,circle
Excretion,Excretion,Outside Path,white,black,-75,1050,0,NA,NA,,Excretion,NA,Purine,NA,NA,circle
DNA.A,DNA.A,Outside Path,white,black,750,750,0,NA,NA,,DNA.A,NA,Purine,NA,NA,circle
DNA.G,DNA.G,Outside Path,white,black,-750,825,0,NA,NA,,DNA.G,NA,Purine,NA,NA,circle
RNA.A,RNA.A,Outside Path,white,black,750,375,0,NA,NA,,RNA.A,NA,Purine,NA,NA,circle
RNA.G,RNA.G,Outside Path,white,black,-787.5,285,0,NA,NA,,RNA.G,NA,Purine,NA,NA,circle
Riboflavin.Metabolism,Riboflavin.Metabolism,Outside Path,white,black,-787.5,465,0,NA,NA,,Riboflavin.Metabolism,NA,Purine,NA,NA,circle
Folate.Biosynthesis,Folate.Biosynthesis,Outside Path,white,black,-787.5,375,0,NA,NA,,Folate.Biosynthesis,NA,Purine,NA,NA,circle
FAICAR,FAICAR,metabolite,white,black,75,300,0,NA,NA,,FAICAR,C04734,Purine,NA,NA,circle
AICA ribonucleotide,AICA ribonucleotide,metabolite,white,black,75,150,0,NA,NA,,AICA ribonucleotide,C04677,Purine,AICA ribonucleotide,C04677,circle
SAICAR,SAICAR,metabolite,white,black,225,150,0,NA,NA,,SAICAR,C04823,Purine,SAICAR,C04823,circle
CAIR,CAIR,metabolite,white,black,375,150,0,NA,NA,,CAIR,C04751,Purine,NA,NA,circle
AIR,AIR,metabolite,white,black,375,0,0,NA,NA,,AIR,C03373,Purine,NA,NA,circle
FGAM,FGAM,metabolite,white,black,225,0,0,NA,NA,,FGAM,C04640,Purine,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,C04640,circle
FGAR,FGAR,metabolite,white,black,75,0,0,NA,NA,,FGAR,C04376,Purine,NA,NA,circle
GAR,GAR,metabolite,white,black,-75,0,0,NA,NA,,GAR,C03838,Purine,NA,NA,circle
Ribosylamine-5p,Ribosylamine-5p,metabolite,white,black,-225,0,0,NA,NA,,Ribosylamine-5p,C03090,Purine,NA,NA,circle
PRPP,PRPP,metabolite,white,black,-375,0,0,NA,NA,,PRPP,C00119,Purine,PRPP,C00119,circle
D-Ribose-5P,D-Ribose-5P,metabolite,white,black,-525,0,0,NA,NA,,D-Ribose-5P,C00117,Purine,D-ribose-1/5-phosphate / D-ribulose 5-phosphate,C00620 / C00117 / C00199,circle
D-Ribulose 5P,D-Ribulose 5P,metabolite,white,black,-525,-150,0,NA,NA,,D-Ribulose 5P,C00199,PPP,D-ribose-1/5-phosphate / D-ribulose 5-phosphate,C00620 / C00117 / C00199,circle
D-Xylulose 5-phosphate,D-Xylulose 5-phosphate,metabolite,white,black,-675,-150,0,NA,NA,,D-Xylulose 5-phosphate,C00231,PPP,NA,NA,circle
D-erythrose-4-phosphate,D-erythrose-4-phosphate,metabolite,white,black,-800,-75,0,NA,NA,,D-erythrose-4-phosphate,C00279,PPP,D-erythrose-4-phosphate,C00279,circle
D-sedoheptulose-7-phosphate,D-sedoheptulose-7-phosphate,metabolite,white,black,-800,75,0,NA,NA,,D-sedoheptulose-7-phosphate,C05382,PPP,D-sedoheptulose-7-phosphate,C05382,circle
6-phosphogluconic acid,6-phosphogluconic acid,metabolite,white,black,-525,-450,0,NA,NA,,6-phosphogluconic acid,C00345,PPP,6-phosphogluconic acid,C00345,circle
6-phosphoglucono-D-lactone,6-phosphoglucono-D-lactone,metabolite,white,black,-675,-450,0,NA,NA,,6-phosphoglucono-D-lactone,C01236,PPP,6-phosphoglucono-D-lactone,C01236,circle
beta-D-Glucose 6P,beta-D-Glucose 6P,metabolite,white,black,-850,-450,0,NA,NA,,beta-D-Glucose 6P,C01172,Glycolysis,NA,NA,circle
alpha-D-Glucose 6-phosphate,alpha-D-Glucose 6-phosphate,metabolite,white,black,-950,-300,0,NA,NA,,alpha-D-Glucose 6-phosphate,C00668,Glycolysis,NA,NA,circle
D-Fructose 6-phosphate,D-Fructose 6-phosphate,metabolite,white,black,-950,-150,0,NA,NA,,D-Fructose 6-phosphate,C00085,Glycolysis,F6P / G1P / G6P,C00085,circle
D-Glyceraldehyde 3-phosphate,D-Glyceraldehyde 3-phosphate,metabolite,white,black,-950,150,0,NA,NA,,D-Glyceraldehyde 3-phosphate,C00118,Glycolysis,GAP / DHAP,C00118,circle
"D-Fructose-1,6P","D-Fructose-1,6P",metabolite,white,black,-950,0,0,NA,NA,,"D-Fructose-1,6P",C00354,Glycolysis,"F-1,6/2,6-DP",C00354 / C00665,circle
NC1,NC1,connector,black,black,-800,-15,0,NA,NA,,NC1,NA,PPP,NA,NA,dot
NC2,NC2,connector,black,black,-815,-155,0,NA,NA,,NC2,NA,PPP,NA,NA,dot
NC3,NC3,connector,black,black,-822,-145,0,NA,NA,,NC3,NA,PPP,NA,NA,dot
NC4,NC4,connector,black,black,-680,145,0,NA,NA,,NC4,NA,PPP,NA,NA,dot
NC6,NC6,connector,black,black,-670,155,0,NA,NA,,NC6,NA,PPP,NA,NA,dot
NC10,NC10,connector,black,black,-930,-155,0,NA,NA,,NC10,NA,PPP,NA,NA,dot
NC11,NC11,connector,black,black,-695,-155,0,NA,NA,,NC11,NA,PPP,NA,NA,dot
NC12,NC12,connector,black,black,-885,-155,0,NA,NA,,NC12,NA,PPP,NA,NA,dot
NC14,NC14,connector,black,black,-935,120,0,NA,NA,,NC13,NA,PPP,NA,NA,dot
NC15,NC15,connector,black,black,-930,-145,0,NA,NA,,NC15,NA,PPP,NA,NA,dot
NC16,NC16,connector,black,black,-695,-145,0,NA,NA,,NC16,NA,PPP,NA,NA,dot
NC19,NC19,connector,black,black,-930,125,0,NA,NA,,NC19,NA,PPP,NA,NA,dot
NC20,NC20,connector,black,black,-680,-130,0,NA,NA,,NC20,NA,PPP,NA,NA,dot
NC21,NC21,connector,black,black,-670,-130,0,NA,NA,,NC21,NA,PPP,NA,NA,dot
NC22,NC22,connector,black,black,-920,145,0,NA,NA,,NC22,NA,PPP,NA,NA,dot
NC23,NC23,connector,black,black,-920,155,0,NA,NA,,NC23,NA,PPP,NA,NA,dot
NC24,NC24,connector,black,black,-770,70,0,NA,NA,,NC24,NA,PPP,NA,NA,dot
NC25,NC25,connector,black,black,-670,80,0,NA,NA,,NC25,NA,PPP,NA,NA,dot
NC26,NC26,connector,black,black,-550,-5,0,NA,NA,,NC26,NA,PPP,NA,NA,dot
NC27,NC27,connector,black,black,-680,-5,0,NA,NA,,NC27,NA,PPP,NA,NA,dot
NC28,NC28,connector,black,black,-770,80,0,NA,NA,,NC28,NA,PPP,NA,NA,dot
NC29,NC29,connector,black,black,-680,70,0,NA,NA,,NC29,NA,PPP,NA,NA,dot
NC30,NC30,connector,black,black,-670,5,0,NA,NA,,NC30,NA,PPP,NA,NA,dot
NC31,NC31,connector,black,black,-550,5,0,NA,NA,,NC31,NA,PPP,NA,NA,dot
NC32,NC32,connector,black,black,-800,15,0,NA,NA,,NC32,NA,PPP,NA,NA,dot
NC33,NC33,connector,black,black,-875,-145,0,NA,NA,,NC12,NA,PPP,NA,NA,dot
NC34,NC34,connector,black,black,-795,-105,0,NA,NA,,NC34,NA,PPP,NA,NA,dot
NC35,NC35,connector,black,black,-805,-105,0,NA,NA,,NC35,NA,PPP,NA,NA,dot
nicotinamide riboside+,nicotinamide riboside+,metabolite,white,black,-225,-550,0,NA,NA,,nicotinamide riboside+,C03150,NAD,nicotinamide riboside+,C03150,circle
nicotinamide,nicotinamide,metabolite,white,black,-225,-400,0,NA,NA,,nicotinamide,C00153,NAD,nicotinamide,C00153,circle
nicotinic acid,nicotinic acid,metabolite,white,black,-225,-300,0,NA,NA,,nicotinic acid,C00253,NAD,nicotinic acid,C00253,circle
NMN,NMN,metabolite,white,black,-75,-475,0,NA,NA,,NMN,C00455,NAD,NMN,C00455,circle
NAMN,NAMN,metabolite,white,black,-75,-300,0,NA,NA,,NAMN,C01185,NAD,NAMN,C01185,circle
NADP+,NADP+,metabolite,white,black,75,-625,0,NA,NA,,NADP+,C00006,NAD,NADP+,C00006,circle
NAD+,NAD+,metabolite,white,black,75,-475,0,NA,NA,,NAD+,C00003,NAD,NAD+,C00003,circle
NAAD,NAAD,metabolite,white,black,75,-300,0,NA,NA,,NAAD,C00857,NAD,NAAD,C00857,circle
NADPH,NADPH,metabolite,white,black,225,-625,0,NA,NA,,NADPH,C00005,NAD,NADPH,C00005,circle
NADH,NADH,metabolite,white,black,225,-475,0,NA,NA,,NADH,C00004,NAD,NADH,C00004,circle
tryptophan,tryptophan,metabolite,white,black,375,-200,0,NA,NA,,tryptophan,C00806,NAD,tryptophan,C00806,circle
3-hydroxykynurenine,3-hydroxykynurenine,metabolite,white,black,-75,-200,0,NA,NA,,3-hydroxykynurenine,C02794,NAD,3-hydroxykynurenine,C02794,circle
kynurenine,kynurenine,metabolite,white,black,75,-200,0,NA,NA,,kynurenine,C01718,NAD,kynurenine,C01718,circle
kynurenic acid,kynurenic acid,metabolite,white,black,75,-100,0,NA,NA,,kynurenic acid,C01717,NAD,kynurenic acid,C01717,circle
N-Formylkynurenine,N-Formylkynurenine,metabolite,white,black,225,-200,0,NA,NA,,N-Formylkynurenine,C02700,NAD,N-Formylkynurenine,C02700,circle
D-Glucose 1P,D-Glucose 1P,metabolite,white,black,-1100,-300,0,NA,NA,,D-Glucose 1P,C00103,Glycolysis,F6P / G1P / G6P,C00085 / C00103 / C00092,circle
Glucose,Glucose,metabolite,white,black,-1050,-450,0,NA,NA,,Glucose,C00267,Glycolysis,galactose / glucose,C00124 / C00267,circle
beta-D-Glucose,beta-D-Glucose,metabolite,white,black,-950,-600,0,NA,NA,,beta-D-Glucose,C00221,Glycolysis,NA,NA,circle
Glycerone-P,Glycerone-P,metabolite,white,black,-1100,150,0,NA,NA,,Glycerone-P,C00111,Glycolysis,GAP / DHAP,C00118 / C00111,circle
"Glycerate-1,3P","Glycerate-1,3P",metabolite,white,black,-950,300,0,NA,NA,,"Glycerate-1,3P",C00236,Glycolysis,"1,3-bisphospho-D-glycerate",C00236,circle
Glycerate-3P,Glycerate-3P,metabolite,white,black,-950,450,0,NA,NA,,Glycerate-3P,C00197,Glycolysis,2- / 3-phosphoglycerate,C00631 / C00197,circle
"Glycerate-2,3P","Glycerate-2,3P",metabolite,white,black,-1100,600,0,NA,NA,,"Glycerate-2,3P",C01159,Glycolysis,"2,3-bisphospho-D-glycerate C01159-C03339",C01159-C03339,circle
Glycerate-2P,Glycerate-2P,metabolite,white,black,-950,600,0,NA,NA,,Glycerate-2P,C00631,Glycolysis,2- / 3-phosphoglycerate,C00631 / C00197,circle
phosphoenolpyruvate,phosphoenolpyruvate,metabolite,white,black,-950,750,0,NA,NA,,phosphoenolpyruvate,C00074,Glycolysis,phosphoenolpyruvate,C00074,circle
Pyruvate,Pyruvate,metabolite,white,black,-950,900,0,NA,NA,,Pyruvate,C00022,Glycolysis,pyruvic acid,C00022,circle
Acetyl-CoA,Acetyl-CoA,metabolite,white,black,-950,1050,0,NA,NA,,Acetyl-CoA,C00024,Glycolysis,acetyl-CoA,C00024,circle
Citrate,Citrate,metabolite,white,black,-850,1225,0,NA,NA,,Citrate,C00158,TCA,citrate,C00158 / C00311,circle
cis-Aconitate,cis-Aconitate,metabolite,white,black,-700,1325,0,NA,NA,,cis-Aconitate,C00417,TCA,aconitic acid,C00417-C02341,circle
Isocitrate,Isocitrate,metabolite,white,black,-625,1475,0,NA,NA,,Isocitrate,C00311,TCA,citrate,C00158 / C00311,circle
Oxalosuccinate,Oxalosuccinate,metabolite,white,black,-700,1625,0,NA,NA,,Oxalosuccinate,C05379,TCA,NA,NA,circle
alpha-Ketoglutarate,alpha-Ketoglutarate,metabolite,white,black,-850,1750,0,NA,NA,,alpha-Ketoglutarate,C00026,TCA,a-KG,C00026,circle
Succinyl-CoA,Succinyl-CoA,metabolite,white,black,-1025,1750,0,NA,NA,,Succinyl-CoA,C00091,TCA,succinyl-CoA,C00091,circle
Succinate,Succinate,metabolite,white,black,-1175,1625,0,NA,NA,,Succinate,C00042,TCA,succinic acid,C00042,circle
Fumarate,Fumarate,metabolite,white,black,-1250,1475,0,NA,NA,,Fumarate,C00122,TCA,fumaric acid,C00122,circle
Malate,Malate,metabolite,white,black,-1175,1325,0,NA,NA,,Malate,C00149,TCA,NA,NA,circle
Oxaloacetate,Oxaloacetate,metabolite,white,black,-1025,1225,0,NA,NA,,Oxaloacetate,C00036,TCA,oxalacetic,C00036,circle
NC36,NC36,connector,black,black,-950,0,0,NA,NA,,NC36,NA,Glycolysis,NA,NA,dot
NC37,NC37,connector,black,black,-1010,900,0,NA,NA,,NC37,NA,Glycolysis,NA,NA,dot
NC38,NC38,connector,black,black,-1010,1190,0,NA,NA,,NC38,NA,Glycolysis,NA,NA,dot
NC39,NC39,connector,black,black,-1040,1225,0,NA,NA,,NC39,NA,Glycolysis,NA,NA,dot
NC40,NC40,connector,black,black,-1025,1225,0,NA,NA,,NC40,NA,Glycolysis,NA,NA,dot
NC41,NC41,connector,black,black,-1040,740,0,NA,NA,,NC41,NA,Glycolysis,NA,NA,dot
NC42,NC42,connector,black,black,-1025,760,0,NA,NA,,NC42,NA,Glycolysis,NA,NA,dot
NC43,NC43,connector,black,black,-980,740,0,NA,NA,,NC43,NA,Glycolysis,NA,NA,dot
NC44,NC44,connector,black,black,-980,760,0,NA,NA,,NC44,NA,Glycolysis,NA,NA,dot
NC45,NC45,connector,black,black,-995,1240,0,NA,NA,,NC45,NA,Glycolysis,NA,NA,dot
NC46,NC46,connector,black,black,-880,1240,0,NA,NA,,NC46,NA,Glycolysis,NA,NA,dot
NC47,NC47,connector,black,black,-995,1225,0,NA,NA,,NC47,NA,Glycolysis,NA,NA,dot
NC48,NC48,connector,black,black,-880,1225,0,NA,NA,,NC48,NA,Glycolysis,NA,NA,dot
NC49,NC49,connector,black,black,-995,1210,0,NA,NA,,NC49,NA,Glycolysis,NA,NA,dot
NC50,NC50,connector,black,black,-880,1210,0,NA,NA,,NC50,NA,Glycolysis,NA,NA,dot
NC51,NC51,connector,black,black,-965,1080,0,NA,NA,,NC51,NA,Glycolysis,NA,NA,dot
NC52,NC52,connector,black,black,-935,1240,0,NA,NA,,NC52,NA,Glycolysis,NA,NA,dot
NC53,NC53,connector,black,black,-950,1080,0,NA,NA,,NC53,NA,Glycolysis,NA,NA,dot
NC54,NC54,connector,black,black,-920,1225,0,NA,NA,,NC54,NA,Glycolysis,NA,NA,dot
NC55,NC55,connector,black,black,-935,1080,0,NA,NA,,NC55,NA,Glycolysis,NA,NA,dot
NC56,NC56,connector,black,black,-905,1210,0,NA,NA,,NC56,NA,Glycolysis,NA,NA,dot
NC57,NC57,connector,black,black,-595,1500,0,NA,NA,,NC57,NA,TCA,NA,NA,dot
NC58,NC58,connector,black,black,-545,1500,0,NA,NA,,NC58,NA,TCA,NA,NA,dot
NC59,NC59,connector,black,black,-545,1740,0,NA,NA,,NC59,NA,TCA,NA,NA,dot
NC60,NC60,connector,black,black,-820,1740,0,NA,NA,,NC60,NA,TCA,NA,NA,dot
NC61,NC61,connector,black,black,-595,1490,0,NA,NA,,NC61,NA,TCA,NA,NA,dot
NC62,NC62,connector,black,black,-535,1490,0,NA,NA,,NC62,NA,TCA,NA,NA,dot
NC63,NC63,connector,black,black,-535,1750,0,NA,NA,,NC63,NA,TCA,NA,NA,dot
NC64,NC64,connector,black,black,-820,1750,0,NA,NA,,NC64,NA,TCA,NA,NA,dot
NC65,NC65,connector,black,black,-595,1480,0,NA,NA,,NC65,NA,TCA,NA,NA,dot
NC66,NC66,connector,black,black,-525,1480,0,NA,NA,,NC66,NA,TCA,NA,NA,dot
NC67,NC67,connector,black,black,-525,1760,0,NA,NA,,NC67,NA,TCA,NA,NA,dot
NC68,NC68,connector,black,black,-820,1760,0,NA,NA,,NC68,NA,TCA,NA,NA,dot
NC69,NC69,connector,black,black,-595,1470,0,NA,NA,,NC69,NA,TCA,NA,NA,dot
NC70,NC70,connector,black,black,-515,1470,0,NA,NA,,NC70,NA,TCA,NA,NA,dot
NC71,NC71,connector,black,black,-515,1770,0,NA,NA,,NC71,NA,TCA,NA,NA,dot
NC72,NC72,connector,black,black,-820,1770,0,NA,NA,,NC72,NA,TCA,NA,NA,dot
NC73,NC73,connector,black,black,-595,1460,0,NA,NA,,NC73,NA,TCA,NA,NA,dot
NC74,NC74,connector,black,black,-505,1460,0,NA,NA,,NC74,NA,TCA,NA,NA,dot
NC75,NC75,connector,black,black,-505,1780,0,NA,NA,,NC75,NA,TCA,NA,NA,dot
NC76,NC76,connector,black,black,-820,1780,0,NA,NA,,NC76,NA,TCA,NA,NA,dot
