"","FBgn","Symbol","ensembl","CG","Start","End","Strand","CHR","Name"
"FBgn0000183","FBgn0000183","BicD","35051","CG6605",17459604,17473215,-1,"2L","35051"
"FBgn0000206","FBgn0000206","boss","43146","CG8285",25961993,25966948,1,"3R","43146"
"FBgn0000212","FBgn0000212","brm","39744","CG5942",15970081,15982869,-1,"3L","39744"
"FBgn0000216","FBgn0000216","Brd","39620","CG3096",14972666,14973198,1,"3L","39620"
"FBgn0000221","FBgn0000221","brn","31358","CG4934",4104341,4105791,1,"X","31358"
"FBgn0000228","FBgn0000228","Bsg25D","33757","CG14025",5271727,5278548,-1,"2L","33757"
"FBgn0000229","FBgn0000229","bsk","44801","CG5680",10247501,10250501,-1,"2L","44801"
"FBgn0000233","FBgn0000233","btd","31912","CG12653",9694185,9697558,1,"X","31912"
"FBgn0000239","FBgn0000239","bur","45830","CG9242",21174181,21179683,-1,"2L","45830"
"FBgn0000241","FBgn0000241","bw","37724","CG17632",23527804,23538499,-1,"2R","37724"
"FBgn0000244","FBgn0000244","by","41144","CG9379",9528237,9533011,-1,"3R","41144"
"FBgn0000246","FBgn0000246","c(3)G","47765","CG17604",15789472,15792579,-1,"3R","47765"
"FBgn0000247","FBgn0000247","ca","43518","CG31037",29806810,29815047,1,"3R","43518"
"FBgn0000250","FBgn0000250","cact","34969","CG5848",16313035,16326207,-1,"2L","34969"
"FBgn0000251","FBgn0000251","cad","35341","CG1759",20770730,20783135,1,"2L","35341"
"FBgn0000253","FBgn0000253","Cam","36329","CG8472",12259397,12278809,1,"2R","36329"
"FBgn0000256","FBgn0000256","capu","33611","CG3399",3872645,3902860,-1,"2L","33611"
"FBgn0000257","FBgn0000257","car","32947","CG12230",19566018,19569401,1,"X","32947"
"FBgn0000259","FBgn0000259","CkIIbeta","32132","CG15224",11792532,11801587,1,"X","32132"
"FBgn0000261","FBgn0000261","Cat","40048","CG6871",18822603,18828188,1,"3L","40048"
"FBgn0000273","FBgn0000273","Pka-C1","34284","CG4379",9682314,9699297,-1,"2L","34284"
"FBgn0000274","FBgn0000274","Pka-C2","43644","CG12066",30695536,30697138,-1,"3R","43644"
"FBgn0000276","FBgn0000276","CecA1","43596","CG1365",30210873,30211273,1,"3R","43596"
"FBgn0000277","FBgn0000277","CecA2","43597","CG1367",30212155,30212568,1,"3R","43597"
"FBgn0000278","FBgn0000278","CecB","43598","CG1878",30213314,30213797,-1,"3R","43598"
"FBgn0000279","FBgn0000279","CecC","43599","CG1373",30216483,30216938,1,"3R","43599"
"FBgn0000283","FBgn0000283","Cp190","41848","CG6384",15270431,15275241,-1,"3R","41848"
"FBgn0000286","FBgn0000286","Cf2","33692","CG11924",4876890,4883107,-1,"2L","33692"
"FBgn0000287","FBgn0000287","salr","34568","CG4881",11358872,11373636,1,"2L","34568"
"FBgn0000289","FBgn0000289","cg","36571","CG8367",14173692,14182838,1,"2R","36571"
"FBgn0000299","FBgn0000299","Col4a1","33727","CG4145",5029608,5037279,1,"2L","33727"
"FBgn0000303","FBgn0000303","ChAT","42249","CG12345",18705500,18732344,1,"3R","42249"
"FBgn0000307","FBgn0000307","chif","34974","CG5813",16342429,16352628,-1,"2L","34974"
"FBgn0000308","FBgn0000308","chic","33834","CG9553",5972114,5981018,-1,"2L","33834"
"FBgn0000316","FBgn0000316","cin","30973","CG2945",255673,258469,1,"X","30973"
"FBgn0000317","FBgn0000317","ck","34882","CG7595",15044962,15057862,-1,"2L","34882"
"FBgn0000318","FBgn0000318","cl","43938","CG11024",5520134,5521382,1,"2L","43938"
"FBgn0000319","FBgn0000319","Chc","32537","CG9012",15827985,15835490,-1,"X","32537"
"FBgn0000320","FBgn0000320","eya","33916","CG9554",6527446,6546976,-1,"2L","33916"
"FBgn0000326","FBgn0000326","clt","117300","CG9858",21617060,21619079,-1,"2R","117300"
"FBgn0000330","FBgn0000330","cm","31647","CG3035",7009005,7011145,-1,"X","31647"
"FBgn0000339","FBgn0000339","cni","34967","CG5855",16309291,16310726,-1,"2L","34967"
"FBgn0000346","FBgn0000346","comt","47091","CG1618",13259020,13262488,1,"X","47091"
"FBgn0000351","FBgn0000351","cort","33937","CG11330",6674681,6676635,-1,"2L","33937"
"FBgn0000352","FBgn0000352","cos","35653","CG1708",7382175,7387115,-1,"2R","35653"
"FBgn0000355","FBgn0000355","Cp15","38999","CG6519",8728480,8729066,1,"3L","38999"
"FBgn0000357","FBgn0000357","Cp18","38998","CG6517",8726790,8727613,1,"3L","38998"
"FBgn0000359","FBgn0000359","Cp36","31787","CG1478",8479318,8480523,1,"X","31787"
"FBgn0000370","FBgn0000370","crc","47767","CG8669",21310865,21319527,1,"2L","47767"
"FBgn0000376","FBgn0000376","crm","31268","CG2714",2734247,2738773,-1,"X","31268"
"FBgn0000377","FBgn0000377","crn","31208","CG3193",2247593,2249983,-1,"X","31208"
"FBgn0000382","FBgn0000382","csw","45278","CG3954",2094233,2115701,1,"X","45278"
"FBgn0000384","FBgn0000384","cta","3355131","CG17678",22981815,22992951,1,"2L","3355131"
"FBgn0000394","FBgn0000394","cv","44510","CG12410",5690001,5693084,1,"X","44510"
"FBgn0000395","FBgn0000395","cv-2","45280","CG15671",21355014,21379464,-1,"2R","45280"
"FBgn0000404","FBgn0000404","CycA","39340","CG5940",11826718,11833578,-1,"3L","39340"
"FBgn0000405","FBgn0000405","CycB","37618","CG3510",22803520,22806948,-1,"2R","37618"
"FBgn0000406","FBgn0000406","Cyt-b5-r","35008","CG13279",16788773,16790721,-1,"2L","35008"
"FBgn0000411","FBgn0000411","D","39570","CG5893",14175609,14178620,-1,"3L","39570"
"FBgn0000412","FBgn0000412","D1","41095","CG9745",9238082,9240654,-1,"3R","41095"
"FBgn0000414","FBgn0000414","Dab","39866","CG9695",16712125,16724575,1,"3L","39866"
"FBgn0000416","FBgn0000416","Sap-r","43662","CG12070",30883463,30889062,-1,"3R","43662"
"FBgn0000422","FBgn0000422","Ddc","35190","CG10697",19116482,19120306,-1,"2L","35190"
"FBgn0000426","FBgn0000426","SmF","36314","CG16792",12183843,12184310,-1,"2R","36314"
"FBgn0000427","FBgn0000427","dec-1","31691","CG2175",7867160,7873222,-1,"X","31691"
"FBgn0000439","FBgn0000439","Dfd","40832","CG2189",6791835,6802428,1,"3R","40832"
"FBgn0000447","FBgn0000447","Dhod","41022","CG9741",8651390,8652916,-1,"3R","41022"
"FBgn0000448","FBgn0000448","Hr3","36073","CG33183",10203994,10237348,-1,"2R","36073"
"FBgn0000449","FBgn0000449","dib","45282","CG12028",4062291,4064551,1,"3L","45282"
"FBgn0000451","FBgn0000451","ect","44135","CG6611",10190275,10201837,-1,"3L","44135"
"FBgn0000454","FBgn0000454","Dip-B","48450","CG9285",13782287,13785676,1,"3R","48450"
"FBgn0000455","FBgn0000455","Dip-C","47769","CG5663",12411808,12413759,-1,"3R","47769"
"FBgn0000459","FBgn0000459","disco","32579","CG9908",16210597,16216750,-1,"X","32579"
"FBgn0000463","FBgn0000463","Dl","42313","CG3619",19302730,19326217,-1,"3R","42313"
"FBgn0000464","FBgn0000464","Lar","35259","CG10443",19586622,19732069,1,"2L","35259"
"FBgn0000473","FBgn0000473","Cyp6a2","35587","CG9438",6779748,6781491,-1,"2R","35587"
"FBgn0000477","FBgn0000477","DNaseII","48228","CG7780",18019374,18021161,1,"3R","48228"
"FBgn0000479","FBgn0000479","dnc","31309","CG32498",3176439,3343767,1,"X","31309"
"FBgn0000482","FBgn0000482","dor","31118","CG3093",1665051,1668451,1,"X","31118"
"FBgn0000489","FBgn0000489","Pka-C3","39733","CG6117",15925804,15954797,-1,"3L","39733"
"FBgn0000490","FBgn0000490","dpp","33432","CG9885",2428371,2459823,1,"2L","33432"
"FBgn0000492","FBgn0000492","Dr","45285","CG1897",29556385,29565244,1,"3R","45285"
"FBgn0000499","FBgn0000499","dsh","32078","CG18361",11355880,11358724,1,"X","32078"
"FBgn0000500","FBgn0000500","Dsk","45845","CG18090",4189691,4190260,-1,"3R","45845"
"FBgn0000504","FBgn0000504","dsx","40940","CG11094",7924322,7967408,-1,"3R","40940"
"FBgn0000520","FBgn0000520","dwg","31265","CG2711",2727697,2730042,1,"X","31265"
"FBgn0000524","FBgn0000524","dx","31589","CG3929",6533998,6538575,1,"X","31589"
"FBgn0000527","FBgn0000527","e","42521","CG3331",21229838,21237177,-1,"3R","42521"
"FBgn0000529","FBgn0000529","bsh","35266","CG10604",19765775,19769067,-1,"2L","35266"
"FBgn0000533","FBgn0000533","ea","41858","CG4920",15328728,15330408,1,"3R","41858"
"FBgn0000535","FBgn0000535","eag","32428","CG10952",14955476,15009989,1,"X","32428"
"FBgn0000536","FBgn0000536","eas","32585","CG3525",16278327,16285618,1,"X","32585"
"FBgn0000541","FBgn0000541","E(bx)","44811","CG32346",233925,246912,-1,"3L","44811"
"FBgn0000542","FBgn0000542","ec","31339","CG2904",3811697,3857621,1,"X","31339"
"FBgn0000543","FBgn0000543","ecd","38291","CG5714",2263580,2265857,-1,"3L","38291"
"FBgn0000546","FBgn0000546","EcR","35540","CG1765",6087872,6169087,-1,"2R","35540"
"FBgn0000547","FBgn0000547","ed","33619","CG12676",4031376,4115749,1,"2L","33619"
"FBgn0000551","FBgn0000551","Edg78E","40354","CG7673",21296762,21297803,-1,"3L","40354"
"FBgn0000557","FBgn0000557","eEF1alpha2","43736","CG1873",31738467,31743306,1,"3R","43736"
"FBgn0000559","FBgn0000559","eEF2","35422","CG2238",21677912,21682164,-1,"2L","35422"
"FBgn0000560","FBgn0000560","eg","40428","CG7383",21808702,21817600,1,"3L","40428"
"FBgn0000562","FBgn0000562","egl","37757","CG4051",23734903,23746829,-1,"2R","37757"
"FBgn0000564","FBgn0000564","Eh","42101","CG5400",17446641,17448858,-1,"3R","42101"
"FBgn0000565","FBgn0000565","MsrA","39675","CG7266",15511051,15513202,1,"3L","39675"
"FBgn0000566","FBgn0000566","Eip55E","37143","CG5345",18627917,18629395,1,"2R","37143"
"FBgn0000567","FBgn0000567","Eip74EF","39962","CG32180",17558671,17619325,-1,"3L","39962"
"FBgn0000568","FBgn0000568","Eip75B","39999","CG8127",17950952,18064696,-1,"3L","39999"
"FBgn0000575","FBgn0000575","emc","38091","CG1007",749399,753492,1,"3L","38091"
"FBgn0000576","FBgn0000576","ems","41697","CG2988",13901852,13904620,1,"3R","41697"
"FBgn0000577","FBgn0000577","en","36240","CG9015",11524005,11528210,-1,"2R","36240"
"FBgn0000578","FBgn0000578","ena","37201","CG15112",19141631,19163697,1,"2R","37201"
"FBgn0000579","FBgn0000579","Eno","33351","CG17654",1724767,1729636,-1,"2L","33351"
"FBgn0000581","FBgn0000581","E(Pc)","36238","CG7776",11452042,11465270,1,"2R","36238"
"FBgn0000588","FBgn0000588","esc","34595","CG14941",11827203,11829405,-1,"2L","34595"
"FBgn0000591","FBgn0000591","E(spl)m8-HLH","43161","CG8365",26040239,26041008,1,"3R","43161"
"FBgn0000592","FBgn0000592","Est-6","39392","CG6917",12188817,12190705,1,"3L","39392"
"FBgn0000606","FBgn0000606","eve","36039","CG2328",9979318,9980795,1,"2R","36039"
"FBgn0000611","FBgn0000611","exd","32567","CG8933",15992467,15996509,1,"X","32567"
"FBgn0000615","FBgn0000615","exu","37345","CG8994",20667426,20671083,-1,"2R","37345"
"FBgn0000617","FBgn0000617","e(y)1","32762","CG6474",17842160,17843348,1,"X","32762"
"FBgn0000618","FBgn0000618","e(y)2","45848","CG15191",11576117,11576620,-1,"X","45848"
"FBgn0000625","FBgn0000625","eyg","39419","CG10488",12462536,12468021,-1,"3L","39419"
"FBgn0000629","FBgn0000629","E(z)","39203","CG6502",10634574,10638130,-1,"3L","39203"
"FBgn0000633","FBgn0000633","CG17716","36521","CG17716",13623043,13749367,1,"2R","36521"
"FBgn0000635","FBgn0000635","Fas2","31364","CG3665",4132886,4206093,-1,"X","31364"
"FBgn0000636","FBgn0000636","Fas3","35097","CG5803",18320101,18393441,1,"2L","35097"
"FBgn0000639","FBgn0000639","Fbp1","39566","CG17285",14094588,14098053,-1,"3L","39566"
"FBgn0000640","FBgn0000640","Fbp2","34259","CG3763",9426783,9427917,1,"2L","34259"
"FBgn0000644","FBgn0000644","Fcp3C","31294","CG4015",3173375,3174474,-1,"X","31294"
"FBgn0000658","FBgn0000658","fj","37089","CG10917",18232760,18236311,1,"2R","37089"
"FBgn0000659","FBgn0000659","fkh","43383","CG10002",28580975,28585264,-1,"3R","43383"
"FBgn0000662","FBgn0000662","fl(2)d","36527","CG6315",13819623,13824553,-1,"2R","36527"
"FBgn0000667","FBgn0000667","Actn","31166","CG4376",2023821,2042311,-1,"X","31166"
"FBgn0000709","FBgn0000709","fliI","33110","CG1484",21339740,21345088,1,"X","33110"
"FBgn0000711","FBgn0000711","flw","44289","CG2096",10385959,10409817,1,"X","44289"
"FBgn0000715","FBgn0000715","FMRFa","36030","CG2346",9906293,9910457,1,"2R","36030"
"FBgn0000719","FBgn0000719","fog","33148","CG9559",22824316,22855194,-1,"X","33148"
"FBgn0000721","FBgn0000721","for","44817","CG10033",3622073,3656953,-1,"2L","44817"
"FBgn0000723","FBgn0000723","FER","41118","CG8874",9367602,9394546,-1,"3R","41118"
"FBgn0000808","FBgn0000808","gd","32159","CG1505",11985153,11987764,-1,"X","32159"
"FBgn0000810","FBgn0000810","fs(1)K10","47781","CG3218",2242137,2246041,1,"X","47781"
"FBgn0000826","FBgn0000826","png","31084","CG11420",1356487,1357601,-1,"X","31084"
"FBgn0000927","FBgn0000927","fs(1)Ya","31263","CG2707",2724285,2726577,1,"X","31263"
"FBgn0000928","FBgn0000928","fs(1)Yb","31262","CG2706",2720467,2724158,1,"X","31262"
"FBgn0000964","FBgn0000964","tj","35227","CG10034",19464266,19467758,1,"2L","35227"
"FBgn0000996","FBgn0000996","dup","47121","CG8171",15376618,15380988,-1,"2R","47121"
"FBgn0001075","FBgn0001075","ft","33627","CG3352",4198403,4221796,-1,"2L","33627"
"FBgn0001077","FBgn0001077","ftz","40834","CG2047",6864323,6866244,1,"3R","40834"
"FBgn0001078","FBgn0001078","ftz-f1","40045","CG4059",18750606,18801309,-1,"3L","40045"
"FBgn0001079","FBgn0001079","fu","32855","CG6551",18657754,18661204,1,"X","32855"
"FBgn0001083","FBgn0001083","fw","32162","CG1500",11992914,12003914,-1,"X","32162"
"FBgn0001084","FBgn0001084","fy","34166","CG13396",8401475,8403280,-1,"2L","34166"
"FBgn0001085","FBgn0001085","fz","45307","CG17697",14274342,14368639,1,"3L","45307"
"FBgn0001086","FBgn0001086","fzy","34968","CG4274",16310955,16313097,1,"2L","34968"
"FBgn0001087","FBgn0001087","g","44819","CG10986",13727203,13736278,-1,"X","44819"
"FBgn0001089","FBgn0001089","Gal","33839","CG9092",6003573,6006827,-1,"2L","33839"
"FBgn0001090","FBgn0001090","bnb","32872","CG7088",18794245,18797687,-1,"X","32872"
"FBgn0001091","FBgn0001091","Gapdh1","35728","CG12055",7791900,7793380,-1,"2R","35728"
"FBgn0001092","FBgn0001092","Gapdh2","32545","CG8893",15868144,15869661,1,"X","32545"
"FBgn0001098","FBgn0001098","Gdh","42832","CG5320",23935957,23943101,-1,"3R","42832"
"FBgn0001099","FBgn0001099","gdl","3772583","CG33756",15509444,15511047,1,"3L","3772583"
"FBgn0001104","FBgn0001104","Galphai","38765","CG10060",6972749,6980044,-1,"3L","38765"
"FBgn0001105","FBgn0001105","Gbeta13F","32544","CG10545",15860114,15866175,1,"X","32544"
"FBgn0001108","FBgn0001108","DCTN1-p150","39536","CG9206",13929386,13934656,1,"3L","39536"
"FBgn0001112","FBgn0001112","Gld","40875","CG1152",7252062,7265703,-1,"3R","40875"
"FBgn0001114","FBgn0001114","Glt","34193","CG9280",8672697,8676804,1,"2L","34193"
"FBgn0001122","FBgn0001122","Galphao","36104","CG2204",10437984,10465701,1,"2R","36104"
"FBgn0001123","FBgn0001123","Galphas","37805","CG2835",23942537,23946936,1,"2R","37805"
"FBgn0001124","FBgn0001124","Got1","36782","CG8430",16138351,16141928,1,"2R","36782"
"FBgn0001125","FBgn0001125","Got2","33373","CG4233",1984511,1987758,-1,"2L","33373"
"FBgn0001128","FBgn0001128","Gpdh1","33824","CG9042",5943642,5948968,1,"2L","33824"
"FBgn0001133","FBgn0001133","grau","45871","CG33133",21009763,21011921,-1,"2R","45871"
"FBgn0001134","FBgn0001134","Grd","39984","CG7446",17823332,17839767,1,"3L","39984"
"FBgn0001137","FBgn0001137","grk","34171","CG17610",8431085,8433598,-1,"2L","34171"
"FBgn0001138","FBgn0001138","grn","40962","CG9656",8147367,8181444,-1,"3R","40962"
"FBgn0001139","FBgn0001139","gro","43162","CG8384",26041735,26049911,1,"3R","43162"
"FBgn0001142","FBgn0001142","Gs1","33172","CG2718",132076,134472,1,"2L","33172"
"FBgn0001145","FBgn0001145","Gs2","32087","CG1743",11422831,11430197,1,"X","32087"
"FBgn0001147","FBgn0001147","gsb-n","38004","CG2692",25040382,25052331,-1,"2R","38004"
"FBgn0001148","FBgn0001148","gsb","38005","CG3388",25061963,25064643,1,"2R","38005"
"FBgn0001149","FBgn0001149","GstD1","41503","CG10045",12367816,12369268,-1,"3R","41503"
"FBgn0001150","FBgn0001150","gt","31227","CG7952",2427112,2428967,-1,"X","31227"
"FBgn0001168","FBgn0001168","h","38995","CG6494",8675758,8679253,1,"3L","38995"
"FBgn0001169","FBgn0001169","H","42445","CG5460",20621937,20628915,1,"3R","42445"
"FBgn0001170","FBgn0001170","H2.0","33841","CG11607",6013058,6019402,-1,"2L","33841"
"FBgn0001179","FBgn0001179","hay","39202","CG8019",10631078,10633969,1,"3L","39202"
"FBgn0001185","FBgn0001185","her","34992","CG4694",16677184,16679691,1,"2L","34992"
"FBgn0001186","FBgn0001186","Hex-A","45875","CG3001",9585674,9589813,1,"X","45875"
"FBgn0001187","FBgn0001187","Hex-C","44008","CG8094",15218836,15220329,-1,"2R","44008"
"FBgn0001189","FBgn0001189","hfw","31120","CG3095",1669569,1673608,1,"X","31120"
"FBgn0001197","FBgn0001197","His2Av","43229","CG5499",26866928,26869220,1,"3R","43229"
"FBgn0001202","FBgn0001202","hook","35169","CG10653",19030843,19033498,-1,"2L","35169"
"FBgn0001206","FBgn0001206","Hmr","31988","CG1619",10590919,10595855,-1,"X","31988"
"FBgn0001208","FBgn0001208","Hn","38871","CG7399",7760452,7763166,1,"3L","38871"
"FBgn0001215","FBgn0001215","Hrb98DE","43385","CG9983",28599833,28605777,1,"3R","43385"
"FBgn0001216","FBgn0001216","Hsc70-1","39542","CG8937",13974060,13977761,1,"3L","39542"
"FBgn0001217","FBgn0001217","Hsc70-2","41609","CG7756",13044758,13047388,1,"3R","41609"
"FBgn0001218","FBgn0001218","Hsc70-3","32133","CG4147",11801695,11807117,-1,"X","32133"
"FBgn0001220","FBgn0001220","Hsc70-5","36583","CG8542",14252597,14256192,-1,"2R","36583"
"FBgn0001222","FBgn0001222","Hsf","37068","CG5748",18130302,18134634,-1,"2R","37068"
"FBgn0001224","FBgn0001224","Hsp23","39077","CG4463",9381881,9382765,1,"3L","39077"
"FBgn0001225","FBgn0001225","Hsp26","39075","CG4183",9376417,9377427,-1,"3L","39075"
"FBgn0001226","FBgn0001226","Hsp27","39078","CG4466",9384062,9385694,1,"3L","39078"
"FBgn0001227","FBgn0001227","Hsp67Ba","39076","CG4167",9377801,9379534,-1,"3L","39076"
"FBgn0001228","FBgn0001228","CG4456","3771872","CG4456",9372721,9374964,1,"3L","3771872"
"FBgn0001229","FBgn0001229","Hsp67Bc","39071","CG4190",9371510,9372497,-1,"3L","39071"
"FBgn0001230","FBgn0001230","Hsp68","42852","CG5436",24055079,24057310,-1,"3R","42852"
"FBgn0001233","FBgn0001233","Hsp83","38389","CG1242",3192968,3197059,1,"3L","38389"
"FBgn0001234","FBgn0001234","lncRNA:Hsromega","3772547","CR31400",21296126,21317836,1,"3R","3772547"
"FBgn0001235","FBgn0001235","hth","41273","CG17117",10507560,10639568,-1,"3R","41273"
"FBgn0001247","FBgn0001247","Ide","40248","CG5517",20371671,20375896,-1,"3L","40248"
"FBgn0001248","FBgn0001248","Idh","44291","CG7176",8356403,8360906,-1,"3L","44291"
"FBgn0001250","FBgn0001250","if","32661","CG9623",16752188,16783434,-1,"X","32661"
"FBgn0001253","FBgn0001253","ImpE1","45879","CG32356",8372404,8391171,1,"3L","45879"
"FBgn0001254","FBgn0001254","ImpE2","38432","CG1934",3510973,3512681,-1,"3L","38432"
"FBgn0001255","FBgn0001255","ImpE3","48239","CG2723",8028452,8029546,-1,"3R","48239"
"FBgn0001256","FBgn0001256","ImpL1","39499","CG10717",13382764,13383999,1,"3L","39499"
"FBgn0001257","FBgn0001257","ImpL2","38513","CG15009",4224005,4236147,-1,"3L","38513"
"FBgn0001258","FBgn0001258","Ldh","45880","CG10160",6259104,6262694,-1,"3L","45880"
"FBgn0001259","FBgn0001259","in","40246","CG16993",20367197,20370259,1,"3L","40246"
"FBgn0001263","FBgn0001263","inaD","37629","CG3504",22855687,22858794,-1,"2R","37629"
"FBgn0001269","FBgn0001269","inv","36239","CG17835",11474464,11509695,1,"2R","36239"
"FBgn0001276","FBgn0001276","ix","45881","CG13201",11359436,11360163,-1,"2R","45881"
"FBgn0001280","FBgn0001280","janA","43569","CG7933",30038621,30039533,-1,"3R","43569"
"FBgn0001281","FBgn0001281","janB","43568","CG7931",30037983,30038728,-1,"3R","43568"
"FBgn0001285","FBgn0001285","Jon44E","35853","CG8579",8691447,8692844,1,"2R","35853"
"FBgn0001291","FBgn0001291","Jra","36057","CG2275",10096479,10098556,1,"2R","36057"
"FBgn0001296","FBgn0001296","kar","45883","CG12286",12682185,12689367,-1,"3R","45883"
"FBgn0001297","FBgn0001297","kay","3772082","CG33956",29765994,29794113,1,"3R","3772082"
