"","Gene","KEGG"
"125","CG31075","path:dme01240"
"126","Pgk","path:dme00010"
"127","Pgk","path:dme01100"
"128","Pgk","path:dme01200"
"129","Pgk","path:dme01230"
"130","Pgk","path:dme04814"
"131","fbp","path:dme00010"
"132","fbp","path:dme00030"
"133","fbp","path:dme00051"
"134","fbp","path:dme01100"
"135","fbp","path:dme01200"
"136","CG32444","path:dme00010"
"137","CG32444","path:dme00052"
"138","CG32444","path:dme01100"
"139","CG32445","path:dme00010"
"140","CG32445","path:dme00052"
"141","CG32445","path:dme01100"
"142","Hex-t2","path:dme00010"
"143","Hex-t2","path:dme00051"
"144","Hex-t2","path:dme00052"
"145","Hex-t2","path:dme00500"
"146","Hex-t2","path:dme00520"
"147","Hex-t2","path:dme01100"
"148","Hex-t2","path:dme01200"
"149","Hex-t2","path:dme01250"
"150","Hex-t1","path:dme00010"
"151","Hex-t1","path:dme00051"
"152","Hex-t1","path:dme00052"
"153","Hex-t1","path:dme00500"
"154","Hex-t1","path:dme00520"
"155","Hex-t1","path:dme01100"
"156","Hex-t1","path:dme01200"
"157","Hex-t1","path:dme01250"
"158","Adh","path:dme00010"
"159","Adh","path:dme00071"
"160","Adh","path:dme00350"
"161","Adh","path:dme00620"
"162","Adh","path:dme00830"
"163","Adh","path:dme00980"
"164","Adh","path:dme00982"
"165","Adh","path:dme01100"
"166","Aldh","path:dme00010"
"167","Aldh","path:dme00053"
"168","Aldh","path:dme00071"
"169","Aldh","path:dme00280"
"170","Aldh","path:dme00310"
"171","Aldh","path:dme00330"
"172","Aldh","path:dme00340"
"173","Aldh","path:dme00380"
"174","Aldh","path:dme00410"
"175","Aldh","path:dme00561"
"176","Aldh","path:dme00620"
"177","Aldh","path:dme00770"
"178","Aldh","path:dme00981"
"179","Aldh","path:dme01100"
"180","Aldh","path:dme01240"
"181","Pfk","path:dme00010"
"182","Pfk","path:dme00030"
"183","Pfk","path:dme00051"
"184","Pfk","path:dme00052"
"185","Pfk","path:dme01100"
"186","Pfk","path:dme01200"
"187","Pfk","path:dme01230"
"188","Pfk","path:dme03018"
"189","Mipp1","path:dme00010"
"190","Mipp1","path:dme00562"
"191","Mipp1","path:dme01100"
"192","Mipp2","path:dme00010"
"193","Mipp2","path:dme00562"
"194","Mipp2","path:dme01100"
"195","CG4988","path:dme00010"
"196","CG4988","path:dme00052"
"197","CG4988","path:dme01100"
"198","Pgm1","path:dme00010"
"199","Pgm1","path:dme00030"
"200","Pgm1","path:dme00052"
"201","Pgm1","path:dme00230"
"202","Pgm1","path:dme00500"
"203","Pgm1","path:dme00520"
"204","Pgm1","path:dme01100"
"205","Pgm1","path:dme01250"
"206","muc","path:dme00010"
"207","muc","path:dme00020"
"208","muc","path:dme00620"
"209","muc","path:dme00785"
"210","muc","path:dme01100"
"211","muc","path:dme01200"
"212","Ald2","path:dme00010"
"213","Ald2","path:dme00030"
"214","Ald2","path:dme00051"
"215","Ald2","path:dme01100"
"216","Ald2","path:dme01200"
"217","Ald2","path:dme01230"
"218","Ald1","path:dme00010"
"219","Ald1","path:dme00030"
"220","Ald1","path:dme00051"
"221","Ald1","path:dme01100"
"222","Ald1","path:dme01200"
"223","Ald1","path:dme01230"
"224","Fdh","path:dme00010"
"225","Fdh","path:dme00071"
"226","Fdh","path:dme00350"
"227","Fdh","path:dme00620"
"228","Fdh","path:dme00830"
"229","Fdh","path:dme00980"
"230","Fdh","path:dme00982"
"231","Fdh","path:dme01100"
"232","Fdh","path:dme01200"
"233","CG6650","path:dme00010"
"234","CG6650","path:dme01100"
"235","CG6650","path:dme01200"
"236","Pdha","path:dme00010"
"237","Pdha","path:dme00020"
"238","Pdha","path:dme00620"
"239","Pdha","path:dme00785"
"240","Pdha","path:dme01100"
"241","Pdha","path:dme01200"
"242","CG7024","path:dme00010"
"243","CG7024","path:dme00020"
"244","CG7024","path:dme00620"
"245","CG7024","path:dme00785"
"246","CG7024","path:dme01100"
"247","CG7024","path:dme01200"
"248","CG7059","path:dme00010"
"249","CG7059","path:dme00260"
"250","CG7059","path:dme01100"
"251","CG7059","path:dme01200"
"252","CG7059","path:dme01230"
"253","CG7069","path:dme00010"
"254","CG7069","path:dme00620"
"255","CG7069","path:dme01100"
"256","CG7069","path:dme01200"
"257","CG7069","path:dme01230"
"258","PyK","path:dme00010"
"259","PyK","path:dme00620"
"260","PyK","path:dme01100"
"261","PyK","path:dme01200"
"262","PyK","path:dme01230"
"263","CG7362","path:dme00010"
"264","CG7362","path:dme00620"
"265","CG7362","path:dme01100"
"266","CG7362","path:dme01200"
"267","CG7362","path:dme01230"
"268","CG7430","path:dme00010"
"269","CG7430","path:dme00020"
"270","CG7430","path:dme00260"
"271","CG7430","path:dme00280"
"272","CG7430","path:dme00310"
"273","CG7430","path:dme00380"
"274","CG7430","path:dme00620"
"275","CG7430","path:dme00630"
"276","CG7430","path:dme00640"
"277","CG7430","path:dme00785"
"278","CG7430","path:dme01100"
"279","CG7430","path:dme01200"
"280","CG7430","path:dme01240"
"281","Pgm2a","path:dme00010"
"282","Pgm2a","path:dme00030"
"283","Pgm2a","path:dme00052"
"284","Pgm2a","path:dme00230"
"285","Pgm2a","path:dme00500"
"286","Pgm2a","path:dme00520"
"287","Pgm2a","path:dme01100"
"288","Pgm2a","path:dme01250"
"289","Hex-C","path:dme00010"
"290","Hex-C","path:dme00051"
"291","Hex-C","path:dme00052"
"292","Hex-C","path:dme00500"
"293","Hex-C","path:dme00520"
"294","Hex-C","path:dme01100"
"295","Hex-C","path:dme01200"
"296","Hex-C","path:dme01250"
"297","Pgi","path:dme00010"
"298","Pgi","path:dme00030"
"299","Pgi","path:dme00500"
"300","Pgi","path:dme00520"
"301","Pgi","path:dme01100"
"302","Pgi","path:dme01200"
"303","Pgi","path:dme01250"
"304","Gapdh2","path:dme00010"
"305","Gapdh2","path:dme01100"
"306","Gapdh2","path:dme01200"
"307","Gapdh2","path:dme01230"
"308","CG9008","path:dme00010"
"309","CG9008","path:dme01100"
"310","CG9010","path:dme00010"
"311","CG9010","path:dme01100"
"312","CG9010","path:dme01200"
"313","CG9010","path:dme01230"
"314","AcCoAS","path:dme00010"
"315","AcCoAS","path:dme00620"
"316","AcCoAS","path:dme00630"
"317","AcCoAS","path:dme00640"
"318","AcCoAS","path:dme01100"
"319","AcCoAS","path:dme01200"
"320","Aldh7A1","path:dme00010"
"321","Aldh7A1","path:dme00053"
"322","Aldh7A1","path:dme00071"
"323","Aldh7A1","path:dme00260"
"324","Aldh7A1","path:dme00280"
"325","Aldh7A1","path:dme00310"
"326","Aldh7A1","path:dme00330"
"327","Aldh7A1","path:dme00340"
"328","Aldh7A1","path:dme00380"
"329","Aldh7A1","path:dme00410"
"330","Aldh7A1","path:dme00561"
"331","Aldh7A1","path:dme00620"
"332","Aldh7A1","path:dme01100"
"333","CG9961","path:dme00010"
"334","CG9961","path:dme01100"
"335","CG9961","path:dme01200"
"336","CG9961","path:dme01230"
"337","SdhD","path:dme00020"
"338","SdhD","path:dme00190"
"339","SdhD","path:dme01100"
"340","SdhD","path:dme01200"
"341","ScsbetaG","path:dme00020"
"342","ScsbetaG","path:dme00640"
"343","ScsbetaG","path:dme01100"
"344","ScsbetaG","path:dme01200"
"345","Scsalpha1","path:dme00020"
"346","Scsalpha1","path:dme00640"
"347","Scsalpha1","path:dme01100"
"348","Scsalpha1","path:dme01200"
"349","Scsalpha1","path:dme03010"
"350","Scsalpha1","path:dme04814"
"351","CG10748","path:dme00020"
"352","CG10748","path:dme00270"
"353","CG10748","path:dme00620"
"354","CG10748","path:dme00630"
"355","CG10748","path:dme01100"
"356","CG10748","path:dme01200"
"357","CG10749","path:dme00020"
"358","CG10749","path:dme00270"
"359","CG10749","path:dme00620"
"360","CG10749","path:dme00630"
"361","CG10749","path:dme01100"
"362","CG10749","path:dme01200"
"363","Nc73EF","path:dme00020"
"364","Nc73EF","path:dme00785"
"365","Nc73EF","path:dme01100"
"366","Nc73EF","path:dme01200"
"367","ScsbetaA","path:dme00020"
"368","ScsbetaA","path:dme00640"
"369","ScsbetaA","path:dme01100"
"370","ScsbetaA","path:dme01200"
"371","Idh3a","path:dme00020"
"372","Idh3a","path:dme01100"
"373","Idh3a","path:dme01200"
"374","Idh3a","path:dme01210"
"375","Idh3a","path:dme01230"
"376","CG14740","path:dme00020"
"377","CG14740","path:dme00630"
"378","CG14740","path:dme01100"
"379","CG14740","path:dme01200"
"380","CG14740","path:dme01210"
"381","CG14740","path:dme01230"
"382","PCB","path:dme00020"
"383","PCB","path:dme00620"
"384","PCB","path:dme01100"
"385","PCB","path:dme01200"
"386","PCB","path:dme01230"
"387","SdhA","path:dme00020"
"388","SdhA","path:dme00190"
"389","SdhA","path:dme01100"
"390","SdhA","path:dme01200"
"391","Fum4","path:dme00020"
"392","Fum4","path:dme00620"
"393","Fum4","path:dme01100"
"394","Fum4","path:dme01200"
"395","CG32026","path:dme00020"
"396","CG32026","path:dme01100"
"397","CG32026","path:dme01200"
"398","CG32026","path:dme01210"
"399","CG32026","path:dme01230"
"400","SdhB","path:dme00020"
"401","SdhB","path:dme00190"
"402","SdhB","path:dme01100"
"403","SdhB","path:dme01200"
"404","CG33791","path:dme00020"
"405","CG33791","path:dme00785"
"406","CG33791","path:dme01100"
"407","CG33791","path:dme01200"
"408","CG3483","path:dme00020"
"409","CG3483","path:dme01100"
"410","CG3483","path:dme01200"
"411","CG3483","path:dme01210"
"412","CG3483","path:dme01230"
"413","kdn","path:dme00020"
"414","kdn","path:dme00630"
"415","kdn","path:dme01100"
"416","kdn","path:dme01200"
"417","kdn","path:dme01210"
"418","kdn","path:dme01230"
"419","Fum1","path:dme00020"
"420","Fum1","path:dme00620"
"421","Fum1","path:dme01100"
"422","Fum1","path:dme01200"
"423","Fum2","path:dme00020"
"424","Fum2","path:dme00620"
"425","Fum2","path:dme01100"
"426","Fum2","path:dme01200"
"427","mAcon2","path:dme00020"
"428","mAcon2","path:dme00630"
"429","mAcon2","path:dme01100"
"430","mAcon2","path:dme01200"
"431","mAcon2","path:dme01210"
"432","mAcon2","path:dme01230"
"433","Irp-1A","path:dme00020"
"434","Irp-1A","path:dme00630"
"435","Irp-1A","path:dme01100"
"436","Irp-1A","path:dme01200"
"437","Irp-1A","path:dme01210"
"438","Irp-1A","path:dme01230"
"439","CG5028","path:dme00020"
"440","CG5028","path:dme01100"
"441","CG5028","path:dme01200"
"442","CG5028","path:dme01210"
"443","CG5028","path:dme01230"
"444","CG5214","path:dme00020"
"445","CG5214","path:dme00310"
"446","CG5214","path:dme00380"
"447","CG5214","path:dme00785"
"448","CG5214","path:dme01100"
"449","CG5214","path:dme01200"
"450","Mdh1","path:dme00020"
"451","Mdh1","path:dme00270"
"452","Mdh1","path:dme00620"
"453","Mdh1","path:dme00630"
"454","Mdh1","path:dme01100"
"455","Mdh1","path:dme01200"
"456","SdhAL","path:dme00020"
"457","SdhAL","path:dme00190"
"458","SdhAL","path:dme01100"
"459","SdhAL","path:dme01200"
"460","Fum3","path:dme00020"
"461","Fum3","path:dme00620"
"462","Fum3","path:dme01100"
"463","Fum3","path:dme01200"
"464","Scsalpha2","path:dme00020"
"465","Scsalpha2","path:dme00640"
"466","Scsalpha2","path:dme01100"
"467","Scsalpha2","path:dme01200"
"468","Irp-1B","path:dme00020"
"469","Irp-1B","path:dme00630"
"470","Irp-1B","path:dme01100"
"471","Irp-1B","path:dme01200"
"472","Irp-1B","path:dme01210"
"473","Irp-1B","path:dme01230"
"474","Idh3b","path:dme00020"
"475","Idh3b","path:dme01100"
"476","Idh3b","path:dme01200"
"477","Idh3b","path:dme01210"
"478","Idh3b","path:dme01230"
"479","CG6629","path:dme00020"
"480","CG6629","path:dme00190"
"481","CG6629","path:dme01100"
"482","CG6629","path:dme01200"
"483","SdhC","path:dme00020"
"484","SdhC","path:dme00190"
"485","SdhC","path:dme01100"
"486","SdhC","path:dme01200"
"487","Idh","path:dme00020"
"488","Idh","path:dme00480"
"489","Idh","path:dme01100"
"490","Idh","path:dme01200"
"491","Idh","path:dme01210"
"492","Idh","path:dme01230"
"493","Idh","path:dme04146"
"494","SdhBL","path:dme00020"
"495","SdhBL","path:dme00190"
"496","SdhBL","path:dme01100"
"497","SdhBL","path:dme01200"
"498","Mdh2","path:dme00020"
"499","Mdh2","path:dme00270"
"500","Mdh2","path:dme00620"
"501","Mdh2","path:dme00630"
"502","Mdh2","path:dme01100"
"503","Mdh2","path:dme01200"
"504","ATPCL","path:dme00020"
"505","ATPCL","path:dme01100"
"506","mAcon1","path:dme00020"
"507","mAcon1","path:dme00630"
"508","mAcon1","path:dme01100"
"509","mAcon1","path:dme01200"
"510","mAcon1","path:dme01210"
"511","mAcon1","path:dme01230"
"512","Gld","path:dme00030"
"513","Gld","path:dme01100"
"514","Gld","path:dme03010"
"515","CG12398","path:dme00030"
"516","CG12398","path:dme01100"
"517","Zw","path:dme00030"
"518","Zw","path:dme00480"
"519","Zw","path:dme01100"
"520","Zw","path:dme01200"
"521","CG13369","path:dme00030"
"522","CG13369","path:dme01100"
"523","CG17010","path:dme00030"
"524","CG17010","path:dme01100"
"525","CG17333","path:dme00030"
"526","CG17333","path:dme01100"
"527","CG17333","path:dme01200"
"528","Taldo","path:dme00030"
"529","Taldo","path:dme01100"
"530","Taldo","path:dme01200"
"531","Taldo","path:dme01230"
"532","Rpi","path:dme00030"
"533","Rpi","path:dme01100"
"534","Rpi","path:dme01200"
"535","Rpi","path:dme01230"
"536","Rpe","path:dme00030"
"537","Rpe","path:dme00040"
"538","Rpe","path:dme01100"
"539","Rpe","path:dme01200"
"540","Rpe","path:dme01230"
"541","Pgd","path:dme00030"
"542","Pgd","path:dme00480"
"543","Pgd","path:dme01100"
"544","Pgd","path:dme01200"
"545","CG5103","path:dme00030"
"546","CG5103","path:dme01100"
"547","CG5103","path:dme01200"
"548","CG5103","path:dme01230"
"549","Prps","path:dme00030"
"550","Prps","path:dme00230"
"551","Prps","path:dme01100"
"552","Prps","path:dme01200"
"553","Prps","path:dme01230"
"554","CG7140","path:dme00030"
"555","CG7140","path:dme00480"
"556","CG7140","path:dme01100"
"557","CG7140","path:dme01200"
"558","CG8036","path:dme00030"
"559","CG8036","path:dme01100"
"560","CG8036","path:dme01200"
"561","CG8036","path:dme01230"
"562","Dera","path:dme00030"
"563","Dera","path:dme01100"
"564","CG9886","path:dme00030"
"565","CG9886","path:dme00260"
"566","CG9886","path:dme00561"
"567","CG9886","path:dme00630"
"568","CG9886","path:dme01100"
"569","CG9886","path:dme01200"
"570","sgl","path:dme00040"
"571","sgl","path:dme00053"
"572","sgl","path:dme00520"
"573","sgl","path:dme01100"
"574","sgl","path:dme01240"
"575","sgl","path:dme01250"
"576","Had2","path:dme00040"
"577","Had2","path:dme01100"
"578","Ugt301D1","path:dme00040"
"579","Ugt301D1","path:dme00053"
"580","Ugt301D1","path:dme00830"
"581","Ugt301D1","path:dme00860"
"582","Ugt301D1","path:dme00980"
"583","Ugt301D1","path:dme00982"
"584","Ugt301D1","path:dme00983"
"585","Ugt301D1","path:dme01100"
"586","Ugt301D1","path:dme01240"
"587","CG10638","path:dme00040"
"588","CG10638","path:dme00051"
"589","CG10638","path:dme00052"
"590","CG10638","path:dme00561"
"591","CG10638","path:dme00790"
"592","CG10638","path:dme01100"
"593","CG10863","path:dme00040"
"594","CG10863","path:dme00051"
"595","CG10863","path:dme00052"
"596","CG10863","path:dme00561"
"597","CG10863","path:dme00790"
"598","CG10863","path:dme01100"
"599","Ugt37A1","path:dme00040"
"600","Ugt37A1","path:dme00053"
"601","Ugt37A1","path:dme00830"
"602","Ugt37A1","path:dme00860"
"603","Ugt37A1","path:dme00980"
"604","Ugt37A1","path:dme00982"
"605","Ugt37A1","path:dme00983"
"606","Ugt37A1","path:dme01100"
"607","Ugt37A1","path:dme01240"
"608","Ugt307A1","path:dme00040"
"609","Ugt307A1","path:dme00053"
"610","Ugt307A1","path:dme00830"
"611","Ugt307A1","path:dme00860"
"612","Ugt307A1","path:dme00980"
"613","Ugt307A1","path:dme00982"
"614","Ugt307A1","path:dme00983"
"615","Ugt307A1","path:dme01100"
"616","Ugt307A1","path:dme01240"
"617","CG11594","path:dme00040"
"618","CG11594","path:dme01100"
"619","CG12766","path:dme00040"
"620","CG12766","path:dme00051"
"621","CG12766","path:dme00052"
"622","CG12766","path:dme00561"
"623","CG12766","path:dme00790"
"624","CG12766","path:dme01100"
"625","Ugt37C2","path:dme00040"
"626","Ugt37C2","path:dme00053"
"627","Ugt37C2","path:dme00830"
"628","Ugt37C2","path:dme00860"
"629","Ugt37C2","path:dme00980"
"630","Ugt37C2","path:dme00982"
"631","Ugt37C2","path:dme00983"
"632","Ugt37C2","path:dme01100"
"633","Ugt37C2","path:dme01240"
"634","Ugt37E1","path:dme00040"
"635","Ugt37E1","path:dme00053"
"636","Ugt37E1","path:dme00830"
"637","Ugt37E1","path:dme00860"
"638","Ugt37E1","path:dme00980"
"639","Ugt37E1","path:dme00982"
"640","Ugt37E1","path:dme00983"
"641","Ugt37E1","path:dme01100"
"642","Ugt37E1","path:dme01240"
"643","CG13280","path:dme00040"
"644","CG13280","path:dme00980"
"645","CG13280","path:dme01100"
"646","CG15117","path:dme00040"
"647","CG15117","path:dme00053"
"648","CG15117","path:dme00531"
"649","CG15117","path:dme00860"
"650","CG15117","path:dme00983"
"651","CG15117","path:dme01100"
"652","CG15117","path:dme01240"
"653","CG15117","path:dme04142"
"654","Ugt49C1","path:dme00040"
"655","Ugt49C1","path:dme00053"
"656","Ugt49C1","path:dme00830"
"657","Ugt49C1","path:dme00860"
"658","Ugt49C1","path:dme00980"
"659","Ugt49C1","path:dme00982"
"660","Ugt49C1","path:dme00983"
"661","Ugt49C1","path:dme01100"
"662","Ugt49C1","path:dme01240"
"663","Ugt304A1","path:dme00040"
"664","Ugt304A1","path:dme00053"
"665","Ugt304A1","path:dme00830"
"666","Ugt304A1","path:dme00860"
"667","Ugt304A1","path:dme00980"
"668","Ugt304A1","path:dme00982"
"669","Ugt304A1","path:dme00983"
"670","Ugt304A1","path:dme01100"
"671","Ugt304A1","path:dme01240"
"672","Ugt35E1","path:dme00040"
"673","Ugt35E1","path:dme00053"
"674","Ugt35E1","path:dme00830"
"675","Ugt35E1","path:dme00860"
"676","Ugt35E1","path:dme00980"
"677","Ugt35E1","path:dme00982"
"678","Ugt35E1","path:dme00983"
"679","Ugt35E1","path:dme01100"
"680","Ugt35E1","path:dme01240"
"681","Ugt36E1","path:dme00040"
"682","Ugt36E1","path:dme00053"
"683","Ugt36E1","path:dme00830"
"684","Ugt36E1","path:dme00860"
"685","Ugt36E1","path:dme00980"
"686","Ugt36E1","path:dme00982"
"687","Ugt36E1","path:dme00983"
"688","Ugt36E1","path:dme01100"
"689","Ugt36E1","path:dme01240"
"690","Ugt36D1","path:dme00040"
"691","Ugt36D1","path:dme00053"
"692","Ugt36D1","path:dme00830"
"693","Ugt36D1","path:dme00860"
"694","Ugt36D1","path:dme00980"
"695","Ugt36D1","path:dme00982"
"696","Ugt36D1","path:dme00983"
"697","Ugt36D1","path:dme01100"
"698","Ugt36D1","path:dme01240"
"699","Ugt36F1","path:dme00040"
"700","Ugt36F1","path:dme00053"
"701","Ugt36F1","path:dme00830"
"702","Ugt36F1","path:dme00860"
"703","Ugt36F1","path:dme00980"
"704","Ugt36F1","path:dme00982"
"705","Ugt36F1","path:dme00983"
"706","Ugt36F1","path:dme01100"
"707","Ugt36F1","path:dme01240"
"708","Ugt37D1","path:dme00040"
"709","Ugt37D1","path:dme00053"
"710","Ugt37D1","path:dme00830"
"711","Ugt37D1","path:dme00860"
"712","Ugt37D1","path:dme00980"
"713","Ugt37D1","path:dme00982"
"714","Ugt37D1","path:dme00983"
"715","Ugt37D1","path:dme01100"
"716","Ugt37D1","path:dme01240"
"717","Sodh-1","path:dme00040"
"718","Sodh-1","path:dme00051"
"719","Sodh-1","path:dme01100"
"720","betaGlu","path:dme00040"
"721","betaGlu","path:dme00053"
"722","betaGlu","path:dme00531"
"723","betaGlu","path:dme00860"
"724","betaGlu","path:dme00983"
"725","betaGlu","path:dme01100"
"726","betaGlu","path:dme01240"
"727","betaGlu","path:dme04142"
"728","Ugt36A1","path:dme00040"
"729","Ugt36A1","path:dme00053"
"730","Ugt36A1","path:dme00830"
"731","Ugt36A1","path:dme00860"
"732","Ugt36A1","path:dme00980"
"733","Ugt36A1","path:dme00982"
"734","Ugt36A1","path:dme00983"
"735","Ugt36A1","path:dme01100"
"736","Ugt36A1","path:dme01240"
"737","Ugt35D1","path:dme00040"
"738","Ugt35D1","path:dme00053"
"739","Ugt35D1","path:dme00830"
"740","Ugt35D1","path:dme00860"
"741","Ugt35D1","path:dme00980"
"742","Ugt35D1","path:dme00982"
"743","Ugt35D1","path:dme00983"
"744","Ugt35D1","path:dme01100"
"745","Ugt35D1","path:dme01240"
"746","CG3534","path:dme00040"
"747","CG3534","path:dme01100"
"748","CG3597","path:dme00040"
"749","CG3597","path:dme00980"
"750","CG3597","path:dme01100"
"751","CG3609","path:dme00040"
"752","CG3609","path:dme00980"
"753","CG3609","path:dme01100"
"754","Ugt316A1","path:dme00040"
"755","Ugt316A1","path:dme00053"
"756","Ugt316A1","path:dme00830"
"757","Ugt316A1","path:dme00860"
"758","Ugt316A1","path:dme00980"
"759","Ugt316A1","path:dme00982"
"760","Ugt316A1","path:dme00983"
"761","Ugt316A1","path:dme01100"
"762","Ugt316A1","path:dme01240"
"763","ARY","path:dme00040"
"764","ARY","path:dme00051"
"765","ARY","path:dme00052"
"766","ARY","path:dme00561"
"767","ARY","path:dme00790"
"768","ARY","path:dme01100"
"769","Ugt49B1","path:dme00040"
"770","Ugt49B1","path:dme00053"
"771","Ugt49B1","path:dme00830"
"772","Ugt49B1","path:dme00860"
"773","Ugt49B1","path:dme00980"
"774","Ugt49B1","path:dme00982"
"775","Ugt49B1","path:dme00983"
"776","Ugt49B1","path:dme01100"
"777","Ugt49B1","path:dme01240"
"778","UGP","path:dme00040"
"779","UGP","path:dme00052"
"780","UGP","path:dme00500"
"781","UGP","path:dme00520"
"782","UGP","path:dme01100"
"783","UGP","path:dme01240"
"784","UGP","path:dme01250"
"785","Ugt317A1","path:dme00040"
"786","Ugt317A1","path:dme00053"
"787","Ugt317A1","path:dme00830"
"788","Ugt317A1","path:dme00860"
"789","Ugt317A1","path:dme00980"
"790","Ugt317A1","path:dme00982"
"791","Ugt317A1","path:dme00983"
"792","Ugt317A1","path:dme01100"
"793","Ugt317A1","path:dme01240"
"794","Sodh-2","path:dme00040"
"795","Sodh-2","path:dme00051"
"796","Sodh-2","path:dme01100"
"797","Ugt303A1","path:dme00040"
"798","Ugt303A1","path:dme00053"
"799","Ugt303A1","path:dme00830"
"800","Ugt303A1","path:dme00860"
"801","Ugt303A1","path:dme00980"
"802","Ugt303A1","path:dme00982"
"803","Ugt303A1","path:dme00983"
"804","Ugt303A1","path:dme01100"
"805","Ugt303A1","path:dme01240"
"806","Ugt37A2","path:dme00040"
"807","Ugt37A2","path:dme00053"
"808","Ugt37A2","path:dme00830"
"809","Ugt37A2","path:dme00860"
"810","Ugt37A2","path:dme00980"
"811","Ugt37A2","path:dme00982"
"812","Ugt37A2","path:dme00983"
"813","Ugt37A2","path:dme01100"
"814","Ugt37A2","path:dme01240"
"815","Ugt37A3","path:dme00040"
"816","Ugt37A3","path:dme00053"
"817","Ugt37A3","path:dme00830"
"818","Ugt37A3","path:dme00860"
"819","Ugt37A3","path:dme00980"
"820","Ugt37A3","path:dme00982"
"821","Ugt37A3","path:dme00983"
"822","Ugt37A3","path:dme01100"
"823","Ugt37A3","path:dme01240"
