FBgn,Symbol,Fbab
FBgn0053490,Ipo9,FBab0028744
FBgn0041588,CG33914,FBab0028744
FBgn0264748,Mtkl,FBab0028744
FBgn0030407,CG12862,FBab0028744
FBgn0001257,CG17217,FBab0028744
FBgn0032021,LSm1,FBab0028744
FBgn0031142,snoRNA:Psi28S-291,FBab0028744
FBgn0265451,Spase12,FBab0028744
FBgn0000640,PrBP,FBab0028744
FBgn0033177,Ipk2,FBab0028744
FBgn0015278,CG14443,FBab0028744
FBgn0030675,CG10445,FBab0028744
FBgn0051682,bin3,FBab0028744
FBgn0031238,CG14893,FBab0028744
FBgn0034429,Syt1,FBab0028744
FBgn0262537,CG15282,FBab0028744
FBgn0267165,CG11158,FBab0028744
FBgn0053368,lncRNA:CR45979,FBab0028744
FBgn0050239,CG12945,FBab0028744
FBgn0259713,Obp56d,FBab0028744
FBgn0261085,Hil,FBab0028744
FBgn0267429,Prx6b,FBab0028744
FBgn0051618,drm,FBab0028744
FBgn0085421,Rgl,FBab0028744
FBgn0283431,CG42590,FBab0028744
FBgn0053395,rnh1,FBab0028744
FBgn0030695,PGRP-LF,FBab0028744
FBgn0000121,Tip60,FBab0028744
FBgn0040636,CG4615,FBab0028744
FBgn0030357,IntS11,FBab0028744
FBgn0028645,CG3402,FBab0028744
FBgn0034585,Acp62F,FBab0028744
FBgn0028899,Pbp95,FBab0028744
FBgn0038281,RasGAP1,FBab0028744
FBgn0037421,CG7724,FBab0028744
FBgn0036659,asRNA:CR44181,FBab0028744
FBgn0085203,CG42662,FBab0028744
FBgn0032104,CG13337,FBab0028744
FBgn0035468,ppk24,FBab0028744
FBgn0259742,Cypl,FBab0028744
FBgn0263402,lncRNA:CR44590,FBab0028744
FBgn0287631,lncRNA:CR44893,FBab0028744
FBgn0035076,asRNA:CR45469,FBab0028744
FBgn0264723,rn,FBab0028744
FBgn0040859,Claspin,FBab0028744
FBgn0051867,msk,FBab0028744
FBgn0053891,CAH4,FBab0030339
FBgn0029666,snoRNA:CD38a,FBab0030339
FBgn0000414,UbcE2H,FBab0030339
FBgn0065094,CG7627,FBab0030339
FBgn0039754,per,FBab0030339
FBgn0031335,dhd,FBab0030339
FBgn0016672,CG8728,FBab0030339
FBgn0034225,Rtnl2,FBab0030339
FBgn0031437,CG2291,FBab0030339
FBgn0266217,Ilp1,FBab0030339
FBgn0039271,CG12321,FBab0030339
FBgn0025637,CG34106,FBab0030339
FBgn0052511,lncRNA:CR46016,FBab0030339
FBgn0035612,CG9399,FBab0030339
FBgn0266740,lds,FBab0030339
FBgn0004242,alpha-Catr,FBab0030339
FBgn0035122,mir-958,FBab0030339
FBgn0032480,ecd,FBab0030339
FBgn0259923,CG8159,FBab0030339
FBgn0028948,glo,FBab0030339
FBgn0034745,lncRNA:TS2,FBab0030339
FBgn0026738,asRNA:CR45968,FBab0030339
FBgn0085298,sofe,FBab0030339
FBgn0035424,Reepl1,FBab0030339
FBgn0039250,mRpL22,FBab0030339
FBgn0264545,lectin-24A,FBab0045518
FBgn0267615,CG42523,FBab0045518
FBgn0014075,CG9259,FBab0045518
FBgn0001978,5SrRNA:CR33393,FBab0045518
FBgn0287217,CG45491,FBab0045518
FBgn0035047,Gr64b,FBab0045518
FBgn0267056,CG4025,FBab0045518
FBgn0085342,lncRNA:CR45113,FBab0045518
FBgn0290109,Gr89a,FBab0045518
FBgn0085211,asRNA:CR44116,FBab0045518
FBgn0051213,asRNA:CR43476,FBab0045518
FBgn0266587,MCPH1,FBab0045518
FBgn0053124,RpL37-2,FBab0045518
FBgn0032172,CG7131,FBab0045518
FBgn0267238,lncRNA:CR45284,FBab0045518
FBgn0036351,CG42287,FBab0045518
FBgn0264827,Ir7a,FBab0045518
FBgn0037677,Ptp99A,FBab0045518
FBgn0263492,Toll-9,FBab0045518
FBgn0086067,lncRNA:CR44771,FBab0045518
FBgn0032908,Liprin-gamma,FBab0045518
FBgn0250867,ATPsynC,FBab0045518
FBgn0265933,HSPBAP1,FBab0045518
FBgn0034814,Yp3,FBab0045518
FBgn0265863,CG46314,FBab0045518
FBgn0030729,CG4281,FBab0045518
FBgn0034700,mir-983-1,FBab0045518
FBgn0265084,Arf6,FBab0045518
FBgn0036204,Cyp316a1,FBab0045518
FBgn0036402,Cht7,FBab0045518
FBgn0036619,CG10139,FBab0045518
FBgn0031926,CG43896,FBab0045518
FBgn0050058,Nep3,FBab0045518
FBgn0033813,snoRNA:Psi18S-1377c,FBab0045518
FBgn0031851,CG14691,FBab0045518
FBgn0260936,Neurl4,FBab0045518
FBgn0037896,CG33235,FBab0045518
FBgn0264501,CG31819,FBab0045518
FBgn0265498,COX6B,FBab0045518
FBgn0051720,CG4409,FBab0045518
FBgn0030310,lncRNA:CR45348,FBab0045518
FBgn0000183,CG5112,FBab0045518
FBgn0011848,CG14913,FBab0045518
FBgn0033885,cpo,FBab0045518
FBgn0029936,CG11357,FBab0045518
FBgn0266934,CG42449,FBab0045518
FBgn0035982,ZIPIC,FBab0045518
FBgn0024945,scf,FBab0045518
FBgn0035258,CG31097,FBab0045518
FBgn0050464,asRNA:CR45944,FBab0045518
FBgn0038159,lncRNA:CR44503,FBab0045518
FBgn0267691,CG13077,FBab0045518
FBgn0030244,lncRNA:CR44649,FBab0045518
FBgn0030327,me31B,FBab0045518
FBgn0051852,PGRP-SB2,FBab0045518
FBgn0033168,lncRNA:CR44686,FBab0045518
FBgn0037234,ao,FBab0045518
FBgn0287724,Nup133,FBab0045518
FBgn0033602,lncRNA:CR44260,FBab0045518
FBgn0262613,mir-6-3,FBab0045518
FBgn0033015,CG43816,FBab0045518
FBgn0065102,snRNA:U6:96Aa,FBab0045518
FBgn0036916,RpS8,FBab0045518
FBgn0051352,His1:CG33831,FBab0045518
FBgn0000529,CG4962,FBab0045518
FBgn0053860,lut,FBab0045518
FBgn0050202,lncRNA:CR43625,FBab0045518
FBgn0033741,5SrRNA:CR33451,FBab0045518
FBgn0039680,Cnb,FBab0029744
FBgn0033752,CG3640,FBab0029744
FBgn0035049,dnd,FBab0029744
FBgn0003463,Vps13D,FBab0029744
FBgn0053687,CG42752,FBab0029744
FBgn0039052,RpS26,FBab0029744
FBgn0028567,Mal-A8,FBab0029744
FBgn0033862,jus,FBab0029744
FBgn0014863,CG18622,FBab0029744
FBgn0266487,ValRS-m,FBab0029744
FBgn0032518,Cyp9b1,FBab0029744
FBgn0052774,dock,FBab0029744
FBgn0030661,Rnmt,FBab0029744
FBgn0015286,kn,FBab0029744
FBgn0262524,AGO1,FBab0029744
FBgn0037531,5SrRNA:CR33433,FBab0029744
FBgn0052767,CG12617,FBab0029744
FBgn0085382,CG9294,FBab0029744
FBgn0051029,BomS1,FBab0029744
FBgn0031902,Cap-H2,FBab0029744
FBgn0264862,Reps,FBab0029744
FBgn0039310,snoRNA:Psi18S-1389a,FBab0029744
FBgn0267057,GatC,FBab0029744
FBgn0036390,CG15579,FBab0029744
FBgn0262413,VGlut1,FBab0029744
FBgn0040588,Mocs2A,FBab0029744
FBgn0037469,CG15144,FBab0029744
FBgn0034942,ItgaPS4,FBab0029744
FBgn0015391,CG11134,FBab0029744
FBgn0032691,lncRNA:CR45320,FBab0029744
FBgn0036679,CG6769,FBab0029744
FBgn0266070,CG42467,FBab0029744
FBgn0052126,AstC-R2,FBab0029744
FBgn0038039,CG30056,FBab0029744
FBgn0052232,lncRNA:enrr,FBab0029744
FBgn0003310,lncRNA:CR43239,FBab0029744
FBgn0000639,CG34025,FBab0029744
FBgn0264516,wkd,FBab0037839
FBgn0010228,asRNA:CR43889,FBab0037839
FBgn0065081,CG4854,FBab0037839
FBgn0031247,snoRNA:CD4b,FBab0037839
FBgn0266622,CG10953,FBab0037839
FBgn0286919,CR43211,FBab0037839
FBgn0020376,CG3815,FBab0037839
FBgn0286070,lncRNA:CR44711,FBab0037839
FBgn0034716,CG46428,FBab0037839
FBgn0037069,lncRNA:CR46143,FBab0037839
FBgn0032538,tud,FBab0037839
FBgn0250843,CG42826,FBab0037839
FBgn0035268,Elba1,FBab0037839
FBgn0038161,His1:CG33855,FBab0037839
FBgn0029824,lncRNA:CR43640,FBab0037839
FBgn0263290,lncRNA:CR44919,FBab0037839
FBgn0286198,AdoR,FBab0037839
FBgn0266591,sicily,FBab0037839
FBgn0051849,Qtzl,FBab0037839
FBgn0030937,CG14926,FBab0037839
FBgn0032582,Had1,FBab0037839
FBgn0266989,Ncc69,FBab0037839
FBgn0028537,gom,FBab0037839
FBgn0035348,5SrRNA:CR33443,FBab0037839
FBgn0037473,nSMase,FBab0037839
FBgn0266406,CG13049,FBab0038758
FBgn0050361,snoRNA:CD23,FBab0038758
FBgn0035171,CG7460,FBab0038758
FBgn0000543,lncRNA:CR44824,FBab0038758
FBgn0265816,CG17687,FBab0038758
FBgn0036732,CG16753,FBab0031910
FBgn0037739,Sec10,FBab0031910
FBgn0267400,Pdi,FBab0031910
FBgn0013751,Kdsr,FBab0031910
FBgn0032898,Osi17,FBab0031910
FBgn0025739,CG11836,FBab0031910
FBgn0261934,CG43880,FBab0031910
FBgn0261458,CG3942,FBab0031910
FBgn0033945,CG11670,FBab0031910
FBgn0288810,Ir48c,FBab0031910
FBgn0030268,CG30178,FBab0031910
FBgn0266881,CG6495,FBab0031910
FBgn0083986,hpRNA:CR18854,FBab0031910
FBgn0031643,CG5116,FBab0031910
FBgn0053542,Eig71Ei,FBab0031910
FBgn0262314,CG3679,FBab0031910
FBgn0262177,Osi23,FBab0031910
FBgn0002842,Gns,FBab0031910
FBgn0036969,CG14687,FBab0031910
FBgn0264262,CG13613,FBab0031910
FBgn0028940,Pgam5-2,FBab0031910
FBgn0004373,RhoBTB,FBab0031910
FBgn0033654,asRNA:CR44600,FBab0031910
FBgn0039663,tRNA:Val-AAC-2-3,FBab0031910
FBgn0265535,Nca,FBab0032709
FBgn0267929,CG14135,FBab0032709
FBgn0262963,Ugt303B2,FBab0032709
FBgn0033210,CG31510,FBab0032709
FBgn0032752,gogo,FBab0032709
FBgn0267141,kraken,FBab0032709
FBgn0267802,CG9498,FBab0032709
FBgn0051424,CG9447,FBab0032709
FBgn0285896,5SrRNA:CR33444,FBab0032709
FBgn0037779,CG9926,FBab0032709
FBgn0032407,Pif1,FBab0032709
FBgn0039755,asRNA:CR44873,FBab0032709
FBgn0061197,lncRNA:CR32690,FBab0032709
FBgn0289443,cuff,FBab0032709
FBgn0039482,sncRNA:254,FBab0032709
FBgn0030592,CG12974,FBab0032709
FBgn0052603,CG46460,FBab0032709
FBgn0267285,CG9123,FBab0032709
FBgn0031453,GluClalpha,FBab0032709
FBgn0035868,krimp,FBab0032709
FBgn0040958,CG1317,FBab0032709
FBgn0002899,Gr28a,FBab0032709
FBgn0036735,pcs,FBab0032709
FBgn0014189,lky,FBab0032709
FBgn0034009,CG32373,FBab0032709
FBgn0024995,SdicC,FBab0032709
FBgn0038150,lncRNA:CR45922,FBab0032709
FBgn0023512,CG34115,FBab0032709
FBgn0264704,Sulf1,FBab0032709
FBgn0085370,CG11068,FBab0032709
FBgn0266987,pbl,FBab0032709
FBgn0035298,CG43115,FBab0032709
FBgn0051706,lncRNA:CR45584,FBab0032709
FBgn0265832,Fpgs1,FBab0032709
FBgn0052671,tRNA:Lys-CTT-1-11,FBab0032709
FBgn0020391,lncRNA:CR46482,FBab0032709
FBgn0010422,Ir7c,FBab0032709
FBgn0063382,CG3603,FBab0032709
FBgn0267752,CG13102,FBab0032709
FBgn0033020,snoRNA:Psi28S-1837a,FBab0032709
FBgn0061362,lncRNA:CR43751,FBab0032709
FBgn0025682,CG15561,FBab0032709
FBgn0032819,Dbp73D,FBab0032709
FBgn0259175,scpr-B,FBab0032709
FBgn0036460,Adgf-A2,FBab0032709
FBgn0058160,lncRNA:CR45102,FBab0032709
FBgn0085209,Ir11a,FBab0032709
FBgn0265881,CG4617,FBab0032709
FBgn0013765,Pss,FBab0032709
FBgn0034301,mst,FBab0032709
FBgn0284084,CG9287,FBab0032709
FBgn0083970,UQCR-11L,FBab0032709
FBgn0027334,Arr2,FBab0032709
FBgn0053901,lncRNA:CR43484,FBab0032709
FBgn0034844,CG18180,FBab0032709
FBgn0262297,Cpr92F,FBab0032709
FBgn0033928,CR18275,FBab0032709
FBgn0267072,CG6686,FBab0032709
FBgn0263708,spz4,FBab0032709
FBgn0032817,CG13126,FBab0032709
FBgn0032189,CG5554,FBab0032709
FBgn0266863,Nipsnap,FBab0032709
FBgn0043841,kst,FBab0032709
FBgn0005771,CG42362,FBab0032709
FBgn0030880,trp,FBab0032709
FBgn0035469,CG15128,FBab0032709
FBgn0030364,Gapdh3,FBab0037999
FBgn0053859,Hou,FBab0037999
FBgn0035379,Obp50c,FBab0037999
FBgn0262631,Sec8,FBab0037999
FBgn0030744,lncRNA:CR44550,FBab0037999
FBgn0265511,lncRNA:CR46131,FBab0037999
FBgn0039118,Naxd,FBab0037999
FBgn0261999,AQP,FBab0037999
FBgn0262362,Rep,FBab0037999
FBgn0262189,Nav,FBab0037999
FBgn0035741,His-Psi:CR33867,FBab0037999
FBgn0053445,Or45b,FBab0037999
FBgn0023509,CG43901,FBab0037999
FBgn0053744,RpS10a,FBab0037999
FBgn0034168,CG31793,FBab0037999
FBgn0014143,asRNA:CR45056,FBab0037999
FBgn0039425,CG11112,FBab0037999
FBgn0026404,lncRNA:CR45630,FBab0037999
FBgn0000108,COX7AL2,FBab0037999
FBgn0010278,gNacalpha,FBab0037999
FBgn0033244,mahj,FBab0037999
FBgn0031765,CG4363,FBab0037999
FBgn0265371,SecS,FBab0037999
FBgn0011861,CG15040,FBab0037999
FBgn0050440,CG43702,FBab0037999
FBgn0265974,Pep,FBab0037999
FBgn0015777,CG43249,FBab0037999
FBgn0037901,Sec22,FBab0037999
FBgn0053143,Pxn,FBab0037999
FBgn0266402,CG7653,FBab0037999
FBgn0011668,lncRNA:CR44929,FBab0037999
FBgn0050240,ppk7,FBab0037999
FBgn0266152,CR46404,FBab0037999
FBgn0053403,CG42284,FBab0037999
FBgn0026390,Lipt2,FBab0037999
FBgn0029837,rdx,FBab0037999
FBgn0030792,dysf,FBab0037999
FBgn0037364,Gba1b,FBab0037999
FBgn0265920,CG4502,FBab0037999
FBgn0029672,CG3984,FBab0037999
FBgn0085407,CG30161,FBab0037999
FBgn0035583,CG3123,FBab0037999
FBgn0023091,CG11437,FBab0037999
FBgn0262730,lncRNA:CR45665,FBab0037999
FBgn0014368,Nedd4,FBab0037999
FBgn0050073,CG42507,FBab0037999
FBgn0000715,CG13868,FBab0037999
FBgn0259993,YL-1,FBab0037999
FBgn0053505,mEFTu2,FBab0037999
FBgn0035194,HmgD,FBab0037999
FBgn0020309,Pop1,FBab0037999
FBgn0029686,BomS5,FBab0037999
FBgn0040351,Gdh,FBab0037999
FBgn0027507,CG13044,FBab0037999
FBgn0050199,lncRNA:CR46532,FBab0037999
FBgn0266328,tau,FBab0037999
FBgn0036824,CG14258,FBab0038007
FBgn0003719,CG8209,FBab0038007
FBgn0032078,lncRNA:CR45585,FBab0038007
FBgn0028387,lncRNA:CR44061,FBab0038007
FBgn0001098,mus302,FBab0038007
FBgn0031858,NimB5,FBab0038007
FBgn0029091,CG17329,FBab0038007
FBgn0036306,U4-U6-60K,FBab0038007
FBgn0260482,CG10950,FBab0038007
FBgn0033542,CG34425,FBab0038007
FBgn0033100,BI-1,FBab0038007
FBgn0083018,CG42853,FBab0038007
FBgn0262988,nopo,FBab0038007
FBgn0054002,lncRNA:CR43363,FBab0038007
FBgn0036193,asRNA:CR44207,FBab0038007
FBgn0259969,snoRNA:CD67,FBab0038007
FBgn0286813,CG12017,FBab0038007
FBgn0034103,CG6034,FBab0038007
FBgn0054005,Tom20,FBab0038007
FBgn0033526,Grx5,FBab0038007
FBgn0263219,CG34253,FBab0038007
FBgn0036973,tRNA:iMet-CAT-1-4,FBab0038007
FBgn0033031,CG5334,FBab0038007
FBgn0035568,CG34185,FBab0029795
FBgn0265453,CG8360,FBab0029795
FBgn0267947,sls,FBab0029795
FBgn0265864,CG14036,FBab0029795
FBgn0263208,scaRNA:MeU2-C28,FBab0029795
FBgn0261357,CG44198,FBab0029795
FBgn0025455,CG42465,FBab0029795
FBgn0041720,Ak3,FBab0029795
FBgn0265880,tRNA:Glu-CTC-3-8,FBab0029795
FBgn0053879,CG5402,FBab0029795
FBgn0036359,CG13724,FBab0029795
FBgn0263257,CG6938,FBab0029795
FBgn0033649,lncRNA:CR44798,FBab0029795
FBgn0051104,CG43679,FBab0029795
FBgn0262568,CG6983,FBab0029795
FBgn0011762,CG17047,FBab0029795
FBgn0033137,TTLL3B,FBab0029795
FBgn0041210,Ets97D,FBab0029795
FBgn0001133,lncRNA:CR45730,FBab0029795
FBgn0285910,CG12540,FBab0029795
FBgn0012017,CR10991,FBab0029795
FBgn0027836,CG5913,FBab0029795
FBgn0053766,dbe,FBab0029795
FBgn0267633,CG42258,FBab0029795
FBgn0033076,CG14262,FBab0029795
FBgn0040725,elm,FBab0029795
FBgn0037783,CG5644,FBab0029795
FBgn0267026,d-cup,FBab0029795
FBgn0035829,lncRNA:CR44665,FBab0029795
FBgn0266960,asRNA:CR43637,FBab0029795
FBgn0264556,CG13725,FBab0029795
FBgn0014849,CG13004,FBab0029795
FBgn0011708,CG12895,FBab0029795
FBgn0014031,MED8,FBab0029795
FBgn0264885,CG13893,FBab0029795
FBgn0051459,CG33770,FBab0029795
FBgn0053983,v,FBab0029795
FBgn0029912,CG5934,FBab0029795
FBgn0264367,CG32428,FBab0029795
FBgn0013300,Amyrel,FBab0029795
FBgn0287212,Cks30A,FBab0029795
FBgn0029152,Sec16,FBab0029795
FBgn0022344,CG15743,FBab0029795
FBgn0087040,Argk2,FBab0029795
FBgn0052579,Paf-AHalpha,FBab0029795
FBgn0051865,Myd88,FBab0029795
FBgn0031774,CG43350,FBab0029795
FBgn0029868,CG4598,FBab0029795
FBgn0267917,Grl62c,FBab0029795
FBgn0036032,CG3492,FBab0029795
FBgn0063261,Gr98a,FBab0029795
FBgn0265089,CG43120,FBab0029795
FBgn0266417,CG32391,FBab0029795
FBgn0031235,Cln3,FBab0029795
FBgn0262616,CG3491,FBab0029795
FBgn0265648,CG3906,FBab0029795
FBgn0267244,tRNA:Tyr-GTA-1-9,FBab0029795
FBgn0038590,CG13728,FBab0029795
FBgn0031609,snRNA:U4:25F,FBab0029795
FBgn0053866,CR31700,FBab0029795
FBgn0020300,snoRNA:CD63a,FBab0029795
FBgn0004514,ppk17,FBab0029795
FBgn0031403,CG11425,FBab0029795
FBgn0262599,lncRNA:CR46480,FBab0029795
FBgn0034710,mir-4939,FBab0029795
FBgn0287667,CG13097,FBab0035953
FBgn0053177,Tektin-C,FBab0035953
FBgn0085464,CG4942,FBab0035953
FBgn0023479,CR46420,FBab0035953
FBgn0039160,Grl36b,FBab0035953
FBgn0260463,CG14118,FBab0035953
FBgn0050251,sna,FBab0035953
FBgn0014020,scaRNA:PsiU6-40,FBab0035953
FBgn0037751,tRNA:Ile-AAT-1-5,FBab0035953
FBgn0040079,fdl,FBab0035953
FBgn0067629,egh,FBab0035953
FBgn0262882,slo,FBab0035953
FBgn0265145,Fadd,FBab0035953
FBgn0036948,RpS19a,FBab0035953
FBgn0024836,CG5708,FBab0035953
FBgn0034639,eIF2Balpha,FBab0035953
FBgn0263379,CG44477,FBab0035953
FBgn0262896,lncRNA:CR45687,FBab0035953
FBgn0028500,His2B:CG33886,FBab0035953
FBgn0037057,Hacd1,FBab0035953
FBgn0266773,CG31087,FBab0035953
FBgn0033278,CG34427,FBab0035953
FBgn0050462,CG45062,FBab0035953
FBgn0011455,ppk16,FBab0035953
FBgn0265821,fd96Cb,FBab0035953
FBgn0063667,lncRNA:CR44492,FBab0035953
FBgn0037931,lncRNA:CR45278,FBab0035953
FBgn0023388,Polr2D,FBab0035953
FBgn0024994,CG15136,FBab0035953
FBgn0033753,CG14107,FBab0035953
FBgn0045482,Smn,FBab0035953
FBgn0037184,Mpcp1,FBab0035953
FBgn0029729,Mcm3,FBab0035953
FBgn0051824,CG32453,FBab0035953
FBgn0027506,Nsf2,FBab0035953
FBgn0028980,lncRNA:CR44230,FBab0035953
FBgn0265383,TotM,FBab0035953
FBgn0037070,Wdr24,FBab0035953
FBgn0265591,chm,FBab0035953
FBgn0016974,CG8997,FBab0035953
FBgn0264078,Or30a,FBab0035953
FBgn0266787,Polr2G,FBab0035953
FBgn0264489,lncRNA:CR44418,FBab0035953
FBgn0065059,alpha-Est4,FBab0035953
FBgn0037232,Ziz,FBab0035953
FBgn0266040,MtnA,FBab0035953
FBgn0037051,gas,FBab0035953
FBgn0050277,Snx3,FBab0035953
FBgn0086778,Jon74E,FBab0035953
FBgn0034914,CG32486,FBab0035953
FBgn0037003,CG42568,FBab0035953
FBgn0041224,CG43220,FBab0035953
FBgn0033979,CG43829,FBab0035953
FBgn0085376,asp,FBab0035953
FBgn0040496,snoRNA:CD56b,FBab0035953
FBgn0037761,CG7906,FBab0035953
FBgn0264599,Jhbp3,FBab0035953
FBgn0265541,CG6067,FBab0035953
FBgn0052141,CG42361,FBab0035953
FBgn0263518,lncRNA:CR45243,FBab0035953
FBgn0262512,CG32249,FBab0035953
FBgn0260761,Xpd,FBab0035953
FBgn0034902,Met75Ca,FBab0035953
FBgn0031143,CG42502,FBab0035953
FBgn0031546,CG3257,FBab0035953
FBgn0265194,CG14731,FBab0035953
FBgn0263143,Inx6,FBab0035953
FBgn0014009,Prosalpha7,FBab0035953
FBgn0015618,CG30357,FBab0035953
FBgn0034565,lncRNA:CR43838,FBab0035953
FBgn0038033,CG7246,FBab0035953
FBgn0053965,CG12012,FBab0035953
FBgn0029503,RpS25,FBab0035953
FBgn0042173,ScsbetaG,FBab0035953
FBgn0030645,Cad86C,FBab0035953
FBgn0051225,Icmt,FBab0035953
FBgn0033906,fidipidine,FBab0035953
FBgn0029937,CG18273,FBab0035953
FBgn0267047,Tdc2,FBab0035953
FBgn0262330,CG1572,FBab0035953
FBgn0262211,Dolk,FBab0035953
FBgn0053795,asRNA:CR43471,FBab0035953
FBgn0032955,ccb,FBab0035953
FBgn0015831,Ip259,FBab0035953
FBgn0032634,AsnRS-m,FBab0035953
FBgn0033605,ckd,FBab0035953
FBgn0053640,GluRIID,FBab0035953
FBgn0036516,PPO1,FBab0035953
FBgn0004404,COX7B,FBab0035953
FBgn0035082,CG16926,FBab0035953
FBgn0035638,beat-Ia,FBab0035953
FBgn0036639,CG15145,FBab0035953
FBgn0038564,lncRNA:CR45329,FBab0035953
FBgn0003416,CG14752,FBab0035953
FBgn0261707,CG14454,FBab0045193
FBgn0033999,CG14423,FBab0045193
FBgn0265539,prel,FBab0045193
FBgn0053374,Sin3A,FBab0045193
FBgn0033196,BG642167,FBab0045193
FBgn0052803,tRNA:Ser-AGA-3-2,FBab0045193
FBgn0004868,CG31344,FBab0045193
FBgn0260722,fd59A,FBab0045193
FBgn0052551,VGAT,FBab0045193
FBgn0265548,stl,FBab0045193
FBgn0051201,CG7924,FBab0045193
FBgn0029535,CG44314,FBab0045193
FBgn0261814,CG34312,FBab0045193
FBgn0053892,asRNA:CR46261,FBab0045193
FBgn0032554,rumpel,FBab0045193
FBgn0016684,CG5888,FBab0045193
FBgn0030926,mTTF,FBab0045193
FBgn0035410,spdi,FBab0045193
FBgn0053196,CG5439,FBab0045193
FBgn0035571,snoRNA:Edc3-a,FBab0045193
FBgn0266942,mir-193,FBab0045193
FBgn0035264,ena,FBab0045193
FBgn0262379,CG9168,FBab0045193
FBgn0052633,lncRNA:CR44582,FBab0045193
FBgn0030012,boi,FBab0045193
FBgn0037842,CG43219,FBab0045193
FBgn0085198,CG18128,FBab0045193
FBgn0035166,lobo,FBab0045193
FBgn0003943,tRNA:iMet-CAT-1-3,FBab0045193
FBgn0002571,CR34311,FBab0045193
FBgn0029502,lncRNA:Yu,FBab0045193
FBgn0035035,RacGAP84C,FBab0045193
FBgn0004636,CG14070,FBab0045193
FBgn0026391,CG33704,FBab0045193
FBgn0266862,Arf1,FBab0045193
FBgn0264948,Nup205,FBab0045193
FBgn0016053,EMC2A,FBab0045193
FBgn0052816,alpha-Est6,FBab0045193
FBgn0259243,CG5768,FBab0045193
FBgn0028526,lncRNA:CR44262,FBab0045193
FBgn0029949,Poxn,FBab0045193
FBgn0265588,alphaTub67C,FBab0045193
FBgn0052591,CG42340,FBab0045193
FBgn0031662,raw,FBab0045193
FBgn0033097,snoRNA:CD2c,FBab0045193
FBgn0267306,CG46427,FBab0045193
FBgn0026439,ICA69,FBab0045193
FBgn0283433,mir-959,FBab0045193
FBgn0039309,Rnp4F,FBab0045193
FBgn0053426,lncRNA:CR43298,FBab0045193
FBgn0033185,CG17010,FBab0045193
FBgn0053408,Tsp42En,FBab0045193
FBgn0265943,Sema1b,FBab0045889
FBgn0013467,lncRNA:CR44899,FBab0045889
FBgn0033499,CG5746,FBab0045889
FBgn0037447,CG31676,FBab0045889
FBgn0262359,Spn42Dd,FBab0045889
FBgn0058045,TfIIFalpha,FBab0045889
