Name,Genotype,Sex,Age,Branchpoints
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,10
WTF21,w;ok371>uas mcd8RFP;dSod1WT/dSod1WT,F,21,20
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,14
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,14
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,11
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,9
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,15
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,12
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,12
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,13
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,12
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,11
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,8
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,11
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,13
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,12
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,18
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,14
WtsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1WT/dSod1WT,F,21,15
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,14
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,9
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,16
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,9
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,9
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,11
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,11
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,16
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,12
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,10
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,15
A4VF21,w;ok371>uas mcd8RFP;dSod1A4V/dSod1A4V,F,21,13
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,16
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,11
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,12
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,18
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,9
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,17
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,14
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,12
A4VsaxF21,w;ok371>uas mcd8RFP/uas SaxA;dSod1A4V/dSod1A4V,F,21,11
