"","KEGG","GRxWT.C","GRxWT.Df","GRxWT.OE","GR.CxDf","WT.CxDf","GR.CxOE","WT.CxOE"
"3-ureidopropionic acid","C02642",1.0760527975267,0.904540768586334,0.45701440021694,0.835696701746277,0.994155050858923,0.602400750645045,1.4183689018466
"4-hydroxybutanoic acid","C00989",1.14374274086612,0.719449447550427,0.480808898303135,0.923691299372874,1.4684356518112,0.489516074908943,1.16445527358229
"4-hydroxyphenylpyruvic acid","C01179",1.06456598397577,1.02653128916355,1.49676681884671,1.3320655636471,1.38142081245249,1.53592455173617,1.09241667515815
"4-hydroxyproline / 5-aminolevulinate","C01157 / C00430",1.15275871962095,1.82408738602857,1.35806830670661,1.10181886817177,0.696310559163091,1.15855043493766,0.983403492592924
"5-aminopentanoic acid","C00431",NA,NA,NA,NA,NA,NA,NA
"5'-deoxyadenosine","C05198",1.31610207506112,2.06645741631613,1.95854060632789,1.12855501455943,0.718763224809218,0.863239559591721,0.580080582441248
"5-HIAA","C05635",1.58783076726677,1.147979651129,0.331704280720938,0.86155775497044,1.19166564474724,0.774429321743268,3.70710532123645
"5-methylcytosine","C02376",0.776876941161198,0.922664714626791,0.799606413296496,1.30762484083232,1.10101055175077,1.05436653832795,1.0243952994099
"5-methyl-THF","C00440",NA,NA,NA,NA,NA,NA,NA
"5'-methylthioadenosine","C00170",0.6356235847862,1.35453376992955,0.502540300537174,1.41750321347108,0.665172396579897,0.890260073034977,1.12601974092356
"6-aminohexanoate","C02378",1.59112086731654,0.792332047642373,1.02086195979465,0.444824463252035,0.893273833715547,0.872541187954766,1.35994732532423
"6-O-methylguanine","n/a",NA,NA,NA,NA,NA,NA,NA
"6-phosphogluconic acid","C00345",0.50403071582064,1.26272705451569,1.45198464323554,1.52975288450793,0.610616869773928,1.16767733470828,0.405338476272765
"6-phosphoglucono-D-lactone","C01236",NA,0.495715143084775,3.58383347775458,NA,2.06555770537154,NA,0.809285790291338
"acetoacetic acid","C00164",1.58166566111941,0.98880904125726,0.603234341766069,0.651184034390069,1.04161206389698,0.939801879346677,2.4641374966589
"acetoin -","C00466",0.502301816687058,0.965664172266439,1.09748272009878,1.78811930204582,0.930111730005232,1.68267065414157,0.770133789792367
"acetylcarnitine+","C02571",0.732146663718651,0.622732580586395,0.455980980368584,1.07501336757867,1.26389316226965,0.848123454117225,1.36179091691836
"acetylcholine+","C01996",3.05177811977137,0.340477938164158,0.450804791775115,0.365582910574537,3.27679947038387,0.199171727109313,1.3483173425816
"acetyl-CoA","C00024",NA,NA,NA,NA,NA,NA,NA
"aconitic acid","C00417-C02341",0.914241623962859,1.13600717256514,1.2618655448796,1.12110279604308,0.902246804101893,1.30261141130692,0.943762651178036
"acrylic acid","C00511",1.41202051133877,1.28394682577066,1.27982149527045,0.890076334823623,0.978861442080222,0.934252853954998,1.03075639644768
"adenine","C00147",2.16827599064867,1.15125883762127,1.02953038104227,0.669805631985192,1.26150907404589,0.644163903933188,1.35666237020304
"adenosine","C00212",1.14217784824309,0.848656343344701,0.737441910808915,0.975910036390209,1.31344428658829,0.799614033515941,1.23847237706411
"adenylosuccinate","C03794",0.432920860219905,1.5309717109168,2.20283859105113,1.70327797874756,0.481644802771334,1.15936666549149,0.227848747599505
"ADP / dGDP","C00008 / C00361",0.618473831445507,0.891651311503279,1.07891208738191,1.23927817571258,0.859597369141466,1.22446300817802,0.701909207420978
"ADP-D-glucose","C00498",0.58351547514836,0.634456473616224,0.92922373348198,1.25135266458519,1.15088059625549,0.999364365917708,0.627560997220396
"agmatine","C00179",1.21943772583782,0.76418767711924,1.04448318517673,1.30204465505596,2.07771260992604,1.7076374664026,1.99367263938587
"AICA ribonucleotide","C04677",0.385989593093494,0.462583736837551,1.31599871212225,0.485211844350962,0.404870961624279,1.68480684414432,0.494163027837361
"a-KG","C00026",0.811195701569952,1.46444751378931,1.62927857461064,1.63657786235956,0.906543194433401,1.27942735353298,0.637009524233753
"alanine","C00041",0.956666282585173,0.891485964130614,0.724639740835292,1.08882970322121,1.16843865911537,0.83063765553066,1.09660427563053
"alanine methyl ester","n/a",NA,NA,NA,NA,NA,NA,NA
"allantoin","C01551",0.845822450011522,0.861922771398791,0.930245831417408,0.875923610443461,0.859561759815069,0.760642834974677,0.691611576782554
"AMP / dGMP","C00020 / C00362",0.80515592384212,0.83013935821265,1.14942292567393,1.03488988636647,1.00374438856423,1.25028575464962,0.875809033703863
"anandamide","C11695",NA,NA,NA,NA,NA,NA,NA
"arginine","C02385",0.80315947234281,0.948863826403207,1.06211634405447,0.987131418786083,0.835550821291758,1.02318178149938,0.773717629278544
"ascorbic acid","C00072",1.58852113449375,5.05061913182934,1.67256290498961,1.8523124780501,0.582589469185202,1.16668328355218,1.10806059829164
"asparagine","C16438",1.25401521395667,1.46285269683732,1.15538113085145,1.15125466035074,0.986901047753889,0.793508289894287,0.861249540396139
"aspartic acid","C16433",0.853128377240174,0.856374389559039,0.784152473878408,1.16366415862641,1.15925339127982,0.911714481825793,0.991911040641586
"ATP / dGTP","C00002 / C00286",0.500120671011317,0.990867463076052,1.42424007944222,1.14630942021676,0.578576911432401,1.33104093400679,0.467393871768942
"b-alanine","C00099",0.724415144927563,0.63829434175173,0.611583912782788,0.97659200872105,1.10835706234089,0.96692826121056,1.1453170396393
"betaine+","C00719",0.887761659087759,0.747692630483586,1.10506505442023,1.0393744285407,1.23408567835944,1.20507962377613,0.96810905553214
"bilirubin","C00486",NA,NA,NA,NA,NA,NA,NA
"biotin","C00120",0.796575012545693,0.687900160067733,0.59133523009413,0.888315186872265,1.02865171750742,0.792994504517248,1.06822589833509
"butyric acid","C00246",0.730446289618485,0.992246548287584,1.08920416686599,1.15919989330914,0.853349666426246,1.31011898326172,0.878597033865375
"butyric acid(iso)","C02632",1.08685257263991,1.40811948208326,1.39490154857986,1.05000561175737,0.810443513455601,1.17667429101943,0.916818453356599
"caffeic acid","C01197 / C01481",0.777514685738004,0.550550955361284,1.34816215127803,1.00485510896843,1.41910498320562,1.29773126184017,0.748430085554272
"cAMP(2',3') / cAMP(3',5')","C02353 / C00575",0.843044068702658,1.10761276120023,0.902183850812374,0.853069120113672,0.649301711841883,0.937991288617474,0.876504264238021
"carbamoyl phosphate","C00169",0.864302567975962,0.79272177053994,0.961594722978743,0.917291956376106,1.00012113069578,1.10798045897897,0.995877299530355
"carnitine+","C00487",0.98266556421359,0.852293862329861,0.859132186149936,1.00233915933175,1.15566264063614,0.961068356583259,1.09925898958801
"cCMP(2',3'-)","C02354",1.19923623788295,0.696232353787145,0.808035095416644,0.739530450529428,1.27381571750964,0.845141753168211,1.25430766843691
"CDP","C00112",0.262221353850438,0.715903012425848,0.489370181029056,1.42576546661152,0.522230168666596,0.885187317890461,0.474313772899647
"CDP-choline+","C00307",0.487440741294292,1.0677675270646,0.885752762415548,1.66770768153598,0.761316155385295,1.14226685359604,0.628603630153328
"cGMP","C00943",0.823397261822715,1.00416245019948,0.841764488303476,0.844792623828169,0.692716535188062,0.874499278137077,0.855417781445314
"choline+","C00114",0.969750221637756,0.995344658753605,0.979337784702389,1.05985909815861,1.03260572737803,1.04126518131842,1.03107135876931
"citraconic acid","C02226",0.973111788701303,0.713951796603247,0.57908513994429,0.524497602548858,0.714886918996714,0.623227976241427,1.04729071581311
"citramalic acid","C00815",0.672155674314426,0.755539412245478,0.695344049895519,1.10909677082606,0.98669331578474,1.08394197012229,1.04779460751082
"citrate / citrate(iso)","C00158 / C00311",0.636487871348613,1.09899044771537,1.35898762951565,1.3896420627285,0.804820751883039,1.15976778557193,0.543182375663321
"citrulline","C00327",2.09943410600476,0.731981691856224,0.724602916766799,0.630953818896217,1.80967089948044,0.434240424685817,1.2581499973244
"CMP","C00055",0.616277461251317,0.665633193179613,0.831633031676065,1.30262720884112,1.20603929829094,1.09489734232675,0.811368150084223
"Coenzyme A +","C00010",NA,0.821548938919905,NA,NA,1.49263760378378,NA,NA
"cortisol","C00735",NA,NA,NA,NA,NA,NA,NA
"creatine","C00300",0.836474865141277,1.15581512467744,0.348097007363455,1.41364637169622,1.02306989489522,0.695150784947612,1.67044285584672
"creatinine","C00791",NA,NA,NA,NA,NA,NA,NA
"CTP","C00063",NA,NA,NA,NA,0.0637050536680187,NA,NA
"cystathionine","C00542",0.575047232881786,0.765322670353238,1.02087263508837,1.04206352982467,0.782984448946379,0.911657680691904,0.513527553387625
"cysteine","C00736-C00097",2.24426170188633,1.78528309935505,2.06602476172702,0.787527130242187,0.989992555375383,0.856481425516002,0.930370486003179
"cysteine-S-sulfate","C05824",NA,NA,NA,0.55514991269469,NA,NA,NA
"cystine","C01420",1.03416686365051,0.87862962407334,0.599904770190051,0.815125535088537,0.95942112012557,0.8411069626168,1.4499717167584
"cytidine","C00475",0.58741346747533,0.576067398769541,0.634733862103201,0.916999864283792,0.935060847227083,0.939890639618202,0.869820333574652
"cytosine","C00380",1.11193539306626,0.675578531340933,0.82575179626736,0.851038450605814,1.40072505295661,0.784070428047047,1.0558083718898
"dADP","C00206",10.6449541610072,17.1134587969412,6.04087047024494,1.84275262264373,1.14623334948657,0.647100268314221,1.1402914079535
"dAMP","C00360",12.5731593000811,11.7916412597805,7.33392312185114,1.49673165057616,1.59593096987735,1.18783649503155,2.03640769426446
"D-arabinono-1,4-lactone","C00652",0.836681476916515,1.15680207894158,1.17894283999759,1.62846194268498,1.1778194110393,1.34852329551876,0.957030675510328
"dATP","C00131",NA,NA,NA,NA,NA,NA,NA
"dCDP","C00705",NA,NA,NA,NA,NA,NA,NA
"dCMP","C00239",0.371616623160549,0.707494466637463,0.735762576171601,2.01310494392663,1.05739803858164,1.09113436040149,0.551106674297984
"dCTP","C00458",NA,NA,NA,NA,NA,NA,NA
"dehydroascorbic acid","C05422",1.17193265714638,1.59877804261008,0.774130437495613,1.61265284353676,1.18210313227427,0.900700731838655,1.36354359786214
"deoxyadenosine","C00559",1.23703889207651,3.66065954140143,2.07614384023588,1.07134075184801,0.362035901376152,0.963746562221013,0.574233806188004
"deoxycarnitine+","C01181",0.324947610216854,0.254878984898534,0.209783223017886,0.882331496447683,1.12489270664615,0.627648124534118,0.972207191740321
"deoxycytidine","C00881",0.93434080502128,1.27264025722548,1.54184852421353,0.932236176085541,0.684424600187231,1.04329771570578,0.632225288192061
"deoxyguanosine","C00330",14.7174158315962,NA,NA,1.23396948891879,NA,1.24950534379605,NA
"deoxyinosine","C05512",36.0885181634192,45.8814242509692,24.7958920755089,1.61337832663265,1.26901973937567,1.07511920905417,1.56475350778425
"deoxyuridine","C00526",4.60908118538466,2.661257043354,1.40708604436191,0.0419710820775163,0.0726905073738807,0.216592929765488,0.709476439958695
"D-erythrose-4-phosphate","C00279",0.500523245792987,0.892996980862226,1.28390887010029,1.38995369062158,0.779066612364271,1.10982092232343,0.432656229134779
"D-galactonic acid / D-gluconic acid","C00880 / C00257",0.870069518645627,1.14932868985031,1.38719992458158,1.04333482969285,0.789829611906149,1.27327932644948,0.798617063794525
"D-galactosamine/glucosamine-1/6-phosphate","C03783 / C00352 / C06377 / C06156",0.733587686830517,0.939042216198121,1.2599605697364,1.35552418200531,1.05894690565254,1.28610546252642,0.748810045279616
"D-glucuronolactone","C02670",0.674302449508824,1.50539974342716,0.500354119026139,1.26568349792042,0.566928144286566,0.871857039531514,1.17495852441838
"dihydroorotate","C00337",1.84573719085772,3.10459516500952,1.72572129312872,0.966681313350842,0.57470927993066,0.490389144224204,0.524493430712969
"dimethylglycine","C01026",0.780937831692162,0.89437880979182,0.816351469429228,1.13481404479017,0.99087680724293,0.838888182751936,0.802496893805456
"DL-DOPA","C00355",1.42102506810913,1.36106618825888,2.24273028564196,1.06954455373333,1.11666106720269,1.00849200955596,0.638994548627398
"DOPAC","C01161",NA,NA,NA,NA,NA,NA,NA
"dopamine","C03758",1.61623214070176,2.06769593173322,0.967386319463807,0.928941971052349,0.726115405761398,0.696910831977496,1.16434320310582
"D-ribose-1/5-phosphate / D-ribulose 5-phosphate","C00620 / C00117 / C00199",0.582347219067934,0.874640141034722,0.857468426604644,1.79465561012899,1.19490594441148,1.24846806989067,0.847893503758318
"D-sedoheptulose","C02076",0.92742733662184,1.09631208709103,1.6965282451437,1.35552914835384,1.14671251240768,1.69778813619715,0.928116071046086
"D-sedoheptulose-7-phosphate","C05382",0.486115042364489,0.927679358976753,1.61990479817378,1.51007421175611,0.791296887570113,1.87867937306563,0.563770354934843
"dTMP","C00364",1.18976011521629,0.885779296093193,1.61962441665203,1.03724596369204,1.39320695653292,0.973290860556565,0.714969862450232
"dTTP","C00459",NA,NA,NA,NA,NA,NA,NA
"dUMP","C00366",NA,NA,NA,NA,NA,NA,NA
"dUTP","C00460",NA,NA,NA,NA,NA,NA,NA
"epinephrine / normetanephrine","C00788 / C05589",1.11106023691932,0.901482448108033,0.707876092671399,0.988762073053093,1.218630740342,0.922444512192219,1.4478401359671
"ethyl acetate","C00849",0.631406007728373,1.97876074394894,0.608503071591834,1.96455874174119,0.626874267575774,0.784834049125085,0.814373758855507
"F-1,6/2,6-DP","C00354 / C00665",0.365808508337199,0.856351967015063,0.464923239718319,1.4928559330256,0.637704382143175,0.879143447856672,0.691723118572685
"F1P","C01094",2.32308498672028,3.41259575512522,3.53654971416547,1.15053171881302,0.783211125638273,0.841426138390773,0.552715100172396
"F6P / G1P / G6P","C00085 / C00103 / C00092",0.554666297604436,0.903461774441501,1.28950740593816,1.40642920297627,0.863455323652012,1.23380614046068,0.530707059718709
"FAD","C00016",0.894423755184481,1.03713058840215,0.964793142677352,1.31756703973531,1.13627278239179,1.06278618469787,0.985269451270912
"FMN","C00061",0.832882954390598,0.489807686011937,1.05536979236132,0.721444851216121,1.22676539440037,1.42184848285651,1.12210276783427
"folate","C00504",NA,NA,NA,NA,NA,NA,NA
"fructose / mannose","C00095 / C00159",0.870486477092426,1.00880857703552,1.03733934300253,1.04099711680216,0.898261507184414,1.13421501467003,0.951779992772374
"fumaric acid","C00122",1.13658995525592,1.24159498702418,0.928125957779728,1.62138931987407,1.48426405855987,0.966666313059954,1.18378676115961
"GABA","C00334",1.19671015276084,1.07589644249458,0.819867888972869,0.883474581728967,0.982681008973143,0.738112716199881,1.07737721313233
"galactosamine / glucosamine / mannosamine","C02262 / C00329 / C03570",1.25736735422414,0.967314919185235,0.916320015044026,0.696148097378637,0.904890304066046,0.814259053058675,1.11732007856257
"galactose / glucose","C00124 / C00267",1.22737053002191,1.18909595340516,1.21462603994881,0.947640605792024,0.978143226600428,0.991929197034324,1.00233703565217
"GalNAC / GlcNAC","C01074 / C00140",1.20047047988048,0.945744660884754,0.739779217617117,0.793987616557222,1.00783936139371,0.849223882322188,1.37807088555564
"GAP / DHAP","C00118 / C00111",0.698116102804003,1.20027558059964,0.822530169407612,1.41898924173311,0.825326496157348,1.13357663362385,0.962114377233246
"GDP","C00035",0.585778873658509,0.990608033025763,1.20873624720287,1.18114636930168,0.698450413047864,1.08151024388179,0.524122490723062
"GDP-L-fucose","C00325",0.497933104982038,0.601211344869647,0.958576341895105,1.33317253963137,1.10415538196367,1.00713446774854,0.523156655075614
"geranyl-PP","C00341",NA,NA,NA,NA,NA,NA,NA
"glucono-lactone","C00198",0.759037267944316,1.13402433147765,1.27138419477772,0.911451221778257,0.610062258842027,1.39581365958623,0.833323704261494
"glutaconic acid","C02214",0.810870945766664,1.12936995231723,1.27082734509051,0.896953433108457,0.643999317602719,1.40058896591664,0.893667344986419
"glutamate","C00302",0.656610837670069,0.859543334765302,0.842616749768695,1.31918106005587,1.00773113564808,0.990205074621692,0.771619343777561
"glutamine","C00303",1.41652104535505,1.59984333653387,1.0922672443186,1.27427407888658,1.12825800443933,0.89213028707545,1.15697081773186
"glutathione","C00051",1.07268320078234,1.1271235504039,1.23275806738219,1.19313180021812,1.13550323560762,1.28089578942954,1.11457019153128
"glutathione disulfide","C00127",0.71846931581016,0.864653529782703,0.860851069811311,1.2265926922459,1.01921657868803,1.05168313198369,0.877738422804104
"glyceraldehyde","C02426",1.01915614719733,1.23615715594679,1.97035447352754,0.904789490731992,0.745958365376924,1.30157842850296,0.67323503171151
"glyceric acid","C00258",0.945443088352805,0.874052896065808,0.697570640671356,1.14361319785449,1.23702032054038,0.808609373413997,1.09593795767521
"glycerol 2/3-phosphate","C02979 / C00093",0.817235919435954,0.795488549738345,0.788422935140526,1.20427207872642,1.23719492861682,0.909441775780371,0.942677404064695
"glycine","C00037",1.33060594426454,1.32805892159389,1.05614980031395,1.02204704578526,1.02400718245824,0.916171719638239,1.15425248932995
"glycylglycine","C02037",1.27771499864878,0.642985578188742,0.640734066935412,0.693550367821033,1.37819530848511,0.683737194322154,1.36346936022604
"glyoxylic acid","C00048",1.23640320600896,1.65625413470596,1.20932544659849,1.00411705291469,0.749579136086137,0.979168091810902,1.00109244483517
"GMP","C00144",1.04273907616231,1.0013073837813,1.71766563320726,0.927687247712864,0.966072715847409,1.14275945346287,0.693732187302737
"GTP","C00044",0.135069718282492,2.3461160412019,1.7098221499258,2.68347066924988,0.154491773190055,1.96227239582282,0.155012367636483
"guanidine","C17349",0.843185355710901,0.802446175188483,0.332644899048483,1.11799973500124,1.17475917187877,0.640763489077109,1.62420163967491
"guanidinoacetate","C00581",NA,NA,NA,NA,NA,NA,NA
"guanine","C00242",9.08725429633852,14.8682002992695,13.660205992814,1.24046278648159,0.758155026096654,1.21340905529169,0.80720280914622
"guanosine","C00387",2.59009865139425,1.36170661331337,2.13526646710655,0.727900154829475,1.38453701475827,0.863365942233764,1.04727114722577
"gulonic-lactone","C01040",NA,NA,NA,NA,NA,NA,NA
"histamine","C00388",1.23893662587441,0.718449003392067,0.657982265380981,0.985836628410303,1.70003591110771,0.558867253952369,1.05230968424739
"histidine","C00768",0.5692831661218,0.652149642300507,0.673971068832621,1.2753783715252,1.11332030296594,1.04474153783869,0.88246187105618
"homocysteine","C05330",NA,NA,NA,NA,NA,NA,NA
"homocystine","C01817",NA,NA,NA,NA,NA,NA,NA
"homogentisic acid","C00544",0.553179279984838,1.08164526840135,1.55498508337197,1.38615236169649,0.708911496026648,1.52862961685106,0.543803435708515
"homoserine / threonine / allothreonine","C00263 / C00188 / C05519",2.06594064024963,2.5304357025862,1.23312318941188,1.30027645058419,1.06159344814647,0.752396265295343,1.26054398732623
"hydroxyphenyllactic acid / HVA","C03672 / C05582",5.08887155330088,3.02676549670757,1.94866357355699,0.552330837991006,0.928628495508064,0.624627677578478,1.63119486758372
"hydroxypyruvic acid","C00168",NA,NA,NA,NA,NA,NA,NA
"hypoxanthine","C00262",0.537331148910604,0.686517535985531,0.523222092202671,1.24588486542605,0.975142965851088,0.846824638084992,0.869659868130645
"IDP","C00104",0.514903517704049,0.847216504338148,2.17340772887545,0.895937432100501,0.544514103619438,0.716172591264645,0.169668940450576
"imidazole-4-acetate","C02835",0.610140097760814,0.760286656522668,1.06729749143808,1.15304991717355,0.925337809300866,1.67494001522393,0.957510040855851
"IMP","C00130",0.77833011535537,0.916812011245148,1.37043136931132,1.43836622107121,1.22110501720976,1.29472091091195,0.735330713021776
"inosine","C00294",1.85068128073504,1.66302919147006,1.88277374744404,1.01345117121494,1.12780648777941,0.96814579366133,0.951643446156905
"isonictinic acid ","C07446",0.410551779992631,0.859877622271557,0.475244446779192,1.39535983099891,0.666219759078581,0.998968680901692,0.862984034596482
"isopentenyl pyrophosphate","C00129",NA,NA,NA,NA,NA,NA,NA
"itaconic acid","C00490",0.880373000329063,1.29382768548149,1.36154469602568,1.56435832202767,1.06445305275773,1.34121924104982,0.8672305880143
"kynurenic acid","C01717",0.823079749288149,0.559479551867518,0.4128072584568,0.543307774165343,0.799288597864974,1.25933726151045,2.51094179241937
"kynurenine","C01718",1.79673486570441,1.29618096908725,0.282850814134195,0.784070450886004,1.08685958972804,0.68825908875097,4.37198353196225
"lactic acid","C01432",0.979781038819235,0.923281961151083,0.849929643481743,1.07604246804297,1.14188953268224,0.95225926279435,1.09774447435887
"lactose / maltose / sucrose","C00243 / C00208 / C00089",1.00387635276659,1.24040550181982,1.44743486917667,1.20566822737935,0.975763023440661,1.19611844467948,0.829574475019177
"L-arginino-succinate","C03406",0.504053968039946,0.849317431217583,0.965835436702924,2.05438384258512,1.21923828438051,1.38260663637915,0.721560148677413
"L-cysteic acid","C00506",0.323730249408072,0.502521827650635,NA,2.67686557259854,1.72446710126127,NA,1.26387859652942
"leucine / leucine(iso) / norleucine","C16439 / C16434 / C01933",0.960427891210246,0.955546578724529,0.995006919042756,1.09348597173516,1.09907193357693,0.988689693955019,0.954330205804045
"levulinic acid","n/a",NA,NA,NA,NA,NA,NA,NA
"lipoamide","C00248",NA,NA,NA,NA,NA,NA,NA
"L-NMMA","C03884",0.623056766818001,1.13877738074184,1.14129205132965,1.0890653273554,0.595857920249183,1.07554044527653,0.58716149966634
"L-tyrosine methyl ester","C03404",0.914096250976651,1.48548166288412,1.04038741956036,1.49326501709954,0.918885764766092,1.40498249849437,1.23443364502063
"lysine","C00047 / C00739",0.756602990211284,1.4785587113188,1.0238571817658,1.14849634295735,0.587704607653483,0.82955506776302,0.613018940524455
"maleic acid","C01384",0.737554196511578,1.08065472754581,0.725235825626038,1.36661455115152,0.932723719725609,1.31070202919677,1.33296473760908
"malic acid","C00711",0.763304347394082,2.09464564198773,0.987736119567834,3.04862429360004,1.11094121613232,0.950076859933747,0.734201962628687
"malonic acid","C00383",1.11883341052736,0.757324623124679,1.08362685944242,0.832920898102288,1.23051555524278,0.862204226734951,0.890216855703754
"malonyl-CoA","C00083",NA,NA,NA,NA,NA,NA,NA
"mandelic acid / vanillin","C01984 / C00755",NA,NA,NA,NA,NA,NA,NA
"ManNAC","C00645",1.24486520537516,1.64286607643845,1.07421233151844,1.46892571646292,1.11306365134138,0.933414474246699,1.08169974137308
"mesaconic acid","C01732",0.760861558614386,0.973101187447866,0.909715490979493,1.20057468573924,0.938721623616838,1.0995234839303,0.919611856686726
"methionine","C00073",0.743233448471371,0.963351103046999,1.18139550495213,1.09049511138455,0.841326116316255,0.980135672331942,0.616617900325083
"methyl acetoacetate","n/a",0.932507141954079,1.14891359822851,1.45416055816351,0.860763971824375,0.698632649574877,1.31962329210673,0.846232651319175
"methylglyoxal","C00546",0.293357973246684,1.37027451690658,0.443266108690766,2.1761482283763,0.465885066009996,1.80733183216709,1.19611040157061
"methylmalonic acid","C02170",0.808598474360112,1.18777723235994,1.11593243066748,1.45959093736762,0.993640030294548,1.40896710936272,1.02092978369024
"mevalonic acid","C00418",1.10230841094942,1.24410756141299,0.341430010332663,0.630350794409295,0.558505553761647,0.260985728173307,0.842593663699613
"N1/N8-acetylspermidine","C00612 / C01029",1.08977802407323,5.13992112847265,1.06900181089685,3.88386510440366,0.823466106473447,0.662267122330605,0.675138384823328
"N1-acetylspermine","C02567",0.771764444744403,0.420687941368991,0.157716720268218,1.26438472586778,2.31955109701316,0.670686697636909,3.2819104145644
"N-acetylaspartic acid","C01042",0.584768094331412,0.811220613225776,0.759796755456103,1.6881228255289,1.21688274630559,1.10683051974096,0.851858301748383
"N-acetylaspartylglutamic acid","C12270",NA,NA,NA,NA,NA,NA,NA
"N-acetyl-b-alanine","C01073",0.599755240870141,0.514888379225898,0.625882628128535,0.72231988028442,0.841376794008412,1.00775271705159,0.965684213604169
"N-acetyl-DL-alanine ","n/a",0.708807993468508,1.5372338977121,0.559670060552544,1.37249234621814,0.632846795417179,0.834035027061732,1.0562842926249
"N-acetyl-DL-serine / O-acetyl-L-serine","n/a / C00979",0.939472798460308,0.973752484645945,0.952460503123131,1.10137276140151,1.06260036982402,0.921571774462898,0.90900526698771
"N-acetylglucosamine 1/6-phosphate","C04501 / C00357",0.570467952351386,0.942061626875415,1.35692786760063,1.41698455697041,0.858058810238906,1.33432160678618,0.560964022463101
"N-acetylglycine","n/a",1.02746686646792,1.04411973225897,1.00008846694822,1.19086043966762,1.17186717820062,0.875475510665637,0.89944250867918
"N-acetyl-L-glutamic acid","C00624",0.732738561912641,0.867723654543573,0.443516269217096,1.45073421690961,1.22505465680195,0.659227674409555,1.08911796848523
"NAD+","C00003",0.420007931193804,0.623371294833854,0.743980791161871,1.60095298360507,1.07867166190533,1.45780656903059,0.822992110028897
"NADH","C00004",0.837087295267065,0.63506653432281,0.551738535872045,1.4384202826113,1.89599558274998,0.902809175133432,1.3697250444185
